Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
19185D-03-01_S0_L001_R1_001_val_1	68085503.0	54942289.0	80.7	13143214.0	19.3
19185D-03-02_S33_L002_R1_001_val_1	71443352.0	58394556.0	81.74	13048796.0	18.26
19185D-03-03_S34_L002_R1_001_val_1	81132690.0	66625467.0	82.12	14507223.0	17.88
19185D-03-04_S0_L001_R1_001_val_1	96265053.0	75110269.0	78.02	21154784.0	21.98
19185D-03-05_S0_L001_R1_001_val_1	68125837.0	54527949.0	80.04	13597888.0	19.96
19185D-03-06_S0_L001_R1_001_val_1	69927887.0	56852447.0	81.3	13075440.0	18.7
19185D-03-07_S38_L002_R1_001_val_1	69811350.0	57684867.0	82.63	12126483.0	17.37
19185D-03-08_S39_L002_R1_001_val_1	78739584.0	64377855.0	81.76	14361729.0	18.24
19185D-03-09_S1_L001_R1_001_val_1	89177222.0	69998209.0	78.49	19179013.0	21.51
19185D-03-10_S2_L001_R1_001_val_1	62549151.0	49025270.0	78.38	13523881.0	21.62
19185D-03-11_S0_L001_R1_001_val_1	68128616.0	53849022.0	79.04	14279594.0	20.96
19185D-03-12_S0_L001_R1_001_val_1	60931062.0	48304596.0	79.28	12626466.0	20.72
19185D-03-13_S5_L001_R1_001_val_1	77678696.0	60403408.0	77.76	17275288.0	22.24
19185D-03-14_S6_L001_R1_001_val_1	65334073.0	51824536.0	79.32	13509537.0	20.68
19185D-03-15_S7_L001_R1_001_val_1	97459850.0	76541734.0	78.54	20918116.0	21.46
19185D-03-16_S8_L001_R1_001_val_1	104166202.0	80670715.0	77.44	23495487.0	22.56
19185D-03-17_S87_L003_R1_001_val_1	62712278.0	52844769.0	84.27	9867509.0	15.73
19185D-03-18_S88_L003_R1_001_val_1	66232415.0	55237732.0	83.4	10994683.0	16.6
19185D-03-19_S89_L003_R1_001_val_1	83446102.0	69695127.0	83.52	13750975.0	16.48
19185D-03-20_S0_L001_R1_001_val_1	66491911.0	54877101.0	82.53	11614810.0	17.47
19185D-03-21_S91_L003_R1_001_val_1	71181280.0	59487857.0	83.57	11693423.0	16.43
19185D-03-22_S92_L003_R1_001_val_1	62276569.0	51919499.0	83.37	10357070.0	16.63
19185D-03-23_S93_L003_R1_001_val_1	77847757.0	65171335.0	83.72	12676422.0	16.28
19185D-03-24_S94_L003_R1_001_val_1	74355087.0	61221127.0	82.34	13133960.0	17.66
19185D-03-25_S110_L004_R1_001_val_1	87315919.0	70939236.0	81.24	16376683.0	18.76
19185D-03-26_S111_L004_R1_001_val_1	74516043.0	60072821.0	80.62	14443222.0	19.38
19185D-03-27_S0_L001_R1_001_val_1	62750991.0	50787830.0	80.94	11963161.0	19.06
19185D-03-28_S113_L004_R1_001_val_1	87029439.0	69979846.0	80.41	17049593.0	19.59
19185D-03-29_S114_L004_R1_001_val_1	117203434.0	93044721.0	79.39	24158713.0	20.61
19185D-03-30_S115_L004_R1_001_val_1	88931966.0	71719470.0	80.65	17212496.0	19.35
