Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
19185D-03-01_S0_L001_R1_001_val_1	3113625.0	48544490.0	40827781.0	0.8	3.0	13.3	2316724920.0	401926265.0	1556732859.0	265579900.0
19185D-03-02_S33_L002_R1_001_val_1	3497062.0	53706935.0	38927271.0	0.8	3.2	11.9	2451033427.0	425578379.0	1642486266.0	286837514.0
19185D-03-03_S34_L002_R1_001_val_1	3887345.0	61672591.0	52705289.0	0.8	3.2	14.4	2755055768.0	480721028.0	1842318044.0	313751471.0
19185D-03-04_S0_L001_R1_001_val_1	4647273.0	72489188.0	59363029.0	0.8	3.2	13.9	3232955711.0	562010676.0	2166677022.0	367768523.0
19185D-03-05_S0_L001_R1_001_val_1	3170219.0	49336832.0	38398324.0	0.8	3.2	13.1	2232498301.0	385290753.0	1500745805.0	255556368.0
19185D-03-06_S0_L001_R1_001_val_1	3378133.0	52021573.0	44198625.0	0.8	3.2	14.0	2375882058.0	413152638.0	1592674806.0	270456283.0
19185D-03-07_S38_L002_R1_001_val_1	3505185.0	50682091.0	46169297.0	0.8	3.0	14.3	2435718554.0	422679193.0	1636917131.0	275765657.0
19185D-03-08_S39_L002_R1_001_val_1	3839115.0	58142209.0	50335660.0	0.8	3.1	14.0	2713515366.0	472809441.0	1818727566.0	309661375.0
19185D-03-09_S1_L001_R1_001_val_1	4462071.0	69459769.0	54653084.0	0.9	3.4	14.1	2938872391.0	509285549.0	1967261728.0	333750190.0
19185D-03-10_S2_L001_R1_001_val_1	2936018.0	47214064.0	35785631.0	0.8	3.2	12.9	2098640162.0	363975443.0	1407058418.0	241670588.0
19185D-03-11_S0_L001_R1_001_val_1	3182209.0	53719864.0	42895294.0	0.8	3.5	14.4	2241419375.0	391491734.0	1494379540.0	255750734.0
19185D-03-12_S0_L001_R1_001_val_1	2525785.0	53088618.0	36713717.0	0.7	3.7	13.4	2087627476.0	361816959.0	1396707932.0	236774465.0
19185D-03-13_S5_L001_R1_001_val_1	3178365.0	58745658.0	42362164.0	0.7	3.4	12.7	2500888915.0	435532698.0	1670789500.0	290280530.0
19185D-03-14_S6_L001_R1_001_val_1	2701515.0	51099520.0	36278986.0	0.7	3.4	12.6	2160153556.0	377230494.0	1441783504.0	251059537.0
19185D-03-15_S7_L001_R1_001_val_1	4058026.0	75027215.0	53656466.0	0.7	3.4	12.6	3194628832.0	557348504.0	2131806403.0	372732218.0
19185D-03-16_S8_L001_R1_001_val_1	4261360.0	81721957.0	53137123.0	0.7	3.5	11.8	3370852065.0	590556076.0	2242973804.0	398201745.0
19185D-03-17_S87_L003_R1_001_val_1	2706030.0	45457919.0	36585698.0	0.7	3.0	12.6	2181883014.0	380426777.0	1463854559.0	252852031.0
19185D-03-18_S88_L003_R1_001_val_1	2883400.0	50139497.0	36091145.0	0.7	3.2	11.7	2302825180.0	401952177.0	1540480084.0	271278877.0
19185D-03-19_S89_L003_R1_001_val_1	3594351.0	58200404.0	52407975.0	0.7	2.9	13.9	2851146999.0	496453579.0	1916338931.0	324151759.0
19185D-03-20_S0_L001_R1_001_val_1	2949689.0	53154678.0	44773851.0	0.7	3.3	14.5	2352335372.0	408013500.0	1579663504.0	263780150.0
19185D-03-21_S91_L003_R1_001_val_1	2874790.0	65225021.0	44870784.0	0.7	4.0	14.5	2341247483.0	409128534.0	1554278777.0	264869577.0
19185D-03-22_S92_L003_R1_001_val_1	2753003.0	45408656.0	39634893.0	0.7	3.0	13.8	2179181224.0	379787037.0	1463505119.0	248092516.0
19185D-03-23_S93_L003_R1_001_val_1	3855572.0	57017715.0	51600937.0	0.8	3.0	14.3	2734116178.0	476087343.0	1835190721.0	310363890.0
19185D-03-24_S94_L003_R1_001_val_1	3323892.0	51015701.0	46297868.0	0.7	2.9	13.7	2569011136.0	446172874.0	1730170935.0	292029866.0
19185D-03-25_S110_L004_R1_001_val_1	4156099.0	67659774.0	57863282.0	0.8	3.3	14.9	2923216625.0	508101394.0	1956113316.0	329322760.0
19185D-03-26_S111_L004_R1_001_val_1	3495942.0	60444446.0	47829236.0	0.8	3.5	14.7	2476293072.0	428642117.0	1657629329.0	278252002.0
19185D-03-27_S0_L001_R1_001_val_1	3023497.0	49636597.0	41608866.0	0.8	3.4	15.0	2103318329.0	364684653.0	1408765531.0	235599185.0
19185D-03-28_S113_L004_R1_001_val_1	4181425.0	66257164.0	55184444.0	0.8	3.3	14.3	2924664050.0	506242059.0	1962049670.0	330749288.0
19185D-03-29_S114_L004_R1_001_val_1	5516349.0	88226833.0	72612727.0	0.8	3.3	14.3	3852361545.0	665438736.0	2585806213.0	434760687.0
19185D-03-30_S115_L004_R1_001_val_1	3857857.0	65305884.0	51720827.0	0.7	3.2	13.3	2973860176.0	512310045.0	2002405952.0	338259611.0
