Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-dup_reads_percent	Bismark_mqc-generalstats-bismark-dedup_reads	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
19185D-03-01_S0_L001_R1_001_val_1	13.3	0.8	3.0	2316724920.0	19.3	54942289.0	68094362.0	66.02206089248604
19185D-03-02_S33_L002_R1_001_val_1	11.9	0.8	3.2	2451033427.0	18.26	58394556.0	71452669.0	65.73840060038768
19185D-03-03_S34_L002_R1_001_val_1	14.4	0.8	3.2	2755055768.0	17.88	66625467.0	81142953.0	66.49254105232343
19185D-03-04_S0_L001_R1_001_val_1	13.9	0.8	3.2	3232955711.0	21.98	75110269.0	96277728.0	64.52506012288481
19185D-03-05_S0_L001_R1_001_val_1	13.1	0.8	3.2	2232498301.0	19.96	54527949.0	68134428.0	66.38675032691864
19185D-03-06_S0_L001_R1_001_val_1	14.0	0.8	3.2	2375882058.0	18.7	56852447.0	69937084.0	66.24558457232297
19185D-03-07_S38_L002_R1_001_val_1	14.3	0.8	3.0	2435718554.0	17.37	57684867.0	69820234.0	65.88266122219665
19185D-03-08_S39_L002_R1_001_val_1	14.0	0.8	3.1	2713515366.0	18.24	64377855.0	78749966.0	66.55305006759806
19185D-03-09_S1_L001_R1_001_val_1	14.1	0.9	3.4	2938872391.0	21.51	69998209.0	89188957.0	65.91477200867614
19185D-03-10_S2_L001_R1_001_val_1	12.9	0.8	3.2	2098640162.0	21.62	49025270.0	62557338.0	65.27915497797278
19185D-03-11_S0_L001_R1_001_val_1	14.4	0.8	3.5	2241419375.0	20.96	53849022.0	68137518.0	66.45049152724395
19185D-03-12_S0_L001_R1_001_val_1	13.4	0.7	3.7	2087627476.0	20.72	48304596.0	60939460.0	62.82359683866468
19185D-03-13_S5_L001_R1_001_val_1	12.7	0.7	3.4	2500888915.0	22.24	60403408.0	77688910.0	66.54722489981457
19185D-03-14_S6_L001_R1_001_val_1	12.6	0.7	3.4	2160153556.0	20.68	51824536.0	65342569.0	66.66782400614977
19185D-03-15_S7_L001_R1_001_val_1	12.6	0.7	3.4	3194628832.0	21.46	76541734.0	97472490.0	66.56195394190246
19185D-03-16_S8_L001_R1_001_val_1	11.8	0.7	3.5	3370852065.0	22.56	80670715.0	104180397.0	67.03953690206461
19185D-03-17_S87_L003_R1_001_val_1	12.6	0.7	3.0	2181883014.0	15.73	52844769.0	62720527.0	66.75418536551308
19185D-03-18_S88_L003_R1_001_val_1	11.7	0.7	3.2	2302825180.0	16.6	55237732.0	66241169.0	66.65567464490354
19185D-03-19_S89_L003_R1_001_val_1	13.9	0.7	2.9	2851146999.0	16.48	69695127.0	83457053.0	66.68319476452757
19185D-03-20_S0_L001_R1_001_val_1	14.5	0.7	3.3	2352335372.0	17.47	54877101.0	66500536.0	64.33862003866768
19185D-03-21_S91_L003_R1_001_val_1	14.5	0.7	4.0	2341247483.0	16.43	59487857.0	71190230.0	68.73054523468987
19185D-03-22_S92_L003_R1_001_val_1	13.8	0.7	3.0	2179181224.0	16.63	51919499.0	62284821.0	66.40913368377753
19185D-03-23_S93_L003_R1_001_val_1	14.3	0.8	3.0	2734116178.0	16.28	65171335.0	77857663.0	66.39096251519913
19185D-03-24_S94_L003_R1_001_val_1	13.7	0.7	2.9	2569011136.0	17.66	61221127.0	74364646.0	68.31739387961063
19185D-03-25_S110_L004_R1_001_val_1	14.9	0.8	3.3	2923216625.0	18.76	70939236.0	87327414.0	66.57855084340436
19185D-03-26_S111_L004_R1_001_val_1	14.7	0.8	3.5	2476293072.0	19.38	60072821.0	74525785.0	65.95269857679337
19185D-03-27_S0_L001_R1_001_val_1	15.0	0.8	3.4	2103318329.0	19.06	50787830.0	62759338.0	65.64886010420308
19185D-03-28_S113_L004_R1_001_val_1	14.3	0.8	3.3	2924664050.0	19.59	69979846.0	87040523.0	66.36531550471564
19185D-03-29_S114_L004_R1_001_val_1	14.3	0.8	3.3	3852361545.0	20.61	93044721.0	117218282.0	65.8898190733035
19185D-03-30_S115_L004_R1_001_val_1	13.3	0.7	3.2	2973860176.0	19.35	71719470.0	88943227.0	65.92059597171735
