#,"Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21267198, SEN S/N: 21267198)","Temp, °C (LGR S/N: 21267198, SEN S/N: 21267198)"
1,3/28/22 13:00,9.43,20
2,3/28/22 13:15,9.39,19.96
3,3/28/22 13:30,9.37,19.96
4,3/28/22 13:45,9.26,19.94
5,3/28/22 14:00,9.24,19.96
6,3/28/22 14:15,9.23,19.98
7,3/28/22 14:30,9.23,20.02
8,3/28/22 14:45,9.21,20.02
9,3/28/22 15:00,9.21,20.04
10,3/28/22 15:15,9.18,20.06
11,3/28/22 15:30,9.18,20.06
12,3/28/22 15:45,9.15,20.08
13,3/28/22 16:00,9.18,20.08
14,3/28/22 16:15,9.16,20.1
15,3/28/22 16:30,9.16,20.12
16,3/28/22 16:45,9.16,20.12
17,3/28/22 17:00,9.16,20.14
18,3/28/22 17:15,9.17,20.16
19,3/28/22 17:30,9.18,20.18
20,3/28/22 17:45,9.16,20.2
21,3/28/22 18:00,9.17,20.22
22,3/28/22 18:15,9.18,20.24
23,3/28/22 18:30,9.18,20.26
24,3/28/22 18:45,9.18,20.28
25,3/28/22 19:00,9.18,20.32
26,3/28/22 19:15,9.18,20.32
27,3/28/22 19:30,9.18,20.34
28,3/28/22 19:45,9.17,20.36
29,3/28/22 20:00,9.17,20.38
30,3/28/22 20:15,9.16,20.4
31,3/28/22 20:30,9.16,20.44
32,3/28/22 20:45,9.15,20.46
33,3/28/22 21:00,9.14,20.5
34,3/28/22 21:15,9.16,20.52
35,3/28/22 21:30,9.14,20.54
36,3/28/22 21:45,9.16,20.58
37,3/28/22 22:00,9.15,20.6
38,3/28/22 22:15,9.15,20.62
39,3/28/22 22:30,9.15,20.64
40,3/28/22 22:45,9.15,20.64
41,3/28/22 23:00,9.15,20.66
42,3/28/22 23:15,9.17,20.66
43,3/28/22 23:30,9.16,20.66
44,3/28/22 23:45,9.17,20.66
45,3/29/22 0:00,9.15,20.66
46,3/29/22 0:15,9.16,20.66
47,3/29/22 0:30,9.15,20.66
48,3/29/22 0:45,9.16,20.66
49,3/29/22 1:00,9.17,20.66
50,3/29/22 1:15,9.17,20.64
51,3/29/22 1:30,9.14,20.64
52,3/29/22 1:45,9.15,20.64
53,3/29/22 2:00,9.15,20.64
54,3/29/22 2:15,9.15,20.62
55,3/29/22 2:30,9.16,20.62
56,3/29/22 2:45,9.15,20.62
57,3/29/22 3:00,9.15,20.6
58,3/29/22 3:15,9.15,20.6
59,3/29/22 3:30,9.14,20.6
60,3/29/22 3:45,9.15,20.58
61,3/29/22 4:00,9.17,20.58
62,3/29/22 4:15,9.15,20.56
63,3/29/22 4:30,9.15,20.56
64,3/29/22 4:45,9.14,20.56
65,3/29/22 5:00,9.15,20.54
66,3/29/22 5:15,9.15,20.54
67,3/29/22 5:30,9.15,20.54
68,3/29/22 5:45,9.17,20.52
69,3/29/22 6:00,9.18,20.52
70,3/29/22 6:15,9.15,20.52
71,3/29/22 6:30,9.16,20.52
72,3/29/22 6:45,9.15,20.52
73,3/29/22 7:00,9.16,20.52
74,3/29/22 7:15,9.15,20.52
75,3/29/22 7:30,9.16,20.52
76,3/29/22 7:45,9.16,20.5
77,3/29/22 8:00,9.16,20.5
78,3/29/22 8:15,9.17,20.5
79,3/29/22 8:30,9.18,20.48
80,3/29/22 8:45,9.19,20.48
81,3/29/22 9:00,9.18,20.48
82,3/29/22 9:15,9.22,20.48
83,3/29/22 9:30,9.22,20.48
84,3/29/22 9:45,9.21,20.48
85,3/29/22 10:00,9.22,20.46
86,3/29/22 10:15,9.22,20.46
87,3/29/22 10:30,9.22,20.46
88,3/29/22 10:45,9.18,20.48
89,3/29/22 11:00,9.17,20.48
90,3/29/22 11:15,9.14,20.5
91,3/29/22 11:30,9.18,20.54
92,3/29/22 11:45,9.17,20.58
93,3/29/22 12:00,9.16,20.62
94,3/29/22 12:15,9.16,20.66
95,3/29/22 12:30,9.17,20.66
96,3/29/22 12:45,9.21,20.62
97,3/29/22 13:00,9.22,20.58
98,3/29/22 13:15,9.23,20.54
99,3/29/22 13:30,9.22,20.52
100,3/29/22 13:45,9.22,20.52
101,3/29/22 14:00,9.22,20.52
102,3/29/22 14:15,9.21,20.54
103,3/29/22 14:30,9.22,20.54
104,3/29/22 14:45,9.19,20.56
105,3/29/22 15:00,9.19,20.58
106,3/29/22 15:15,9.18,20.6
107,3/29/22 15:30,9.17,20.6
108,3/29/22 15:45,9.17,20.62
109,3/29/22 16:00,9.17,20.62
110,3/29/22 16:15,9.16,20.62
111,3/29/22 16:30,9.17,20.62
112,3/29/22 16:45,9.15,20.64
113,3/29/22 17:00,9.15,20.66
114,3/29/22 17:15,9.14,20.68
115,3/29/22 17:30,9.15,20.72
116,3/29/22 17:45,9.14,20.74
117,3/29/22 18:00,9.15,20.78
118,3/29/22 18:15,9.18,20.8
119,3/29/22 18:30,9.17,20.82
120,3/29/22 18:45,9.16,20.86
121,3/29/22 19:00,9.15,20.88
122,3/29/22 19:15,9.14,20.9
123,3/29/22 19:30,9.14,20.92
124,3/29/22 19:45,9.14,20.94
125,3/29/22 20:00,9.12,20.96
126,3/29/22 20:15,9.1,20.96
127,3/29/22 20:30,9.06,20.98
128,3/29/22 20:45,9.01,21
129,3/29/22 21:00,8.94,21.02
130,3/29/22 21:15,8.91,21.04
131,3/29/22 21:30,8.85,21.06
132,3/29/22 21:45,8.81,21.08
133,3/29/22 22:00,8.84,21.12
134,3/29/22 22:15,8.84,21.14
135,3/29/22 22:30,8.93,21.16
136,3/29/22 22:45,9.01,21.18
137,3/29/22 23:00,9.04,21.2
138,3/29/22 23:15,9.05,21.22
139,3/29/22 23:30,9.05,21.24
140,3/29/22 23:45,9.03,21.3
141,3/30/22 0:00,9.02,21.34
142,3/30/22 0:15,9.01,21.36
143,3/30/22 0:30,9,21.38
144,3/30/22 0:45,9,21.38
145,3/30/22 1:00,8.99,21.38
146,3/30/22 1:15,8.99,21.38
147,3/30/22 1:30,9,21.38
148,3/30/22 1:45,9.01,21.38
149,3/30/22 2:00,8.99,21.36
150,3/30/22 2:15,9,21.36
151,3/30/22 2:30,9.01,21.36
152,3/30/22 2:45,9.01,21.36
153,3/30/22 3:00,8.99,21.34
154,3/30/22 3:15,8.98,21.34
155,3/30/22 3:30,8.98,21.34
156,3/30/22 3:45,8.97,21.32
157,3/30/22 4:00,8.98,21.3
158,3/30/22 4:15,8.99,21.28
159,3/30/22 4:30,8.99,21.26
160,3/30/22 4:45,8.98,21.26
161,3/30/22 5:00,8.98,21.24
162,3/30/22 5:15,8.99,21.22
163,3/30/22 5:30,8.99,21.2
164,3/30/22 5:45,9,21.2
165,3/30/22 6:00,9.01,21.18
166,3/30/22 6:15,8.98,21.18
167,3/30/22 6:30,8.96,21.18
168,3/30/22 6:45,8.97,21.18
169,3/30/22 7:00,8.97,21.18
170,3/30/22 7:15,8.96,21.18
171,3/30/22 7:30,8.96,21.16
172,3/30/22 7:45,8.93,21.16
173,3/30/22 8:00,8.97,21.16
174,3/30/22 8:15,8.97,21.14
175,3/30/22 8:30,8.97,21.14
176,3/30/22 8:45,8.99,21.12
177,3/30/22 9:00,9.01,21.1
178,3/30/22 9:15,9.02,21.08
179,3/30/22 9:30,9.04,21.06
180,3/30/22 9:45,9.02,21.06
181,3/30/22 10:00,8.49,21
182,3/30/22 10:15,8.37,20.98
183,3/30/22 10:30,8.87,20.98
184,3/30/22 10:45,8.97,20.98
185,3/30/22 11:00,9.03,21
186,3/30/22 11:15,9.09,20.96
187,3/30/22 11:30,9.06,20.94
188,3/30/22 11:45,9.07,20.94
189,3/30/22 12:00,9.07,20.9
190,3/30/22 12:15,9.03,20.9
191,3/30/22 12:30,9.01,20.9
192,3/30/22 12:45,8.98,20.88
193,3/30/22 13:00,8.98,20.84
194,3/30/22 13:15,8.99,20.78
195,3/30/22 13:30,9.01,20.74
196,3/30/22 13:45,9.01,20.7
197,3/30/22 14:00,9.03,20.68
198,3/30/22 14:15,8.99,20.66
199,3/30/22 14:30,8.97,20.64
200,3/30/22 14:45,9.01,20.64
201,3/30/22 15:00,9,20.62
202,3/30/22 15:15,9,20.62
203,3/30/22 15:30,8.97,20.6
204,3/30/22 15:45,8.99,20.6
205,3/30/22 16:00,8.98,20.62
206,3/30/22 16:15,8.98,20.62
207,3/30/22 16:30,8.99,20.64
208,3/30/22 16:45,8.96,20.66
209,3/30/22 17:00,8.94,20.68
210,3/30/22 17:15,8.97,20.68
211,3/30/22 17:30,8.92,20.7
212,3/30/22 17:45,8.94,20.74
213,3/30/22 18:00,8.96,20.74
214,3/30/22 18:15,8.93,20.76
215,3/30/22 18:30,8.92,20.78
216,3/30/22 18:45,8.92,20.78
217,3/30/22 19:00,8.94,20.8
218,3/30/22 19:15,8.91,20.82
219,3/30/22 19:30,8.9,20.84
220,3/30/22 19:45,8.9,20.84
221,3/30/22 20:00,8.89,20.86
222,3/30/22 20:15,8.88,20.88
223,3/30/22 20:30,8.9,20.9
224,3/30/22 20:45,8.87,20.9
225,3/30/22 21:00,8.88,20.92
226,3/30/22 21:15,8.9,20.92
227,3/30/22 21:30,8.91,20.94
228,3/30/22 21:45,8.86,20.96
229,3/30/22 22:00,8.86,20.98
230,3/30/22 22:15,8.82,21
231,3/30/22 22:30,8.89,21.02
232,3/30/22 22:45,8.81,21.02
233,3/30/22 23:00,8.81,21.04
234,3/30/22 23:15,8.84,21.06
235,3/30/22 23:30,8.86,21.06
236,3/30/22 23:45,8.88,21.06
237,3/31/22 0:00,8.87,21.06
238,3/31/22 0:15,8.86,21.06
239,3/31/22 0:30,8.87,21.06
240,3/31/22 0:45,8.87,21.06
241,3/31/22 1:00,8.86,21.06
242,3/31/22 1:15,8.87,21.06
243,3/31/22 1:30,8.88,21.06
244,3/31/22 1:45,8.88,21.06
245,3/31/22 2:00,8.91,21.04
246,3/31/22 2:15,8.86,21.04
247,3/31/22 2:30,8.87,21.04
248,3/31/22 2:45,8.87,21.02
249,3/31/22 3:00,8.87,21.02
250,3/31/22 3:15,8.84,21.02
251,3/31/22 3:30,8.85,21.02
252,3/31/22 3:45,8.84,21
253,3/31/22 4:00,8.84,21
254,3/31/22 4:15,8.89,20.98
255,3/31/22 4:30,8.87,20.98
256,3/31/22 4:45,8.87,20.98
257,3/31/22 5:00,8.85,20.98
258,3/31/22 5:15,8.8,20.96
259,3/31/22 5:30,8.85,20.96
260,3/31/22 5:45,8.85,20.94
261,3/31/22 6:00,8.84,20.94
262,3/31/22 6:15,8.87,20.94
263,3/31/22 6:30,8.89,20.94
264,3/31/22 6:45,8.86,20.92
265,3/31/22 7:00,8.88,20.92
266,3/31/22 7:15,8.86,20.92
267,3/31/22 7:30,8.88,20.92
268,3/31/22 7:45,8.88,20.9
269,3/31/22 8:00,8.9,20.9
270,3/31/22 8:15,8.89,20.88
271,3/31/22 8:30,8.9,20.88
272,3/31/22 8:45,8.89,20.88
273,3/31/22 9:00,8.92,20.88
274,3/31/22 9:15,8.91,20.86
275,3/31/22 9:30,9.19,20.24
276,3/31/22 9:45,9.27,20.14
277,3/31/22 10:00,9.11,20.28
278,3/31/22 10:15,9.11,20.5
279,3/31/22 10:30,9.03,20.6
280,3/31/22 10:45,8.91,20.78
281,3/31/22 11:00,8.96,20.8
282,3/31/22 11:15,8.9,20.9
283,3/31/22 11:30,8.91,20.96
284,3/31/22 11:45,8.9,21.02
285,3/31/22 12:00,8.94,21.06
286,3/31/22 12:15,8.96,21.04
287,3/31/22 12:30,8.97,20.98
288,3/31/22 12:45,8.99,20.94
289,3/31/22 13:00,8.99,20.9
290,3/31/22 13:15,9,20.86
291,3/31/22 13:30,9.01,20.84
292,3/31/22 13:45,8.99,20.84
293,3/31/22 14:00,8.98,20.84
294,3/31/22 14:15,8.98,20.84
295,3/31/22 14:30,9,20.84
296,3/31/22 14:45,9.01,20.86
297,3/31/22 15:00,9,20.86
298,3/31/22 15:15,8.98,20.88
299,3/31/22 15:30,8.97,20.88
300,3/31/22 15:45,8.94,20.88
301,3/31/22 16:00,8.93,20.9
302,3/31/22 16:15,8.93,20.92
303,3/31/22 16:30,8.93,20.94
304,3/31/22 16:45,8.92,20.96
305,3/31/22 17:00,8.93,20.98
306,3/31/22 17:15,8.94,21
307,3/31/22 17:30,8.93,21.02
308,3/31/22 17:45,8.89,21.04
