ID,treatment,batch,cage,sample,TTR,Li,Lc,contraction,Time,Notes
AC163,C,60,C1,Day 2,8.07,12,8,0.67,88.03,
AC163,C,60,C1,Day 2,6.53,12.5,7.5,0.6,9.53,
AC163,C,60,C1,Day 2,5,11,7,0.64,13.35,
AC164,C,60,C1,Day 2,6,14,10,0.71,30.53,
AC164,C,60,C1,Day 2,100.47,13,9,0.69,25.88,
AC164,C,60,C1,Day 2,25.03,14,10,0.71,57.63,
AC165,C,71,C2,Day 2,8.06,11.5,6,0.52,18.06,
AC165,C,71,C2,Day 2,4.75,12,6.5,0.54,5.22,
AC165,C,71,C2,Day 2,4.1,11,5,0.45,10.28,
AC166,C,71,C2,Day 2,11,14,10,0.71,5.09,
AC166,C,71,C2,Day 2,5.5,14,8,0.57,10.25,
AC166,C,71,C2,Day 2,15.09,14,9,0.64,7.96,
AC167,C,60,C3,Day 2,15.66,10.5,7,0.67,6.28,
AC167,C,60,C3,Day 2,5.97,12.5,8,0.64,20.72,
AC167,C,60,C3,Day 2,5.56,11,7,0.64,17.09,
AC168,C,60,C3,Day 2,7.72,12,8,0.67,62.63,
AC168,C,60,C3,Day 2,12.53,15,8,0.53,18.6,
AC168,C,60,C3,Day 2,>120,14,9,0.64,32.85,
AC169,C,71,C4,Day 2,7.06,12,7,0.58,5.81,
AC169,C,71,C4,Day 2,4.31,11.5,7,0.61,4.5,
AC169,C,71,C4,Day 2,3.72,12.5,7.5,0.6,5.59,
AC170,C,71,C4,Day 2,26.4,13.5,10,0.74,6.25,
AC170,C,71,C4,Day 2,9.44,15,11,0.73,6.28,
AC170,C,71,C4,Day 2,7.78,15,9,0.6,4.66,
AC171,C,60,C5,Day 2,4.44,13,8,0.62,7.34,
AC171,C,60,C5,Day 2,5.81,12,8,0.67,36.9,
AC171,C,60,C5,Day 2,7.13,12,10,0.83,16.44,
AC172,C,60,C5,Day 2,4.81,13.5,8,0.59,21.35,
AC172,C,60,C5,Day 2,7.31,17.5,9,0.51,11.88,
AC172,C,60,C5,Day 2,>120,16,10,0.63,4.25,
AC173,C,71,C6,Day 2,8.53,12,7.5,0.63,13.5,
AC173,C,71,C6,Day 2,4.72,12.5,6.5,0.52,6.25,
AC173,C,71,C6,Day 2,4.54,11,7,0.64,10.53,
AC174,C,71,C6,Day 2,12.97,15,10,0.67,5.44,
AC174,C,71,C6,Day 2,17.87,14.5,9.5,0.66,5.97,
AC174,C,71,C6,Day 2,21.79,,,#DIV/0!,,
AC175,H,71,H1,Day 2,3.1,11,8.5,0.77,3.26,
AC175,H,71,H1,Day 2,5.88,12.5,6.5,0.52,3.68,
AC175,H,71,H1,Day 2,4.21,12,7,0.58,4.22,
AC176,H,71,H1,Day 2,5.59,13.5,8,0.59,19.81,
AC176,H,71,H1,Day 2,6.85,13,8,0.62,23.72,
AC176,H,71,H1,Day 2,4.32,14,8,0.57,8.09,
AC177,H,60,H2,Day 2,11.25,13,8.5,0.65,7.53,
AC177,H,60,H2,Day 2,10.81,12,7,0.58,19.97,
AC177,H,60,H2,Day 2,6.37,12,9,0.75,106.9,
AC178,H,60,H2,Day 2,6.4,15,9,0.6,18.46,
AC178,H,60,H2,Day 2,14.35,12.5,9,0.72,32.85,
AC178,H,60,H2,Day 2,31.19,14,10,0.71,32,
AC179,H,71,H3,Day 2,>120,12.5,7,0.56,9.75,
AC179,H,71,H3,Day 2,6.79,12.5,9,0.72,4.69,
AC179,H,71,H3,Day 2,6,11.5,8,0.7,12.91,
AC180,H,71,H3,Day 2,14.94,15,9,0.6,4.75,
AC180,H,71,H3,Day 2,4.35,15.5,8,0.52,10.84,
AC180,H,71,H3,Day 2,37.22,14,9.5,0.68,11,
AC181,H,60,H4,Day 2,10.31,14,10,0.71,4.76,
AC181,H,60,H4,Day 2,8.69,13.5,8.5,0.63,4.75,
AC181,H,60,H4,Day 2,5.97,12,8.5,0.71,21,
AC182,H,60,H4,Day 2,6.81,17,12,0.71,31.38,
AC182,H,60,H4,Day 2,6.6,15.5,10.5,0.68,20.09,
AC182,H,60,H4,Day 2,4.63,14.5,11,0.76,27.84,
AC183,H,71,H5,Day 2,12.03,15,9.5,0.63,5.28,
AC183,H,71,H5,Day 2,7.15,14.5,9.5,0.66,11,
AC183,H,71,H5,Day 2,7.28,13.5,10,0.74,26.62,
AC184,H,71,H5,Day 2,10,15.5,10,0.65,10.59,
AC184,H,71,H5,Day 2,4.03,16,9,0.56,5.91,
AC184,H,71,H5,Day 2,4,14,11,0.79,4.63,
AC185,H,60,H6,Day 2,9.19,12,9,0.75,34.32,
AC185,H,60,H6,Day 2,6.25,13.5,9,0.67,9.88,
AC185,H,60,H6,Day 2,9.75,12.5,9,0.72,19.19,
AC186,H,60,H6,Day 2,13.41,15.5,13,0.84,15.09,
AC186,H,60,H6,Day 2,11.22,14,9.5,0.68,51.34,
AC186,H,60,H6,Day 2,5.7,14,11,0.79,11.85,
AC163,C,60,C1,Day 3,3.75,11,7,0.64,37.2,
AC163,C,60,C1,Day 3,5.87,11,6.5,0.59,27.28,
AC163,C,60,C1,Day 3,3.59,12.5,7,0.56,7.91,
AC164,C,60,C1,Day 3,5.65,15.5,10,0.65,14.28,
AC164,C,60,C1,Day 3,11.28,14,10,0.71,38.93,
AC164,C,60,C1,Day 3,78.59,15,11,0.73,20.81,
AC165,C,71,C2,Day 3,5.56,12,7,0.58,14.06,
AC165,C,71,C2,Day 3,6.53,12,8,0.67,19.34,
AC165,C,71,C2,Day 3,2.53,12,8,0.67,5,
AC166,C,71,C2,Day 3,9.1,14,8,0.57,13.35,
AC166,C,71,C2,Day 3,5.84,14,8,0.57,12.75,
AC166,C,71,C2,Day 3,5.63,14,9.5,0.68,7.56,
AC167,C,60,C3,Day 3,5.79,12,8,0.67,4.44,
AC167,C,60,C3,Day 3,5.81,12,8,0.67,13.41,
AC167,C,60,C3,Day 3,7,12,8,0.67,4.31,
AC168,C,60,C3,Day 3,8.53,12,8.5,0.71,23.75,
AC168,C,60,C3,Day 3,6.93,13,9,0.69,66.25,
AC168,C,60,C3,Day 3,>120,13,9,0.69,10.91,
AC169,C,71,C4,Day 3,4.25,11.5,7,0.61,9.28,
AC169,C,71,C4,Day 3,3.41,12,7.5,0.63,5.82,
AC169,C,71,C4,Day 3,3.59,12,9,0.75,4.1,
AC170,C,71,C4,Day 3,4.6,14,9,0.64,9.41,
AC170,C,71,C4,Day 3,4.78,13.5,9,0.67,7.81,
AC170,C,71,C4,Day 3,4.34,14,10,0.71,13,
AC171,C,60,C5,Day 3,12.53,11,8,0.73,17.66,
AC171,C,60,C5,Day 3,8.88,11.5,8,0.7,15.72,
AC171,C,60,C5,Day 3,4.66,11,8,0.73,5.97,
AC172,C,60,C5,Day 3,7.97,13,9,0.69,7.65,
AC172,C,60,C5,Day 3,4.4,15,10,0.67,4.25,
AC172,C,60,C5,Day 3,4.41,14,10,0.71,4.43,
