gene,logP
LOC118478065,-6.94765413475532
LOC101845732,-2.29830390501391
LOC101855065,-2.21691037500448
LOC101845963,-0.16729343835854
LOC101846613,-0.107347920613541
LOC106012211,-0.0186906941356681
LOC101847001,-0.47282159756148
LOC101855301,-4.89405221127465
LOC101847694,4.82464505961792
LOC118478385,-5.33242453121709
LOC101848083,0.538717160822726
LOC101848620,0.0147592261120304
LOC101848391,0.885861458604373
LOC101848850,-0.049752619489953
LOC101849253,-0.355907078559556
LOC101849504,2.62522871524945
LOC101855532,-1.05553503624931
LOC101849970,0.410637028876401
LOC101850212,-1.2937817045784
LOC101850446,1.36184385068175
LOC101850682,5.93548049162263
LOC101850917,-1.02595008196659
LOC101851377,-1.45147266806105
LOC101851774,-0.563974192682166
LOC101855758,-0.0383925922108629
LOC101852128,-6.05044248599429
LOC101852364,3.96043697688477
LOC101852581,-0.302775888047643
LOC101853505,1.05769494968163
LOC101853981,-2.60394115424695
LOC101854370,-0.208661710566706
LOC101856476,-0.102346983199355
LOC101854761,0.284542760783138
LOC101856700,0.505053126234666
LOC101855452,2.40789032595903
LOC101856937,-0.189031468655077
LOC101857153,-4.13221568105199
LOC101857372,1.09298908916895
LOC101857609,-0.283356408984885
LOC101855683,-9.46750226001291
LOC101857841,0.169424280088279
LOC101858073,-0.891037906886365
LOC101855910,1.28277142737587
LOC101858313,-0.667069929244898
LOC100533353,-7.86199909451154
LOC101856139,-8.67236455244309
LOC101858530,-5.78041671452343
LOC101856539,-4.34418650972681
LOC101856763,6.50195622652512
LOC101857754,-0.0112003995316206
LOC118477465,-0.93616711566069
LOC101857986,0.522032868240262
LOC101858529,0.847089599841344
LOC101858747,3.71652486590247
LOC101859282,4.64728592632013
LOC101859675,0.761738378728438
LOC101859896,-2.02633738581699
LOC101860375,-6.72261786087363
LOC101859524,-0.548249281086751
LOC106011455,-2.23188930261613
LOC101859745,0.415312368061889
LOC101859983,-3.5659867889145
LOC101860211,-0.40172847780616
LOC101860615,0.366937729588734
LOC101861328,-14.5326841355018
LOC101861244,0.199998306658683
LOC101861473,0.617776636904934
LOC101861549,-13.2961368915177
LOC101862382,-0.150056460326892
LOC101862618,-0.910536655531412
LOC101862840,-0.165723736364844
LOC106012640,-1.94382365965263
LOC101863065,0.055209227209404
LOC101863307,0.514447088163611
LOC101861775,0.0650709491607238
LOC101863551,0.0742763749296252
LOC101861996,-5.93737402835889
LOC101864424,-7.96742059893239
LOC101864031,-19.9061506004418
LOC101864654,-6.63193704095751
LOC101845135,-16.234834903373
LOC101845657,-1.68235080712181
LOC101846041,0.865299043624202
LOC101862459,-2.99459858915227
LOC100533245,0.679875970778298
LOC101862691,0.0234532391266229
LOC100533249,-0.775077840441442
LOC101846927,0.455202774479031
LOC101847156,0.327650757588035
LOC101847384,0.42560326724868
LOC101847916,2.37743730532432
LOC101848154,0.547260625915211
LOC101848702,3.56385072422265
LOC101862909,0.197848760634044
LOC101863146,-1.92092085421806
LOC101849419,-0.159706698668595
LOC101849656,0.66462184617744
LOC106012021,0.575626255203357
LOC101863390,0.088764659747967
LOC101849892,-0.395890780941789
LOC101850124,1.98206970221957
LOC101850373,-3.44529807745225
LOC101850608,-0.241063507020227
LOC101850854,0.401782221805311
LOC118477874,-6.60223993005682
LOC101851082,-1.04449798394788
LOC101851304,0.910488543302361
