name	term	lev	seq	value
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101850262	-0.55458432787731
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101853309	-0.025109915574759
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101856753	3.75227981856279
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101856753	3.75227981856279
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101856753	3.75227981856279
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101855953	-3.27336747424193
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101859385	-1.17399809146918
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101847927	-1.08193204044606
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101845044	0.0727153640152597
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101859249	-1.57845840914043
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101861013	-0.419974412899899
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101861013	-0.419974412899899
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101851342	-0.120520900573761
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101851342	-0.120520900573761
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101859648	-0.956254682710538
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101859648	-0.956254682710538
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101846967	-0.155631873563653
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101859588	0.318844144568173
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101860693	-0.964070253935944
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC118478570	-1.58244354942681
"meiosis I cell cycle process"	GO:0000712;GO:0061982	4	LOC101846295	0.0723076487284371
"muscle system process"	GO:0003012	3	LOC101862765	3.91623936916133
"muscle system process"	GO:0003012	3	LOC101862765	3.91623936916133
"muscle system process"	GO:0003012	3	LOC101855097	-1.72234569592402
"muscle system process"	GO:0003012	3	LOC101864209	0.121622518144627
"muscle system process"	GO:0003012	3	LOC101847753	-2.10764261519811
"muscle system process"	GO:0003012	3	LOC101847753	-2.10764261519811
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101862512	0.775539528990475
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101852935	2.53665338920929
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101863217	0.0584148023193452
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101855246	0.548825796130094
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101854056	0.314673713520381
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101854056	0.314673713520381
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101858414	5.11264995033895
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101863341	-0.225569550371843
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101861392	3.34881090969152
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101846839	8.7690668122837
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101863819	-0.0106815025321638
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101848853	-0.572989818538222
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101859348	1.0028478267058
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101862149	0.781072936792381
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101863536	4.27354871497825
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101863536	4.27354871497825
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101862205	0.347324809682201
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101850177	0.108501373929366
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101861221	1.13189387686525
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101864458	3.78571441108192
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101853972	-0.0723641503364639
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101854878	2.44916087212151
"spliceosomal snRNP assembly"	GO:0000387	3	LOC101862187	4.46352615779524
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101854138	0.425826608827005
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101858220	-0.523076048401113
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC106011375	-1.8034403074879
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101864081	-0.317013825055189
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101857920	-4.20792763797571
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101851151	0.720307218564811
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101862329	-0.0499732085506906
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101846929	-6.25855688690441
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101859458	-5.15781383400581
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101862269	-0.878297363725213
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101860816	-2.0694498308667
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101851786	-2.02124677531546
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101854654	-0.125500706869949
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101858969	1.59235511671222
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101862355	1.89815627387291
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101862355	1.89815627387291
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101862355	1.89815627387291
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101853883	0.495963952674729
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101853883	0.495963952674729
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101853883	0.495963952674729
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101850366	-0.472139418900271
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101857188	-0.767659161848816
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101857188	-0.767659161848816
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101857188	-0.767659161848816
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101859591	-4.27198351687871
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101847816	1.48170555384672
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101854708	3.76319088185361
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101860268	-2.80182871452542
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC106013771	1.22266741601591
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101855409	-0.253234831597778
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101863640	1.65185292051894
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101845690	-0.099971624353433
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101846791	-1.03620947183418
"small molecule metabolic process"	GO:0044281;GO:0019752;GO:0043436;GO:0006082;GO:0006631;GO:0032787	2	LOC101849702	-1.22605795362362
