name	term	lev	seq	value
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101855759	-0.0475632451211859
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101850736	-0.313314396858575
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101850736	-0.313314396858575
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101858255	1.80846999236532
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101856634	0.300410290591262
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC118479183	0.0662710446305445
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101862041	0.0412986186210675
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101864623	-0.402279585564966
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101854221	0.569835103855228
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101854221	0.569835103855228
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101853119	-0.139244094046574
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101853119	-0.139244094046574
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101863846	-0.014047428398263
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101863846	-0.014047428398263
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101857555	0.119800520323515
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101852566	0.233424074328716
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101864664	0.268339465395321
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101853709	-0.356420362494422
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101859250	0.637206640101743
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101846134	0.63160024880392
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101858802	-0.573352832686647
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101846772	0.317867457297703
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101864627	-0.192974050553801
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101864627	-0.192974050553801
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101860186	-0.171904535425918
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101860186	-0.171904535425918
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101860186	-0.171904535425918
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101860186	-0.171904535425918
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101850699	-0.823689276881254
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101858205	0.381913587149806
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101859811	-0.780119152476752
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101859811	-0.780119152476752
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101859811	-0.780119152476752
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101858514	-0.572787371660343
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101858514	-0.572787371660343
"nuclear envelope"	GO:0005635;GO:0031967;GO:0031975	4	LOC101854185	0.202526999728004
"axoneme"	GO:0005930	2	LOC101856051	1.07417381064685
"axoneme"	GO:0005930	2	LOC101850956	-0.639072006946984
"axoneme"	GO:0005930	2	LOC101861436	-0.588839332531015
"axoneme"	GO:0005930	2	LOC101861436	-0.588839332531015
"axoneme"	GO:0005930	2	LOC101861436	-0.588839332531015
"axoneme"	GO:0005930	2	LOC101847758	-0.317177395083339
"axoneme"	GO:0005930	2	LOC101858971	0.0453396795875355
"axoneme"	GO:0005930	2	LOC101858971	0.0453396795875355
"axoneme"	GO:0005930	2	LOC101858971	0.0453396795875355
"axoneme"	GO:0005930	2	LOC101859990	-1.19019350830174
"histone acetyltransferase complex"	GO:0000124;GO:0070461;GO:0000123;GO:0031248;GO:1902493	6	LOC101855624	-0.051952510623395
"histone acetyltransferase complex"	GO:0000124;GO:0070461;GO:0000123;GO:0031248;GO:1902493	6	LOC101855624	-0.051952510623395
