name	term	lev	seq	value
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101858327	-0.0954639747031923
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101845998	-0.248312478000119
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101856031	0.23798320279017
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101856031	0.23798320279017
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101856031	0.23798320279017
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101856369	0.138244172720023
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101852408	-0.122935066774425
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101847134	-2.90926156534836
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101847134	-2.90926156534836
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101859887	0.482763747124355
"nucleotide-excision repair complex"	GO:0000109;GO:1990391	2	LOC101858897	-1.32255911162702
"sex chromosome"	GO:0000805;GO:0000803	3	LOC106012916	-0.202523418253172
"sex chromosome"	GO:0000805;GO:0000803	3	LOC101858970	-0.400142215294454
"sex chromosome"	GO:0000805;GO:0000803	3	LOC101862231	-0.595900825257219
"sex chromosome"	GO:0000805;GO:0000803	3	LOC101862231	-0.595900825257219
"sex chromosome"	GO:0000805;GO:0000803	3	LOC101846699	-0.239894930859607
"Golgi cis cisterna"	GO:0000137	2	LOC101849152	1.10624337599698
"Golgi cis cisterna"	GO:0000137	2	LOC101845937	0.045003979906686
"Golgi cis cisterna"	GO:0000137	2	LOC101845937	0.045003979906686
"Golgi cis cisterna"	GO:0000137	2	LOC101845937	0.045003979906686
"Golgi cis cisterna"	GO:0000137	2	LOC101851083	-0.524130554909731
"Golgi cis cisterna"	GO:0000137	2	LOC101845183	0.77209352946997
"Golgi cis cisterna"	GO:0000137	2	LOC101862609	0.487374593875243
"Golgi cis cisterna"	GO:0000137	2	LOC101847963	-0.352391969304792
"Golgi cis cisterna"	GO:0000137	2	LOC101847963	-0.352391969304792
"nuclear exosome (RNase complex)"	GO:0000176	4	LOC101862788	0.0262358847506551
"nuclear exosome (RNase complex)"	GO:0000176	4	LOC101851602	-0.737290116171829
"nuclear exosome (RNase complex)"	GO:0000176	4	LOC101861256	-1.74402040493812
"nuclear exosome (RNase complex)"	GO:0000176	4	LOC101854112	0.606579832481839
"nuclear exosome (RNase complex)"	GO:0000176	4	LOC101854112	0.606579832481839
"zona pellucida receptor complex"	GO:0002199	2	LOC101850663	0.506786508051311
"zona pellucida receptor complex"	GO:0002199	2	LOC101861055	-0.357211364675334
"zona pellucida receptor complex"	GO:0002199	2	LOC101845428	0.234398605626918
"zona pellucida receptor complex"	GO:0002199	2	LOC101845906	-0.163649038801876
"zona pellucida receptor complex"	GO:0002199	2	LOC101856060	0.268083643228778
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101846060	1.58740606577788
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101847582	-0.765703845245662
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101862788	0.0262358847506551
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101851602	-0.737290116171829
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101861256	-1.74402040493812
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101847687	-1.07169173769219
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101856654	-0.922764534037937
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101856654	-0.922764534037937
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101854112	0.606579832481839
"exosome (RNase complex)"	GO:0000178;GO:1905354	3	LOC101854112	0.606579832481839
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC106012984	0.100593066917872
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101860037	0.502679523402835
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101860037	0.502679523402835
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101851993	-0.179163401150734
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101856008	1.05438307526774
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101845283	0.754897656261355
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101847938	0.609495927525511
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101847938	0.609495927525511
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101856359	-0.142655668879948
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101847938	0.609495927525511
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101850811	0.00313476644012115
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101859175	-0.659582782050595
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC118479057	-0.67622906964345
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101859140	-0.372487029422972
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101859610	0.00793030851919559
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101846590	0.251049109355833
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101857895	0.210466693325281
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101860760	0.499495121424261
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101846294	0.076361261115442
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101849761	-0.687961879477254
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101848603	1.094277668315
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101858640	-0.0790432851867048
"polymeric cytoskeletal fiber"	GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513	2	LOC101852106	-0.420468959695643
