name	term	lev	seq	value
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101864342	-0.0502106858970478
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101852147	-1.79897450611408
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101850955	4.34954641555753
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101858392	-0.0979119393028114
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101856486	-0.805821311246588
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101848103	0.728448175755758
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101856828	3.84485116176386
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101856828	3.84485116176386
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101856828	3.84485116176386
"aminoacyl-tRNA editing activity"	GO:0002161	4	LOC101856828	3.84485116176386
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC118478011	-0.84937414668566
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101855082	0.604214748393001
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101855082	0.604214748393001
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101855082	0.604214748393001
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101854948	5.0337828172493
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101848880	2.29176963236261
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101859994	-0.312472570913109
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101858195	5.94460850277645
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101851138	0.650964076143747
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101851138	0.650964076143747
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101850061	0.513422666928369
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101864510	-0.163032325610689
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101858285	-1.76995063623964
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101861269	0.140409394591076
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101860716	-2.33260029019167
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101855163	-1.00683056521496
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101862272	0.0537262140935618
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101861269	0.140409394591076
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101856987	-1.90754710239417
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101855163	-1.00683056521496
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101845306	-1.64033910111361
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101845156	2.1940930337867
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101849545	2.97732628382784
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101849545	2.97732628382784
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101849545	2.97732628382784
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101849545	2.97732628382784
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101854224	-0.302966307212732
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101846635	-2.39925384953743
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101856236	0.541942144450196
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101856236	0.541942144450196
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101856236	0.541942144450196
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101856236	0.541942144450196
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101856236	0.541942144450196
"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	GO:0016903	3	LOC101849560	-0.501781242587973
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101856468	0.0256731685748652
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101854191	0.462117257715527
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101851353	0.905084973639517
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101853274	8.29067760286484
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101847849	-10.978452009815
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101846151	6.25791873815567
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101847830	-4.02634322277951
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101857377	-1.79537194945922
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101851305	1.13495513305209
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101857887	-0.0975427690231329
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101857887	-0.0975427690231329
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101857887	-0.0975427690231329
"ion transmembrane transporter activity"	GO:0015075;GO:0015318	2	LOC101857887	-0.0975427690231329
