name	term	lev	seq	value
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101853122	0.0142386808617481
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101853122	0.0142386808617481
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101853122	0.0142386808617481
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101846485	0.0560700000825468
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101846485	0.0560700000825468
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101861942	2.0507491233202
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101861942	2.0507491233202
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101844966	4.2739161151014
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101857742	1.1523879524892
"protein phosphorylated amino acid binding"	GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046	4	LOC101847793	0.663105251152686
