name	term	lev	seq	value
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101858873	-0.868387325898121
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101851482	-2.28578481123121
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101860153	-0.092163370258104
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101855282	0.832036282129612
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101853958	0.133464404831085
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101854817	0.0604102760697693
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101855044	2.15072144991902
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101845208	0.715833238331255
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101848085	-1.11108621199086
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101845430	-0.513600688495405
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101856935	0.258858322113622
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101856935	0.258858322113622
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101848085	-1.11108621199086
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC106011516	-0.148505576186754
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101846281	0.157865007984796
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101854682	0.0552297651146083
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101845698	-0.0578953485339699
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101855655	0.982880208092078
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101862405	-0.132032452029389
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101862405	-0.132032452029389
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101847348	0.274342436692869
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101854431	0.378426686599286
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101847116	-0.0203784649324499
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC118477818	-0.552784272485808
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101847348	0.274342436692869
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101850893	-0.318387120311551
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101845877	-0.0120760763280233
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101850515	0.425949473543104
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101850515	0.425949473543104
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101848919	-0.0132388160144854
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101856116	-3.92735387151075
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101856116	-3.92735387151075
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101859640	0.0849217919307408
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101859640	0.0849217919307408
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101859640	0.0849217919307408
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101859640	0.0849217919307408
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101849391	0.52762526093634
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101849391	0.52762526093634
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101849391	0.52762526093634
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101847480	0.598096185201789
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101861467	-1.83331366090673
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101861467	-1.83331366090673
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101859933	0.122184439858384
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101857138	-0.611769003727209
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101857656	-0.410794696463421
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101857656	-0.410794696463421
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101861849	-0.576763406674025
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101861849	-0.576763406674025
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101861849	-0.576763406674025
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101859739	0.0937315285361748
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101852858	0.541719986641077
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101855924	-4.24265385103403
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101855150	0.0202994319864027
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101845724	-0.376969562300845
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101859002	-0.653562258687815
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	Ap-uch	1.62630262877901
"cysteine-type peptidase activity"	GO:0004197;GO:0008234	4	LOC101847022	1.21406230378013
