"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
104 0.376367254444004 6 59 "GO:0000023;GO:0005984;GO:0009311;GO:0044262;GO:0000022;GO:0051231;GO:0002224;GO:0000354;GO:0000972;GO:0002790;GO:0002943;GO:0003351;GO:0051270;GO:0032940;GO:0043112;GO:0002155;GO:0016050;GO:0003352;GO:0060632;GO:0032886;GO:0001569;GO:0002183;GO:0006413;GO:0002755;GO:0001881;GO:0048666;GO:0001942;GO:0022405;GO:0022404;GO:0002040" "sprouting angiogenesis" 0.645927585329574
610 0.0245156263881843 5 11 "GO:0000028" "ribosomal small subunit assembly" 0.141522025059064
188 0.141631108050447 3 50 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.391025015704495
270 0.298976403401552 6 12 "GO:0000054;GO:0033750;GO:0071428;GO:0031503;GO:0071426;GO:0006405;GO:0006611;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.570812171459389
-72 0.447754033321649 4 93 "GO:0000070;GO:0000819;GO:0098813;GO:0007059;GO:0001658;GO:0048754;GO:0035239;GO:0061138;GO:0001763;GO:0000255;GO:0017144;GO:0000027" "tube morphogenesis" 0.676961455141065
-145 0.322730807504593 4 38 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "negative regulation of cell cycle" 0.585525893615476
90 0.75278138548363 2 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.882889261819233
270 0.342363952705612 7 10 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.601382199581392
265 0.271104217487731 2 14 "GO:0000266;GO:0048285" "organelle fission" 0.546511676522886
296 0.163481580760415 6 18 "GO:0000338;GO:0070646;GO:0006508" "proteolysis" 0.419989158780688
525 0.00763169884016032 3 21 "GO:0000387" "spliceosomal snRNP assembly" 0.0807688127250301
246 0.261081859061668 2 17 "GO:0000423;GO:0000422;GO:0061912;GO:0006914;GO:0061726;GO:0061919;GO:1903008;GO:0022411;GO:0016236" "cellular component disassembly" 0.534796711303739
234 0.38946661726389 7 11 "GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501" "cleavage involved in rRNA processing" 0.650819215690974
-156 0.670162953760099 2 6 "GO:0000460" "maturation of 5.8S rRNA" 0.851323821075402
463 0.0185935660374258 2 21 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.131187938152949
265 0.287990551889306 2 13 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.570812171459389
-122 0.588863751703518 2 16 "GO:0000712;GO:0061982" "meiosis I cell cycle process" 0.793139339330093
533 0.0754448060480111 8 9 "GO:0000727" "double-strand break repair via break-induced replication" 0.266152510224928
372 0.310806247316129 4 6 "GO:0000737;GO:0006308" "DNA catabolic process" 0.577671186234221
-93 0.799489154311337 6 6 "GO:0000963;GO:0000959;GO:0140053;GO:0010467" "mitochondrial RNA metabolic process" 0.906563594620891
-366 0.0218711868226768 2 32 "GO:0001503" "ossification" 0.132268606022855
-309 0.0181537536840234 3 48 "GO:0001505;GO:0098657;GO:0001504;GO:0006836" "regulation of neurotransmitter levels" 0.131187938152949
-42 0.908212942209058 4 6 "GO:0001508;GO:0042391" "regulation of membrane potential" 0.970160301445207
495 0.0684009714461066 4 11 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006636;GO:0046456;GO:0006633;GO:0033559;GO:0006690;GO:0046394;GO:1901570;GO:0008610;GO:0072330;GO:1901568;GO:0016053;GO:0044283" "carboxylic acid biosynthetic process" 0.255497746283986
318 0.241112361932255 3 11 "GO:0001541;GO:0048608" "reproductive structure development" 0.524776094678829
802 0.0746312713777573 2 4 "GO:0001554" "luteolysis" 0.266152510224928
52 0.674980094502551 4 54 "GO:0001558;GO:0040008;GO:0051128" "regulation of cellular component organization" 0.851323821075402
-436 0.0458217557312251 4 17 "GO:0001561;GO:0009062;GO:0019395;GO:0044242;GO:0072329;GO:0016042;GO:0046395;GO:0016054;GO:0044282;GO:0034440;GO:0055114" "carboxylic acid catabolic process" 0.21553196214317
80 0.246233064593871 3 181 "GO:0001578;GO:0007283;GO:0048232;GO:0007276;GO:0048609;GO:0010842;GO:0008217;GO:0000012;GO:0007389;GO:0042127;GO:0001731;GO:0001835;GO:0035188;GO:0071684;GO:0000002;GO:0002221;GO:0002758;GO:0002757;GO:0002764;GO:0048598;GO:0000380;GO:0003180;GO:0003179;GO:0000076;GO:0001657;GO:0072164;GO:0035295;GO:0072163;GO:0072073;GO:0060429;GO:0009888;GO:0001755;GO:0001667;GO:0016192;GO:0002092;GO:0048260;GO:0045807;GO:0051050;GO:0051130;GO:0001936;GO:0050678;GO:0001678;GO:0042593;GO:0033500;GO:0003429;GO:0003414;GO:0003422;GO:0090171;GO:0060536;GO:0009887;GO:0001990;GO:0003044;GO:0050886;GO:0003073;GO:0001656;GO:0002780;GO:0002777;GO:0002062;GO:0003143;GO:0060562" "ameboidal-type cell migration" 0.524776094678829
-178 0.430254064719138 4 16 "GO:0001654;GO:0007423" "eye development" 0.665078549774495
-78 0.499417181679351 3 61 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to oxygen levels" 0.72903427670434
142 0.751574728902824 5 4 "GO:0001682;GO:0099116;GO:0034471;GO:0000966" "ncRNA 5'-end processing" 0.882889261819233
-113 0.677037054556028 3 11 "GO:0001692;GO:0006576;GO:0042133;GO:0052803;GO:0097164;GO:0044106;GO:0009308" "ammonium ion metabolic process" 0.851323821075402
274 0.419969970404055 3 7 "GO:0001704" "formation of primary germ layer" 0.665078549774495
145 0.123212054611262 5 94 "GO:0001709;GO:0001825;GO:0001952;GO:0010810;GO:0030155;GO:0001958;GO:0036075;GO:0002091;GO:0048261;GO:0045806;GO:0051051;GO:0051129;GO:0001768;GO:0001767;GO:0030010;GO:0007163;GO:0001676;GO:0001756;GO:0009952;GO:0035282;GO:0003002;GO:0002230;GO:0050691;GO:0050688;GO:0000050;GO:0019627;GO:0071941;GO:0031667;GO:0009991;GO:0003382;GO:0002520;GO:0002011;GO:0001938;GO:0050679;GO:0008284;GO:0009966;GO:0010646;GO:0001954;GO:0010811;GO:0045785;GO:0000018;GO:0051052;GO:0030488;GO:0002021;GO:0000492;GO:0000491;GO:0003050" "regulation of cell-matrix adhesion" 0.363905370596053
1239 5.01578747475009e-06 2 11 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.000212335003097754
-131 0.244674776319455 4 65 "GO:0001764;GO:0016477;GO:0048870;GO:0040011" "locomotion" 0.524776094678829
684 0.0890131385223582 2 5 "GO:0001782" "B cell homeostasis" 0.289863297239474
264 0.331456815910047 2 11 "GO:0001817" "regulation of cytokine production" 0.592887543951774
-60 0.881206496875045 3 5 "GO:0001818;GO:0051241" "negative regulation of cytokine production" 0.970160301445207
296 0.384034947486321 5 7 "GO:0001819;GO:0051240" "positive regulation of multicellular organismal process" 0.650299177743504
-182 0.0429751298753993 3 103 "GO:0001822;GO:0048513" "animal organ development" 0.20991698054522
628 0.0872959532410236 2 6 "GO:0001824" "blastocyst development" 0.289863297239474
-18 0.969129260697039 5 4 "GO:0001836;GO:0008637" "apoptotic mitochondrial changes" 0.994416618429758
544 0.0157313758952031 3 16 "GO:0001889;GO:0048732" "gland development" 0.131187938152949
-126 0.565534421368856 2 17 "GO:0001921;GO:0001919;GO:0023056;GO:0023051" "regulation of signaling" 0.780683386020051
-161 0.21833181087377 5 48 "GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0048522;GO:0010604;GO:0051173" "positive regulation of cellular process" 0.513484073721644
-82 0.823118064045035 2 6 "GO:0001947" "heart looping" 0.916982404681749
-489 0.15038420628727 4 7 "GO:0001964;GO:0050905" "neuromuscular process" 0.397891545801735
-674 0.133653517739073 2 4 "GO:0001974;GO:0048771" "blood vessel remodeling" 0.385772653474143
368 0.247925714021494 3 8 "GO:0001975;GO:0009410;GO:0009636;GO:0014075;GO:0097366;GO:0010243;GO:0010033;GO:1901698;GO:0042493" "response to organic substance" 0.524776094678829
174 0.698547196364221 2 4 "GO:0002026" "regulation of the force of heart contraction" 0.869759744492707
-226 0.539074307210978 3 6 "GO:0002064" "epithelial cell development" 0.760693744619936
-7 0.985666953520836 6 6 "GO:0002084;GO:0035601;GO:0042159;GO:0098734;GO:0098732;GO:0030163;GO:0042157" "protein depalmitoylation" 0.99666780334278
93 0.599538398233771 4 26 "GO:0002090;GO:0048259;GO:0030100;GO:0060627;GO:0051049;GO:0032879" "regulation of localization" 0.793139339330093
-306 0.0366432921838353 2 38 "GO:0002098;GO:0002097;GO:0001736;GO:0007164;GO:0001570" "vasculogenesis" 0.189341186853421
