"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
53 0.65536053410039 5 59 "GO:0000023;GO:0005984;GO:0009311;GO:0044262;GO:0000022;GO:0051231;GO:0002224;GO:0000354;GO:0000972;GO:0002790;GO:0002943;GO:0003351;GO:0051270;GO:0032940;GO:0043112;GO:0002155;GO:0016050;GO:0003352;GO:0060632;GO:0032886;GO:0001569;GO:0002183;GO:0006413;GO:0002755;GO:0001881;GO:0048666;GO:0001942;GO:0022405;GO:0022404;GO:0002040" "sprouting angiogenesis" 0.756647167884133
1045 0.000117096433203818 2 11 "GO:0000028" "ribosomal small subunit assembly" 0.00165236077965388
80 0.530859791518778 2 50 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.712041972477258
588 0.0236454960261736 5 12 "GO:0000054;GO:0033750;GO:0071428;GO:0031503;GO:0071426;GO:0006405;GO:0006611;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.107249214118716
-43 0.646931056416715 4 93 "GO:0000070;GO:0000819;GO:0098813;GO:0007059;GO:0001658;GO:0048754;GO:0035239;GO:0061138;GO:0001763;GO:0000255;GO:0017144;GO:0000027" "tube morphogenesis" 0.756647167884133
-115 0.431046760408741 2 38 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "negative regulation of cell cycle" 0.665829934273578
-223 0.432937873586355 4 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.665829934273578
672 0.0182959765698553 5 10 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.0929435609748649
81 0.73676956052422 3 14 "GO:0000266;GO:0048285" "organelle fission" 0.786403698552868
352 0.0971328820277533 7 18 "GO:0000338;GO:0070646;GO:0006508" "proteolysis" 0.268171217772275
843 1.82068390991684e-05 4 21 "GO:0000387" "spliceosomal snRNP assembly" 0.000330324080799198
287 0.189169884081719 4 17 "GO:0000423;GO:0000422;GO:0061912;GO:0006914;GO:0061726;GO:0016236;GO:0061919;GO:1903008;GO:0022411" "cellular component disassembly" 0.445519876062632
665 0.0142066600975697 6 11 "GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501" "RNA phosphodiester bond hydrolysis" 0.0820111741996069
324 0.378218435409084 2 6 "GO:0000460" "maturation of 5.8S rRNA" 0.623814822038359
642 0.0011107977930507 3 21 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.00940475464782926
801 0.00133070935121877 4 13 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.010562505475299
-22 0.923218471810426 2 16 "GO:0000712;GO:0061982" "meiosis I cell cycle process" 0.923218471810426
323 0.281124714742052 2 9 "GO:0000727" "double-strand break repair via break-induced replication" 0.525041746650597
254 0.489804018740738 3 6 "GO:0000737;GO:0006308" "DNA catabolic process, endonucleolytic" 0.70687625431902
187 0.610644571302516 2 6 "GO:0000963;GO:0000959;GO:0140053;GO:0010467" "mitochondrial RNA metabolic process" 0.756647167884133
-196 0.219140631003566 2 32 "GO:0001503" "ossification" 0.47094408666617
-520 6.98688637225231e-05 3 48 "GO:0001505;GO:0098657;GO:0001504;GO:0006836" "regulation of neurotransmitter levels" 0.00110916821159505
-414 0.259644046583025 4 6 "GO:0001508;GO:0042391" "regulation of membrane potential" 0.50589154858448
480 0.0772468696364303 6 11 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570" "carboxylic acid biosynthetic process" 0.233554501188403
188 0.489255437539873 2 11 "GO:0001541;GO:0048608" "reproductive structure development" 0.70687625431902
