"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
128 0.280184327495635 3 59 "GO:0000023;GO:0005984;GO:0009311;GO:0044262;GO:0000022;GO:0051231;GO:0002224;GO:0000354;GO:0000972;GO:0002790;GO:0002943;GO:0003351;GO:0051270;GO:0032940;GO:0043112;GO:0002155;GO:0016050;GO:0003352;GO:0060632;GO:0032886;GO:0001569;GO:0002183;GO:0006413;GO:0002755;GO:0001881;GO:0048666;GO:0001942;GO:0022405;GO:0022404;GO:0002040" "sprouting angiogenesis" 0.585063057415797
262 0.334646733288234 2 11 "GO:0000028" "ribosomal small subunit assembly" 0.613306800760397
454 0.000391081587669437 2 50 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.0102156731851685
-247 0.341567615027682 6 12 "GO:0000054;GO:0033750;GO:0071428;GO:0031503;GO:0071426;GO:0006405;GO:0006611;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0051169;GO:0015931" "nucleocytoplasmic transport" 0.613306800760397
-137 0.148496688872516 3 93 "GO:0000070;GO:0000819;GO:0098813;GO:0007059;GO:0001658;GO:0048754;GO:0035239;GO:0061138;GO:0001763;GO:0000255;GO:0017144;GO:0000027" "tube morphogenesis" 0.496291565442356
-201 0.171430713308071 3 38 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "negative regulation of cell cycle" 0.517336404119742
-63 0.823835521473559 6 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.915876127735305
666 0.0193288568147357 3 10 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.144397930321849
87 0.717521690524722 4 14 "GO:0000266;GO:0048285" "organelle fission" 0.869071525490045
501 0.0182724447885922 5 18 "GO:0000338;GO:0070646;GO:0006508" "proteolysis" 0.144397930321849
628 0.00140516322536016 2 21 "GO:0000387" "spliceosomal snRNP assembly" 0.0213339091776869
232 0.28756546551343 2 17 "GO:0000423;GO:0000422;GO:0061912;GO:0006914;GO:0061726;GO:0061919;GO:1903008;GO:0022411;GO:0016236" "cellular component disassembly" 0.585063057415797
183 0.500303107123088 2 11 "GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501" "cleavage involved in rRNA processing" 0.747511701230967
-64 0.862252218564722 3 6 "GO:0000460" "maturation of 5.8S rRNA" 0.920186290843171
161 0.41234090896235 4 21 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.697474571098669
-132 0.596410957912602 3 13 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.824532726943824
63 0.7793129764567 3 16 "GO:0000712;GO:0061982" "meiosis I cell cycle process" 0.886714983448894
408 0.173545665181575 3 9 "GO:0000727" "double-strand break repair via break-induced replication" 0.517336404119742
353 0.335979872075873 3 6 "GO:0000737;GO:0006308" "DNA catabolic process" 0.613306800760397
217 0.555422655357544 2 6 "GO:0000963;GO:0000959;GO:0140053;GO:0010467" "mitochondrial RNA metabolic process" 0.810789393452967
-336 0.0355402019465778 2 32 "GO:0001503" "ossification" 0.217597791360063
-463 0.000402191857683801 2 48 "GO:0001505;GO:0098657;GO:0001504;GO:0006836" "regulation of neurotransmitter levels" 0.0102156731851685
271 0.46139251166447 3 6 "GO:0001508;GO:0042391" "regulation of membrane potential" 0.723417888659107
475 0.0803367099592114 6 11 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:1901568;GO:0006636;GO:0046456;GO:0006633;GO:0046394;GO:1901570;GO:0016053;GO:0044283;GO:0008610;GO:0072330" "carboxylic acid biosynthetic process" 0.309658939077047
475 0.0798727188872759 2 11 "GO:0001541;GO:0048608" "reproductive structure development" 0.309658939077047
460 0.306742970666991 3 4 "GO:0001554" "luteolysis" 0.590475678779491
65 0.596576971181834 2 54 "GO:0001558;GO:0040008;GO:0051128" "regulation of cellular component organization" 0.824532726943824
-296 0.17516114470196 6 17 "GO:0001561;GO:0009062;GO:0019395;GO:0044242;GO:0072329;GO:0034440;GO:0016042;GO:0046395;GO:0055114;GO:0016054;GO:0044282" "carboxylic acid catabolic process" 0.517336404119742
147 0.0330779070495004 3 181 "GO:0001578;GO:0007283;GO:0048232;GO:0007276;GO:0048609;GO:0010842;GO:0008217;GO:0000012;GO:0007389;GO:0042127;GO:0001731;GO:0001835;GO:0035188;GO:0071684;GO:0000002;GO:0002221;GO:0002758;GO:0002757;GO:0002764;GO:0048598;GO:0000380;GO:0003180;GO:0003179;GO:0000076;GO:0001657;GO:0072164;GO:0035295;GO:0072163;GO:0072073;GO:0060429;GO:0009888;GO:0001755;GO:0001667;GO:0016192;GO:0002092;GO:0048260;GO:0045807;GO:0051050;GO:0051130;GO:0001936;GO:0050678;GO:0001678;GO:0042593;GO:0033500;GO:0003429;GO:0003414;GO:0003422;GO:0090171;GO:0060536;GO:0009887;GO:0001990;GO:0003044;GO:0050886;GO:0003073;GO:0001656;GO:0002780;GO:0002777;GO:0002062;GO:0003143;GO:0060562" "ameboidal-type cell migration" 0.217597791360063
-269 0.232881607350635 4 16 "GO:0001654;GO:0007423" "eye development" 0.585063057415797
-100 0.387542008480518 3 61 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to oxygen levels" 0.665105879419267
