"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1012 0.00013889616664338 2 11 "GO:0000028" "ribosomal small subunit assembly" 0.00840321808192449
-113 0.368852726929502 2 50 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.740227820271482
250 0.34546423263896 6 11 "GO:0000054;GO:0033750;GO:0071428;GO:0031503;GO:0071426;GO:0006405;GO:0006611;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.733353897356389
-50 0.732817270976475 3 36 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "negative regulation of cell cycle" 0.914723359463406
113 0.0817453487973157 3 195 "GO:0000082;GO:0044843;GO:0051641;GO:0051649;GO:0071702;GO:0071705;GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0002009;GO:0048729" "tissue morphogenesis" 0.371588705446832
-307 0.270960656427016 5 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.700468100281202
-358 0.198659654328274 3 10 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.58628824813954
597 0.0244409711314531 5 11 "GO:0000266;GO:0048285" "mitochondrial fission" 0.217398976805256
-381 0.289399294951366 4 6 "GO:0000303;GO:0000305;GO:0010035" "response to inorganic substance" 0.700468100281202
358 0.0944070785449483 3 17 "GO:0000338;GO:0070646;GO:0006508" "proteolysis" 0.403422499986466
78 0.685752106496672 2 21 "GO:0000387" "spliceosomal snRNP assembly" 0.914723359463406
156 0.465709823111961 2 17 "GO:0000423;GO:0000422;GO:0061912;GO:0006914;GO:0061726;GO:0061919;GO:1903008;GO:0022411;GO:0016236" "cellular component disassembly" 0.765273053141201
-6 0.982176962423135 2 11 "GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501" "cleavage involved in rRNA processing" 0.982612421203742
-1041 0.00375619546247063 2 6 "GO:0000460" "maturation of 5.8S rRNA" 0.0692674252733471
-172 0.37254144053289 5 21 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.740227820271482
-572 0.0192540228718424 2 13 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.194144730624411
-5 0.982612421203742 2 15 "GO:0000712;GO:0061982" "meiosis I cell cycle process" 0.982612421203742
965 0.00100951204437079 3 9 "GO:0000727" "double-strand break repair via break-induced replication" 0.0305377393422164
-588 0.101838230873911 3 6 "GO:0000737;GO:0006308" "DNA catabolic process, endonucleolytic" 0.403422499986466
-716 0.0462498933341296 2 6 "GO:0000963;GO:0000959;GO:0140053;GO:0010467" "mitochondrial RNA metabolic process" 0.279811854671484
-346 0.0269502863808169 2 32 "GO:0001503" "ossification" 0.217398976805256
241 0.0619936513495089 2 47 "GO:0001505;GO:0098657;GO:0001504;GO:0006836" "regulation of neurotransmitter levels" 0.326140513621329
538 0.134519588316321 3 6 "GO:0001508;GO:0042391" "regulation of membrane potential" 0.452135282952079
-110 0.679523802470425 6 11 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006636;GO:0046456;GO:0006633;GO:0033559;GO:0006690;GO:0046394;GO:1901570;GO:0008610;GO:0072330;GO:1901568;GO:0016053;GO:0044283" "carboxylic acid biosynthetic process" 0.914723359463406
-285 0.306816605908295 4 10 "GO:0001541;GO:0048608" "reproductive structure development" 0.700468100281202
284 0.518373591210688 3 4 "GO:0001554" "luteolysis" 0.822650481848145
102 0.398389283239864 2 54 "GO:0001558;GO:0040008;GO:0051128" "regulation of cellular component organization" 0.741616973415747
217 0.325765865097137 6 16 "GO:0001561;GO:0009062;GO:0019395;GO:0044242;GO:0072329;GO:0016042;GO:0046395;GO:0016054;GO:0044282;GO:0034440;GO:0055114" "carboxylic acid catabolic process" 0.703886958513457
