"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1219 4.38262203121527e-06 4 11 "GO:0000028" "ribosomal small subunit assembly" 0.000132574316444262
-294 0.0190557393732576 2 50 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.177364958781859
-395 0.136615675686073 6 11 "GO:0000054;GO:0033750;GO:0071428;GO:0031503;GO:0071426;GO:0006405;GO:0006611;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.579608800944668
34 0.815742924975813 6 36 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "negative regulation of cell cycle" 0.962447309047188
75 0.246421852534807 4 195 "GO:0000082;GO:0044843;GO:0051641;GO:0051649;GO:0071702;GO:0071705;GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0002009;GO:0048729" "tissue morphogenesis" 0.709929622778849
12 0.964497999515428 6 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.989435539063169
-193 0.487709026998429 2 10 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.907889111797076
57 0.830991367276907 4 11 "GO:0000266;GO:0048285" "organelle fission" 0.962447309047188
-270 0.453114104999642 2 6 "GO:0000303;GO:0000305;GO:0010035" "response to inorganic substance" 0.907889111797076
-531 0.0129819978868735 4 17 "GO:0000338;GO:0070646;GO:0006508" "proteolysis" 0.130901812025974
-149 0.438269469746108 3 21 "GO:0000387" "spliceosomal snRNP assembly" 0.907889111797076
-97 0.648544686542224 2 17 "GO:0000423;GO:0000422;GO:0061912;GO:0006914;GO:0061726;GO:0061919;GO:1903008;GO:0022411;GO:0016236" "cellular component disassembly" 0.944464610929563
-351 0.185997849054621 10 11 "GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501" "cleavage involved in rRNA processing" 0.651420039431025
-516 0.150850679401706 2 6 "GO:0000460" "maturation of 5.8S rRNA" 0.588804264761498
-752 9.24954252870671e-05 2 21 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.00186532440995585
-863 0.000414076505705213 10 13 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.00573489260700026
-172 0.450349778952385 2 15 "GO:0000712;GO:0061982" "meiosis I cell cycle process" 0.907889111797076
642 0.0287077368881249 2 9 "GO:0000727" "double-strand break repair via break-induced replication" 0.231575744230874
110 0.759818181402207 3 6 "GO:0000737;GO:0006308" "DNA catabolic process" 0.962447309047188
-382 0.287287908876277 2 6 "GO:0000963;GO:0000959;GO:0140053;GO:0010467" "mitochondrial RNA metabolic process" 0.755692108131076
-191 0.220245649014055 2 32 "GO:0001503" "ossification" 0.662900850303303
188 0.146215504071669 3 47 "GO:0001505;GO:0098657;GO:0001504;GO:0006836" "regulation of neurotransmitter levels" 0.588804264761498
208 0.56219216110543 4 6 "GO:0001508;GO:0042391" "regulation of membrane potential" 0.944464610929563
68 0.797383373760622 5 11 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006636;GO:0046456;GO:0006690;GO:0033559;GO:1901568;GO:0006633;GO:0046394;GO:1901570;GO:0016053;GO:0044283;GO:0008610;GO:0072330" "carboxylic acid biosynthetic process" 0.962447309047188
-240 0.389334913398911 2 10 "GO:0001541;GO:0048608" "reproductive structure development" 0.907889111797076
546 0.214274750283969 3 4 "GO:0001554" "luteolysis" 0.662900850303303
52 0.665134439094816 2 54 "GO:0001558;GO:0040008;GO:0051128" "regulation of cellular component organization" 0.944464610929563
-134 0.542864162410371 4 16 "GO:0001561;GO:0009062;GO:0019395;GO:0044242;GO:0072329;GO:0016042;GO:0046395;GO:0016054;GO:0044282;GO:0034440;GO:0055114" "carboxylic acid catabolic process" 0.944464610929563
44 0.546953504467067 2 152 "GO:0001578;GO:0007283;GO:0048232;GO:0007276;GO:0048609;GO:0010842;GO:0008217;GO:0000012;GO:0007389;GO:0042127;GO:0001731;GO:0001835;GO:0035188;GO:0071684;GO:0000002;GO:0048598;GO:0000380;GO:0003180;GO:0003179;GO:0000076;GO:0001755;GO:0001667;GO:0016192;GO:0002092;GO:0048260;GO:0045807;GO:0051050;GO:0051130;GO:0001936;GO:0050678;GO:0001678;GO:0042593;GO:0033500;GO:0001990;GO:0003044;GO:0050886;GO:0003073;GO:0002062;GO:0003143;GO:0060562" "ameboidal-type cell migration" 0.944464610929563
-24 0.915563305582647 2 15 "GO:0001654;GO:0007423" "eye development" 0.980381946685843
-199 0.651875082486242 3 4 "GO:0001682;GO:0099116;GO:0034471;GO:0000966" "ncRNA 5'-end processing" 0.944464610929563
135 0.610028300640848 4 11 "GO:0001692;GO:0006576;GO:0042133;GO:0052803;GO:0097164;GO:0044106;GO:0009308" "neurotransmitter metabolic process" 0.944464610929563
593 0.131438721749309 2 5 "GO:0001704" "formation of primary germ layer" 0.579608800944668
29 0.719187921551901 5 123 "GO:0001709;GO:0001825;GO:0001952;GO:0010810;GO:0030155;GO:0001958;GO:0036075;GO:0002091;GO:0048261;GO:0045806;GO:0051051;GO:0051129;GO:0001768;GO:0001767;GO:0030010;GO:0007163;GO:0001676;GO:0002221;GO:0002758;GO:0002757;GO:0002764;GO:0001756;GO:0009952;GO:0035282;GO:0003002;GO:0001657;GO:0072164;GO:0035295;GO:0072163;GO:0072073;GO:0060429;GO:0009888;GO:0002230;GO:0050691;GO:0050688;GO:0000050;GO:0019627;GO:0071941;GO:0031667;GO:0009991;GO:0003382;GO:0002520;GO:0003429;GO:0003414;GO:0003422;GO:0090171;GO:0060536;GO:0009887;GO:0002011;GO:0001938;GO:0050679;GO:0008284;GO:0009966;GO:0010646;GO:0001954;GO:0010811;GO:0045785;GO:0000018;GO:0051052;GO:0001656;GO:0002780;GO:0002777;GO:0030488;GO:0002021;GO:0000492;GO:0000491;GO:0002040;GO:0003050" "metanephros development" 0.962447309047188
-604 0.0228312944465349 3 11 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.197327616287909
167 0.133744731463361 3 64 "GO:0001764;GO:0016477;GO:0048870;GO:0040011" "locomotion" 0.579608800944668
-278 0.479650770614135 3 5 "GO:0001782" "B cell homeostasis" 0.907889111797076
-420 0.113650466482997 4 11 "GO:0001817" "regulation of cytokine production" 0.572987768518443
-300 0.445836457034277 5 5 "GO:0001818;GO:0051241" "negative regulation of cytokine production" 0.907889111797076
-358 0.281757401287901 5 7 "GO:0001819;GO:0051240" "positive regulation of multicellular organismal process" 0.755692108131076
19 0.828484536204119 2 100 "GO:0001822;GO:0048513" "animal organ development" 0.962447309047188
-101 0.778295504074391 3 6 "GO:0001824" "blastocyst development" 0.962447309047188
-84 0.848975303286121 6 4 "GO:0001836;GO:0008637" "release of cytochrome c from mitochondria" 0.962447309047188
-280 0.204127073508045 5 16 "GO:0001889;GO:0048732" "liver development" 0.662900850303303
