"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-753 0.00458138257219021 4 11 "GO:0000028" "ribosomal small subunit assembly" 0.0692934114043769
180 0.149943826919012 2 50 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.533623619329425
-344 0.195433103158854 5 11 "GO:0000054;GO:0033750;GO:0071428;GO:0031503;GO:0071426;GO:0006405;GO:0006611;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0015931;GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.606343730313368
-223 0.129533921449833 7 36 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "negative regulation of cell cycle" 0.505600145013864
34 0.602186057058703 2 195 "GO:0000082;GO:0044843;GO:0051641;GO:0071702;GO:0071705;GO:0051649;GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0002009;GO:0048729" "tissue morphogenesis" 0.931263046717216
-441 0.112831011716201 2 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.478592890736038
-53 0.84780882974756 7 10 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.98087996250332
274 0.301544812964281 4 11 "GO:0000266;GO:0048285" "organelle fission" 0.721308726740961
-212 0.555624558213505 2 6 "GO:0000303;GO:0000305;GO:0010035" "response to inorganic substance" 0.927566430197188
337 0.114704081250786 3 17 "GO:0000338;GO:0070646;GO:0006508" "proteolysis" 0.478592890736038
-97 0.614409068002577 2 21 "GO:0000387" "spliceosomal snRNP assembly" 0.931263046717216
189 0.376154991461179 3 17 "GO:0000423;GO:0000422;GO:0061912;GO:0006914;GO:0061726;GO:0016236;GO:0061919;GO:1903008;GO:0022411" "cellular component disassembly" 0.831783690887703
-457 0.0851540728062625 4 11 "GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501" "cleavage involved in rRNA processing" 0.38510725772912
-851 0.0178457332234649 2 6 "GO:0000460" "maturation of 5.8S rRNA" 0.154238122859947
-550 0.00423253118317621 4 21 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0692934114043769
-891 0.000264657446745365 2 13 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.00640471021123783
25 0.911825551791031 2 15 "GO:0000712;GO:0061982" "meiosis I cell cycle process" 0.98087996250332
728 0.0131540603118565 3 9 "GO:0000727" "double-strand break repair via break-induced replication" 0.134343360845969
97 0.787582116894435 5 6 "GO:0000737;GO:0006308" "DNA catabolic process" 0.98087996250332
-688 0.0556124689762234 6 6 "GO:0000963;GO:0000959;GO:0140053;GO:0010467" "mitochondrial RNA metabolic process" 0.305048662341514
-341 0.0288636571860166 2 32 "GO:0001503" "ossification" 0.216416834629985
142 0.271215302971873 2 47 "GO:0001505;GO:0098657;GO:0001504;GO:0006836" "regulation of neurotransmitter levels" 0.71341416651297
83 0.816340840114958 2 6 "GO:0001508;GO:0042391" "regulation of membrane potential" 0.98087996250332
171 0.519974948627474 6 11 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006636;GO:0046456;GO:0006690;GO:0033559;GO:0006633;GO:0008610;GO:0072330;GO:0046394;GO:0016053;GO:0044283;GO:1901570;GO:1901568" "carboxylic acid biosynthetic process" 0.927566430197188
294 0.291387961176654 2 10 "GO:0001541;GO:0048608" "reproductive structure development" 0.721308726740961
574 0.19166940086516 3 4 "GO:0001554" "luteolysis" 0.606343730313368
-7 0.952223958827389 2 54 "GO:0001558;GO:0040008;GO:0051128" "regulation of cellular component organization" 0.98087996250332
483 0.0282595795113063 4 16 "GO:0001561;GO:0009062;GO:0019395;GO:0044242;GO:0072329;GO:0034440;GO:0016042;GO:0046395;GO:0055114;GO:0016054;GO:0044282" "carboxylic acid catabolic process" 0.216416834629985
50 0.496102439564474 3 152 "GO:0001578;GO:0007283;GO:0048232;GO:0007276;GO:0048609;GO:0010842;GO:0008217;GO:0000012;GO:0007389;GO:0042127;GO:0001731;GO:0001835;GO:0035188;GO:0071684;GO:0000002;GO:0048598;GO:0000380;GO:0003180;GO:0003179;GO:0000076;GO:0001755;GO:0001667;GO:0016192;GO:0002092;GO:0048260;GO:0045807;GO:0051050;GO:0051130;GO:0001936;GO:0050678;GO:0001678;GO:0042593;GO:0033500;GO:0001990;GO:0003044;GO:0050886;GO:0003073;GO:0002062;GO:0003143;GO:0060562" "ameboidal-type cell migration" 0.927566430197188
133 0.55960619342475 3 15 "GO:0001654;GO:0007423" "eye development" 0.927566430197188
824 0.0610360492111078 5 4 "GO:0001682;GO:0099116;GO:0034471;GO:0000966" "RNA 5'-end processing" 0.307723414772669
102 0.700798176159182 4 11 "GO:0001692;GO:0006576;GO:0042133;GO:0052803;GO:0097164;GO:0044106;GO:0009308" "neurotransmitter metabolic process" 0.945900049424646
455 0.247665211716815 3 5 "GO:0001704" "formation of primary germ layer" 0.681079332221241
-123 0.128702160440244 4 123 "GO:0001709;GO:0001825;GO:0001952;GO:0010810;GO:0030155;GO:0001958;GO:0036075;GO:0002091;GO:0048261;GO:0045806;GO:0051051;GO:0051129;GO:0001768;GO:0001767;GO:0030010;GO:0007163;GO:0001676;GO:0002221;GO:0002758;GO:0002757;GO:0002764;GO:0001756;GO:0009952;GO:0035282;GO:0003002;GO:0001657;GO:0072164;GO:0035295;GO:0072163;GO:0072073;GO:0060429;GO:0009888;GO:0002230;GO:0050691;GO:0050688;GO:0000050;GO:0019627;GO:0071941;GO:0031667;GO:0009991;GO:0003382;GO:0002520;GO:0003429;GO:0003414;GO:0003422;GO:0090171;GO:0060536;GO:0009887;GO:0002011;GO:0001938;GO:0050679;GO:0008284;GO:0009966;GO:0010646;GO:0001954;GO:0010811;GO:0045785;GO:0000018;GO:0051052;GO:0001656;GO:0002780;GO:0002777;GO:0030488;GO:0002021;GO:0000492;GO:0000491;GO:0002040;GO:0003050" "antimicrobial peptide biosynthetic process" 0.505600145013864
-664 0.0124077480496327 6 11 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.134343360845969
3 0.976319263860867 3 64 "GO:0001764;GO:0016477;GO:0048870;GO:0040011" "locomotion" 0.984455257726374
156 0.692701062539196 6 5 "GO:0001782" "B cell homeostasis" 0.945900049424646
-123 0.643648162294345 3 11 "GO:0001817" "regulation of cytokine production" 0.93833045346525
188 0.633230837558762 2 5 "GO:0001818;GO:0051241" "negative regulation of cytokine production" 0.93833045346525
-148 0.656493086625967 2 7 "GO:0001819;GO:0051240" "positive regulation of multicellular organismal process" 0.94268024377481
108 0.224760146199479 2 100 "GO:0001822;GO:0048513" "animal organ development" 0.647523278336594
27 0.93940076943855 2 6 "GO:0001824" "blastocyst development" 0.98087996250332
114 0.795835624418491 2 4 "GO:0001836;GO:0008637" "release of cytochrome c from mitochondria" 0.98087996250332
-305 0.166020613015346 4 16 "GO:0001889;GO:0048732" "gland development" 0.573956976424482
284 0.361893898416898 5 8 "GO:0001916;GO:0001912;GO:0001914;GO:0002711;GO:0001910;GO:0031343;GO:0031341;GO:0002854;GO:0002842;GO:0002852;GO:0002839;GO:0002840;GO:0002836;GO:0002837;GO:0002834" "positive regulation of T cell mediated cytotoxicity" 0.826210598272541
