"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
411 0.0994574730487556 4 8 "GO:0000109;GO:1990391" "nucleotide-excision repair complex" 0.202890576129346
255 0.0361390351885726 6 34 "GO:0000124;GO:0070461;GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 0.117927377983763
-188 0.551998100204765 2 5 "GO:0000127" "transcription factor TFIIIC complex" 0.645733626654631
365 0.204588355090862 2 6 "GO:0000137" "Golgi cis cisterna" 0.303581596216928
201 0.346216997163225 2 11 "GO:0000138" "Golgi trans cisterna" 0.451487215709506
265 3.63565836336279e-06 3 162 "GO:0000151;GO:1990234" "transferase complex" 5.63527046321233e-05
200 0.217410256514854 3 19 "GO:0000159;GO:0000791" "protein phosphatase type 2A complex" 0.313475253579557
208 0.158231496397956 3 23 "GO:0000164;GO:0008287;GO:1903293" "phosphatase complex" 0.265144669639818
633 0.0728375467366252 2 4 "GO:0000176" "nuclear exosome (RNase complex)" 0.167256588802621
471 0.0590576278281102 3 8 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.159198822840993
979 0.000673345981686054 3 6 "GO:0000221;GO:0033180;GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.00463860565161504
773 0.00374913980610611 6 7 "GO:0000243;GO:0005684;GO:0005681" "U2-type spliceosomal complex" 0.0178805129214291
420 0.115073888460565 5 7 "GO:0000307;GO:1902554;GO:1902911" "serine/threonine protein kinase complex" 0.222955658892345
486 0.0681510541282601 3 7 "GO:0000346" "transcription export complex" 0.162514052152005
319 0.175501134963355 4 9 "GO:0000407" "phagophore assembly site" 0.279001804300718
741 5.12541389705176e-16 3 61 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 3.17775661617209e-14
367 0.202731167208874 2 6 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.303581596216928
-469 0.137371497927882 4 5 "GO:0000779" "condensed chromosome, centromeric region" 0.243343796329391
35 0.415974641324136 2 313 "GO:0000786;GO:0032993;GO:0044815;GO:0120025;GO:0042995;GO:0044441;GO:0120038;GO:0044463;GO:0000932;GO:0036464;GO:0035770;GO:1990904;GO:0000776;GO:0000118;GO:0001726;GO:0001750;GO:0001725;GO:0042641;GO:0097517;GO:0032432;GO:0000922;GO:0001917" "ciliary part" 0.526335260450948
97 0.501286799429114 2 24 "GO:0000795;GO:0099086;GO:0044454;GO:0000172;GO:0005732;GO:0070062;GO:1903561;GO:0043230" "nuclear chromosome part" 0.621595631292101
-620 0.0785702244767134 4 4 "GO:0000805;GO:0000803" "X chromosome" 0.173976925627008
427 0.0871133346323614 4 8 "GO:0000835;GO:0000153;GO:0000836" "cytoplasmic ubiquitin ligase complex" 0.186242301627807
222 0.529371797388815 2 4 "GO:0000938" "GARP complex" 0.631174066117433
-597 0.00106148455695883 2 15 "GO:0001533" "cornified envelope" 0.00658120425314475
-268 0.0168382924167028 4 40 "GO:0001669;GO:0030141;GO:0097223;GO:0099503" "sperm part" 0.0652483831147233
-489 0.165704591841672 2 4 "GO:0001931" "uropod" 0.270360123531149
761 0.0158325494568688 2 5 "GO:0002199" "zona pellucida receptor complex" 0.0652483831147233
213 0.133370568025151 4 25 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.243205153457628
-13 0.954639256948103 3 9 "GO:0005637;GO:0031965" "nuclear membrane" 0.970289080832498
341 0.0617755281347302 3 15 "GO:0005730" "nucleolus" 0.15958678101472
287 4.72679951715159e-07 2 164 "GO:0005739" "mitochondrion" 9.76871900211329e-06
28 0.900670056820758 2 10 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.930692392048117
-345 0.0509492721267259 3 16 "GO:0005759" "mitochondrial matrix" 0.15794274359285
-133 3.95471103417581e-05 3 639 "GO:0005768;GO:0031410;GO:0097708;GO:0031982;GO:0044459;GO:0044429;GO:0005794;GO:0005615;GO:0044421;GO:0099512;GO:0099081;GO:0099080;GO:0001650;GO:0044452;GO:0044451;GO:0097458;GO:0098796;GO:0001527;GO:0044420" "extracellular region part" 0.0004903841682378
253 0.00170664138703975 2 79 "GO:0005769;GO:0000145;GO:0044448;GO:0099023;GO:0001772;GO:0000781;GO:0005802;GO:0001401;GO:0098799;GO:0002177" "tethering complex" 0.00961925145422405
73 0.349538489581553 4 84 "GO:0005774;GO:0044437;GO:0098805;GO:0005765;GO:0098852" "whole membrane" 0.451487215709506
-167 0.205652049050177 3 29 "GO:0005777;GO:0042579" "microbody" 0.303581596216928
-70 0.301728031022687 2 113 "GO:0005783" "endoplasmic reticulum" 0.415714176075702
-68 0.69941590144168 5 16 "GO:0005787;GO:0005604;GO:0062023;GO:0031012;GO:0005912;GO:0070161;GO:0030054;GO:0005811;GO:0005758;GO:0031970;GO:0002080;GO:0030667;GO:0030659;GO:0012506" "acrosomal membrane" 0.760768173497968
-40 0.667063470634116 2 58 "GO:0005813;GO:0005815;GO:0005764;GO:0000323;GO:0005773" "microtubule organizing center" 0.751962457805731
395 0.0253741380056131 4 16 "GO:0005814;GO:0000276;GO:0045263;GO:0000152;GO:0000220;GO:0033179" "centriole" 0.0873998086860007
-238 0.122835170461378 3 21 "GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513" "polymeric cytoskeletal fiber" 0.23078122935168
-388 1.4768834039141e-15 2 232 "GO:0005886" "plasma membrane" 4.57833855213371e-14
-307 0.000584308851673349 3 64 "GO:0005887;GO:0031226" "integral component of plasma membrane" 0.00452839360046845
227 0.308851281866501 2 10 "GO:0005929" "cilium" 0.416277814689632
-423 0.142057300831962 3 6 "GO:0005930" "axoneme" 0.244654240321712
-130 0.679581841651065 2 5 "GO:0008021;GO:0070382;GO:0030133" "synaptic vesicle" 0.752394181827965
-189 0.000457953448895996 3 184 "GO:0016021;GO:0031224" "integral component of membrane" 0.00452839360046845
126 0.613609046863053 5 8 "GO:0019005;GO:0031461" "cullin-RING ubiquitin ligase complex" 0.704514090842765
247 0.0214177928291665 3 44 "GO:0019866;GO:0031966;GO:0005743" "mitochondrial membrane" 0.0781119503181366
-4 0.986542811557759 3 10 "GO:0043073;GO:0001673" "germ cell nucleus" 0.986542811557759
-65 0.0673155044944533 3 486 "GO:0044430;GO:0005654;GO:0005829" "cytoskeletal part" 0.162514052152005
208 0.00956705252441008 3 80 "GO:0044432;GO:0005789" "endoplasmic reticulum part" 0.0423683754652446
59 0.732082239707432 3 17 "GO:0044433;GO:0036452;GO:0044440;GO:0000813" "cytoplasmic vesicle part" 0.782570670032082
229 0.00244648219856547 2 90 "GO:0044450;GO:0000421;GO:0001518;GO:0034706;GO:0098797;GO:0034703;GO:0034702;GO:1902495;GO:1990351;GO:0002102;GO:0044455;GO:0098798;GO:0000242;GO:0001891" "microtubule organizing center part" 0.0126401580259216
-366 0.101445288064673 1 10 "GO:0044456" "synapse part" 0.202890576129346
138 0.517456833541387 2 11 "GO:0061695" "transferase complex, transferring phosphorus-containing groups" 0.629065170187568
-230 0.0582446437788011 2 34 "GO:0070013;GO:0043233;GO:0031974;GO:0005788" "intracellular organelle lumen" 0.159198822840993
-211 0.301475035165714 2 12 "GO:0090576;GO:0044798;GO:0005667" "nuclear transcription factor complex" 0.415714176075702
32 0.807065867700473 2 29 "GO:0098687;GO:0000775" "chromosomal region" 0.848103115210667
245 0.0540946176902216 2 31 "GO:0098791;GO:0031984;GO:0031985" "Golgi subcompartment" 0.159198822840993
613 0.000526010270380777 2 16 "GO:0098800;GO:0033177" "inner mitochondrial membrane protein complex" 0.00452839360046845
