"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
329 0.187086127431722 2 8 "GO:0000109;GO:1990391" "nucleotide-excision repair complex" 0.351495148508084
350 0.0039945543813851 5 34 "GO:0000124;GO:0070461;GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 0.0176901694032769
-158 0.615671080243816 2 5 "GO:0000127" "transcription factor TFIIIC complex" 0.746908554958095
455 0.114072614655905 4 6 "GO:0000137" "Golgi cis cisterna" 0.243879383057452
27 0.900325234990239 3 11 "GO:0000138" "Golgi trans cisterna" 0.900325234990239
281 9.2896969487236e-07 2 162 "GO:0000151;GO:1990234" "transferase complex" 1.43990302705216e-05
252 0.121009658736564 2 19 "GO:0000159;GO:0000791" "protein phosphatase type 2A complex" 0.250086628055566
104 0.48224448438813 2 23 "GO:0000164;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 0.654648226102517
559 0.112961591015509 4 4 "GO:0000176" "nuclear exosome (RNase complex)" 0.243879383057452
446 0.0739001949823991 3 8 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.169696744033657
813 0.00475026602315299 3 6 "GO:0000221;GO:0033180;GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.019634432895699
796 0.00284047695636709 4 7 "GO:0000243;GO:0005684;GO:0005681" "U2-type spliceosomal complex" 0.0145683634640191
301 0.259213682526936 4 7 "GO:0000307;GO:1902554;GO:1902911" "cyclin-dependent protein kinase holoenzyme complex" 0.391981666260245
528 0.0479060226458242 2 7 "GO:0000346" "transcription export complex" 0.135007882001868
292 0.214440334039768 4 9 "GO:0000407" "phagophore assembly site" 0.363518326976408
774 2.35950662826193e-17 4 61 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 7.31447054761198e-16
528 0.0669585156111721 4 6 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.15967030645741
-233 0.459899222317516 2 5 "GO:0000779" "condensed chromosome, centromeric region" 0.648039813265591
10 0.808860520096878 4 313 "GO:0000786;GO:0032993;GO:0044815;GO:0120025;GO:0042995;GO:0044441;GO:0120038;GO:0044463;GO:0000932;GO:0036464;GO:0035770;GO:1990904;GO:0000776;GO:0000118;GO:0001726;GO:0001750;GO:0001725;GO:0042641;GO:0097517;GO:0032432;GO:0000922;GO:0001917" "ciliary part" 0.846810232802956
-49 0.734994098986125 3 24 "GO:0000795;GO:0099086;GO:0044454;GO:0000172;GO:0005732;GO:0070062;GO:1903561;GO:0043230" "nuclear chromosome part" 0.843882113650736
-471 0.182109775785735 5 4 "GO:0000805;GO:0000803" "X chromosome" 0.351495148508084
483 0.0528652420734007 4 8 "GO:0000835;GO:0000153;GO:0000836" "ER ubiquitin ligase complex" 0.136568542022952
246 0.485706748398642 2 4 "GO:0000938" "GARP complex" 0.654648226102517
-379 0.0376246758547391 2 15 "GO:0001533" "cornified envelope" 0.114238344326349
-368 0.00105145801727948 2 40 "GO:0001669;GO:0030141;GO:0097223;GO:0099503" "sperm part" 0.00592639973375707
-415 0.239638203796837 3 4 "GO:0001931" "uropod" 0.371954388181358
824 0.0089773512159359 2 5 "GO:0002199" "zona pellucida receptor complex" 0.0327409279640015
175 0.216938356421405 2 25 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.363518326976408
60 0.798341096192535 3 9 "GO:0005637;GO:0031965" "nuclear membrane" 0.846810232802956
418 0.021876200722983 3 15 "GO:0005730" "nucleolus" 0.0716481601879654
283 6.72890056320591e-07 2 164 "GO:0005739" "mitochondrion" 1.39063944972922e-05
-111 0.619974564356568 3 10 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.746908554958095
-220 0.21305924845719 2 16 "GO:0005759" "mitochondrial matrix" 0.363518326976408
-112 0.00053600953787237 4 639 "GO:0005768;GO:0031410;GO:0097708;GO:0031982;GO:0044459;GO:0044429;GO:0005794;GO:0005615;GO:0044421;GO:0099512;GO:0099081;GO:0099080;GO:0001650;GO:0044452;GO:0044451;GO:0097458;GO:0098796;GO:0001527;GO:0044420" "extracellular region part" 0.00332325913480869
