"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
183 0.462860709390888 3 8 "GO:0000109;GO:1990391" "nucleotide-excision repair complex" 0.61058221238798
206 0.0908609248603107 4 34 "GO:0000124;GO:0070461;GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.267132590102217
-186 0.556254226757969 5 5 "GO:0000127" "transcription factor TFIIIC complex" 0.689755241179882
481 0.0947889835846578 3 6 "GO:0000137" "Golgi cis cisterna" 0.267132590102217
199 0.350848529382012 6 11 "GO:0000138" "Golgi trans cisterna" 0.517919257659161
320 2.36661585909513e-08 3 162 "GO:0000151;GO:1990234" "transferase complex" 7.3365091631949e-07
253 0.119372040085073 2 19 "GO:0000159;GO:0000791" "protein phosphatase type 2A complex" 0.284632299232643
239 0.104955752150613 3 23 "GO:0000164;GO:0008287;GO:1903293" "phosphatase complex" 0.278179099619184
422 0.231505358072804 4 4 "GO:0000176" "nuclear exosome (RNase complex)" 0.410095205728967
370 0.138444216825582 3 8 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.295984187696072
836 0.00369624864940016 3 6 "GO:0000221;GO:0033180;GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.022916741626281
596 0.0254871432725683 6 7 "GO:0000243;GO:0005684;GO:0005681" "U2-type spliceosomal complex" 0.093913416711046
275 0.301782310448846 5 7 "GO:0000307;GO:1902554;GO:1902911" "cyclin-dependent protein kinase holoenzyme complex" 0.492381664416538
253 0.343266244936262 3 7 "GO:0000346" "transcription export complex" 0.517919257659161
614 0.00910633713738296 3 9 "GO:0000407" "phagophore assembly site" 0.051326627501613
424 3.55310358459539e-06 3 61 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 7.34308074149714e-05
291 0.312302615547201 4 6 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.49648108112632
-360 0.253239987161213 2 5 "GO:0000779" "condensed chromosome, centromeric region" 0.436135533444311
