"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
67 0.785691427440246 2 8 "GO:0000109;GO:1990391" "nucleotide-excision repair complex" 0.924342855812054
27 0.823249618913306 6 34 "GO:0000124;GO:0070461;GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 0.94342279286168
-304 0.325813210074039 5 5 "GO:0000127" "transcription factor TFIIIC complex" 0.751876638632398
-349 0.21684506502735 2 6 "GO:0000137" "Golgi cis cisterna" 0.595044017749418
-251 0.229137737439162 2 11 "GO:0000138" "Golgi trans cisterna" 0.59775061940651
2 0.965760651353915 3 162 "GO:0000151;GO:1990234" "transferase complex" 0.965760651353915
122 0.444733699342953 2 19 "GO:0000159;GO:0000791" "protein phosphatase type 2A complex" 0.833875686268037
104 0.472989142061117 3 23 "GO:0000164;GO:0008287;GO:1903293" "phosphatase complex" 0.834686721284324
-161 0.641693191126999 2 4 "GO:0000176" "nuclear exosome (RNase complex)" 0.912848701348102
-87 0.723400094716622 3 8 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.921217542625125
-952 0.00075481139019935 4 6 "GO:0000221;GO:0033180;GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.0090577366823922
-147 0.573880608451101 4 7 "GO:0000243;GO:0005684;GO:0005681" "spliceosomal complex" 0.864743493897206
146 0.576495662598137 5 7 "GO:0000307;GO:1902554;GO:1902911" "protein kinase complex" 0.864743493897206
17 0.947367247141568 4 7 "GO:0000346" "transcription export complex" 0.965760651353915
-205 0.373426397122283 2 9 "GO:0000407" "phagophore assembly site" 0.800199422404892
-305 0.000669729192019859 4 61 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.0090577366823922
379 0.179966910486061 2 6 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.539900731458183
-16 0.959951553874392 2 5 "GO:0000779" "condensed chromosome, centromeric region" 0.965760651353915
13 0.767681285520938 5 261 "GO:0000786;GO:0032993;GO:0044815;GO:0005813;GO:0005815;GO:0044450;GO:0000932;GO:0036464;GO:0035770;GO:0000118;GO:0001750;GO:0098687;GO:0005764;GO:0000323;GO:0005773;GO:0000421;GO:0001518;GO:0034706;GO:0098797;GO:0034703;GO:0034702;GO:1902495;GO:1990351;GO:0002102;GO:0044455;GO:0098798;GO:0000242;GO:0001891" "photoreceptor outer segment" 0.921217542625125
-82 0.572835845755548 3 23 "GO:0000795;GO:0099086;GO:0044454;GO:0000172;GO:0005732;GO:0070062;GO:1903561;GO:0043230" "nuclear chromosome part" 0.864743493897206
42 0.904590945830266 6 4 "GO:0000805;GO:0000803" "X chromosome" 0.965760651353915
-530 0.0304838942935756 2 8 "GO:0000835;GO:0000153;GO:0000836" "ER ubiquitin ligase complex" 0.228629207201817
313 0.365873329357716 2 4 "GO:0000938" "GARP complex" 0.800199422404892
426 0.0172848582320841 3 15 "GO:0001533" "cornified envelope" 0.148155927703578
-46 0.677722793114481 3 39 "GO:0001669;GO:0030141;GO:0097223;GO:0099503" "sperm part" 0.921217542625125
-606 0.0797169349334969 3 4 "GO:0001931" "uropod" 0.381601344007183
353 0.253465596565232 2 5 "GO:0002199" "zona pellucida receptor complex" 0.63366399141308
-15 0.914147028032277 4 25 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.965760651353915
168 0.465927775868116 2 9 "GO:0005637;GO:0031965" "nuclear membrane" 0.834686721284324
-59 0.741346896956075 4 15 "GO:0005730" "nucleolus" 0.921217542625125
-262 3.27501836299649e-06 2 162 "GO:0005739" "mitochondrion" 0.000196501101779789
186 0.396302023573406 4 10 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.819935221186357
59 0.743613961865416 2 15 "GO:0005759" "mitochondrial matrix" 0.921217542625125
26 0.419720748119406 5 614 "GO:0005768;GO:0031410;GO:0097708;GO:0031982;GO:0044459;GO:0044429;GO:0005794;GO:0005615;GO:0099512;GO:0099081;GO:0099080;GO:0001650;GO:0044452;GO:0044451;GO:0097458;GO:0098796;GO:0001527;GO:0044420" "vesicle" 0.833875686268037
-15 0.833356800361151 6 96 "GO:0005769;GO:0000145;GO:0044448;GO:0099023;GO:0001772;GO:0000781;GO:0005802;GO:0000775;GO:0001401;GO:0098799;GO:0002177" "tethering complex" 0.94342279286168
-112 0.148881832708773 4 82 "GO:0005774;GO:0044437;GO:0098805;GO:0005765;GO:0098852" "whole membrane" 0.473706053442038
196 0.122263823191503 3 30 "GO:0005777;GO:0042579" "microbody" 0.473706053442038
113 0.0972471143843 2 107 "GO:0005783" "endoplasmic reticulum" 0.416773347361286
84 0.626503160651095 5 16 "GO:0005787;GO:0005604;GO:0062023;GO:0031012;GO:0005912;GO:0070161;GO:0030054;GO:0005811;GO:0005758;GO:0031970;GO:0002080;GO:0030667;GO:0030659;GO:0012506" "acrosomal membrane" 0.912848701348102
-503 0.00367416060578005 4 16 "GO:0005814;GO:0000276;GO:0045263;GO:0000152;GO:0000220;GO:0033179" "centriole" 0.0367416060578005
-272 0.0730092354821617 6 21 "GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513" "polymeric cytoskeletal fiber" 0.381601344007183
164 0.00070176558835549 2 226 "GO:0005886" "plasma membrane" 0.0090577366823922
27 0.536979628901103 5 283 "GO:0005887;GO:0031226;GO:0044441;GO:0120038;GO:0044463;GO:1990904;GO:0000776;GO:0001725;GO:0042641;GO:0097517;GO:0032432;GO:0000922;GO:0001917" "stress fiber" 0.864743493897206
-444 0.0425286006245343 3 10 "GO:0005929" "cilium" 0.283524004163562
-500 0.0769636075409304 3 6 "GO:0005930" "axoneme" 0.381601344007183
-113 0.714547862979724 6 5 "GO:0008021;GO:0070382;GO:0030133" "synaptic vesicle" 0.921217542625125
42 0.436482470000443 2 176 "GO:0016021;GO:0031224" "integral component of membrane" 0.833875686268037
