"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-380 0.120475366548723 4 8 "GO:0000109;GO:1990391" "nucleotide-excision repair complex" 0.453496467358688
-299 0.0122871227882705 6 34 "GO:0000124;GO:0070461;GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 0.184306841824058
-468 0.130220082436921 2 5 "GO:0000127" "transcription factor TFIIIC complex" 0.459600290953839
-103 0.714437175392231 6 6 "GO:0000137" "Golgi cis cisterna" 0.932157288145245
16 0.938813982365936 2 11 "GO:0000138" "Golgi trans cisterna" 0.964212850322938
-47 0.399936263722121 3 162 "GO:0000151;GO:1990234" "transferase complex" 0.779861496377979
375 0.0183566762663809 4 19 "GO:0000159;GO:0000791" "protein phosphatase type 2A complex" 0.204756897957039
610 2.50199453410263e-05 4 23 "GO:0000164;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 0.00150119672046158
-616 0.0749816249333558 2 4 "GO:0000176" "nuclear exosome (RNase complex)" 0.374908124666779
-338 0.16788682892676 3 8 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.548597006932604
335 0.235211276424845 3 6 "GO:0000221;GO:0033180;GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.588028191062112
-138 0.599137616635549 6 7 "GO:0000243;GO:0005684;GO:0005681" "U2-type spliceosomal complex" 0.932157288145245
-242 0.354392239707144 4 7 "GO:0000307;GO:1902554;GO:1902911" "cyclin-dependent protein kinase holoenzyme complex" 0.779861496377979
-434 0.0967654941533727 2 7 "GO:0000346" "transcription export complex" 0.414709260657312
15 0.947012025279374 2 9 "GO:0000407" "phagophore assembly site" 0.964212850322938
308 0.000600193218952844 2 61 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.0180057965685853
-93 0.741539073457926 3 6 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.932157288145245
-102 0.742779153546124 3 5 "GO:0000779" "condensed chromosome, centromeric region" 0.932157288145245
4 0.923669691461459 5 261 "GO:0000786;GO:0032993;GO:0044815;GO:0005813;GO:0005815;GO:0044450;GO:0000932;GO:0036464;GO:0035770;GO:0000118;GO:0001750;GO:0098687;GO:0005764;GO:0000323;GO:0005773;GO:0000421;GO:0001518;GO:0034706;GO:0098797;GO:0034703;GO:0034702;GO:1902495;GO:1990351;GO:0002102;GO:0044455;GO:0098798;GO:0000242;GO:0001891" "photoreceptor outer segment" 0.964212850322938
-99 0.493997852029192 2 23 "GO:0000795;GO:0099086;GO:0044454;GO:0000172;GO:0005732;GO:0070062;GO:1903561;GO:0043230" "nuclear chromosome part" 0.846164780707613
-294 0.394971865961561 3 4 "GO:0000805;GO:0000803" "X chromosome" 0.779861496377979
38 0.875571804839023 4 8 "GO:0000835;GO:0000153;GO:0000836" "ER ubiquitin ligase complex" 0.95516924164257
-250 0.470022366050554 3 4 "GO:0000938" "GARP complex" 0.82945123420686
12 0.948142636150889 2 15 "GO:0001533" "cornified envelope" 0.964212850322938
93 0.402928439795289 6 39 "GO:0001669;GO:0030141;GO:0097223;GO:0099503" "sperm part" 0.779861496377979
-105 0.761261785318617 2 4 "GO:0001931" "uropod" 0.932157288145245
638 0.0392049614854296 2 5 "GO:0002199" "zona pellucida receptor complex" 0.294037211140722
33 0.814007095571381 4 25 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.940611179122247
111 0.631085276893873 3 9 "GO:0005637;GO:0031965" "nuclear membrane" 0.932157288145245
4 0.982204999116399 3 15 "GO:0005730" "nucleolus" 0.982204999116399
-20 0.717121722655196 3 162 "GO:0005739" "mitochondrion" 0.932157288145245
399 0.0684664048938394 3 10 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.374908124666779
-172 0.335248941472733 2 15 "GO:0005759" "mitochondrial matrix" 0.773651403398614
-13 0.697972671417026 2 614 "GO:0005768;GO:0031410;GO:0097708;GO:0031982;GO:0044459;GO:0044429;GO:0005794;GO:0005615;GO:0099512;GO:0099081;GO:0099080;GO:0001650;GO:0044452;GO:0044451;GO:0097458;GO:0098796;GO:0001527;GO:0044420" "vesicle" 0.932157288145245
24 0.741887248453757 3 96 "GO:0005769;GO:0000145;GO:0044448;GO:0099023;GO:0001772;GO:0000781;GO:0005802;GO:0000775;GO:0001401;GO:0098799;GO:0002177" "tethering complex" 0.932157288145245
69 0.374320619249768 3 82 "GO:0005774;GO:0044437;GO:0098805;GO:0005765;GO:0098852" "whole membrane" 0.779861496377979
42 0.737890022565106 4 30 "GO:0005777;GO:0042579" "microbody" 0.932157288145245
87 0.20542205082844 3 107 "GO:0005783" "endoplasmic reticulum" 0.57609002469786
-136 0.431347272044979 4 16 "GO:0005787;GO:0005604;GO:0062023;GO:0031012;GO:0005912;GO:0070161;GO:0030054;GO:0005811;GO:0005758;GO:0031970;GO:0002080;GO:0030667;GO:0030659;GO:0012506" "cytoplasmic vesicle membrane" 0.808776135084336
220 0.205217302129137 3 16 "GO:0005814;GO:0000276;GO:0045263;GO:0000152;GO:0000220;GO:0033179" "centriole" 0.57609002469786
-274 0.0703108501791871 4 21 "GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513" "polymeric cytoskeletal fiber" 0.374908124666779
