"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-243 0.320924318091827 2 8 "GO:0000109;GO:1990391" "nucleotide-excision repair complex" 0.848683670192558
-49 0.681174523093086 4 34 "GO:0000124;GO:0070461;GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.848683670192558
-223 0.471419487721748 5 5 "GO:0000127" "transcription factor TFIIIC complex" 0.848683670192558
216 0.445543521986305 2 6 "GO:0000137" "Golgi cis cisterna" 0.848683670192558
-34 0.870921915000761 2 11 "GO:0000138" "Golgi trans cisterna" 0.906508017884952
87 0.123452432951653 3 162 "GO:0000151;GO:1990234" "transferase complex" 0.560012172923726
84 0.598976544931287 3 19 "GO:0000159;GO:0000791" "protein phosphatase type 2A complex" 0.848683670192558
424 0.00343529892861747 4 23 "GO:0000164;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 0.103058967858524
-315 0.363191784636898 4 4 "GO:0000176" "nuclear exosome (RNase complex)" 0.848683670192558
-394 0.107805132684856 3 8 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.560012172923726
417 0.140013361604323 4 6 "GO:0000221;GO:0033180;GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.560053446417292
198 0.449483313999722 4 7 "GO:0000243;GO:0005684;GO:0005681" "spliceosomal complex" 0.848683670192558
-225 0.389286583719773 6 7 "GO:0000307;GO:1902554;GO:1902911" "cyclin-dependent protein kinase holoenzyme complex" 0.848683670192558
-292 0.264336634000603 2 7 "GO:0000346" "transcription export complex" 0.848683670192558
242 0.294357841389972 4 9 "GO:0000407" "phagophore assembly site" 0.848683670192558
-219 0.0146637497728206 4 61 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.175964997273847
71 0.801253663176264 2 6 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.882325473133877
-79 0.79925489428273 2 5 "GO:0000779" "condensed chromosome, centromeric region" 0.882325473133877
6 0.889752868978585 3 261 "GO:0000786;GO:0032993;GO:0044815;GO:0005813;GO:0005815;GO:0044450;GO:0000932;GO:0036464;GO:0035770;GO:0000118;GO:0001750;GO:0098687;GO:0005764;GO:0000323;GO:0005773;GO:0000421;GO:0001518;GO:0034706;GO:0098797;GO:0034703;GO:0034702;GO:1902495;GO:1990351;GO:0002102;GO:0044455;GO:0098798;GO:0000242;GO:0001891" "photoreceptor outer segment" 0.906508017884952
119 0.412320531795883 6 23 "GO:0000795;GO:0099086;GO:0044454;GO:0000172;GO:0005732;GO:0070062;GO:1903561;GO:0043230" "nuclear chromosome part" 0.848683670192558
-613 0.0762933637476915 3 4 "GO:0000805;GO:0000803" "sex chromosome" 0.560012172923726
-136 0.578653969805199 2 8 "GO:0000835;GO:0000153;GO:0000836" "ER ubiquitin ligase complex" 0.848683670192558
-231 0.50451704206512 2 4 "GO:0000938" "GARP complex" 0.848683670192558
-108 0.548023784686548 2 15 "GO:0001533" "cornified envelope" 0.848683670192558
92 0.409796353686726 4 39 "GO:0001669;GO:0030141;GO:0097223;GO:0099503" "sperm part" 0.848683670192558
-262 0.448492247298345 2 4 "GO:0001931" "uropod" 0.848683670192558
116 0.706826280708508 2 5 "GO:0002199" "zona pellucida receptor complex" 0.848683670192558
129 0.354115799350563 4 25 "GO:0005635;GO:0031967;GO:0031975" "nuclear envelope" 0.848683670192558
184 0.424732017022779 4 9 "GO:0005637;GO:0031965" "nuclear membrane" 0.848683670192558
-151 0.399710546303406 2 15 "GO:0005730" "nucleolus" 0.848683670192558
11 0.83906618015341 3 162 "GO:0005739" "mitochondrion" 0.898999478735796
139 0.524843914510053 3 10 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.848683670192558
43 0.808798350372721 2 15 "GO:0005759" "mitochondrial matrix" 0.882325473133877
4 0.891399550920203 3 614 "GO:0005768;GO:0031410;GO:0097708;GO:0031982;GO:0044459;GO:0044429;GO:0005794;GO:0005615;GO:0099512;GO:0099081;GO:0099080;GO:0001650;GO:0044452;GO:0044451;GO:0097458;GO:0098796;GO:0001527;GO:0044420" "vesicle" 0.906508017884952
222 0.00206381604858576 2 96 "GO:0005769;GO:0000145;GO:0044448;GO:0099023;GO:0001772;GO:0000781;GO:0005802;GO:0000775;GO:0001401;GO:0098799;GO:0002177" "tethering complex" 0.103058967858524
206 0.00797727590524231 2 82 "GO:0005774;GO:0044437;GO:0098805;GO:0005765;GO:0098852" "whole membrane" 0.119659138578635
86 0.499328606105209 2 30 "GO:0005777;GO:0042579" "microbody" 0.848683670192558
-35 0.608361354326834 3 107 "GO:0005783" "endoplasmic reticulum" 0.848683670192558
-84 0.627017883161506 5 16 "GO:0005787;GO:0005604;GO:0062023;GO:0031012;GO:0005912;GO:0070161;GO:0030054;GO:0005811;GO:0005758;GO:0031970;GO:0002080;GO:0030667;GO:0030659;GO:0012506" "acrosomal membrane" 0.848683670192558
267 0.123512733606597 4 16 "GO:0005814;GO:0000276;GO:0045263;GO:0000152;GO:0000220;GO:0033179" "centriole" 0.560012172923726
70 0.646334858445794 2 21 "GO:0005879;GO:0005881;GO:0044447;GO:0005874;GO:0099513" "polymeric cytoskeletal fiber" 0.848683670192558
-132 0.00623732519301558 2 226 "GO:0005886" "plasma membrane" 0.119659138578635
-21 0.637788201078557 4 283 "GO:0005887;GO:0031226;GO:0044441;GO:0120038;GO:0044463;GO:1990904;GO:0000776;GO:0001725;GO:0042641;GO:0097517;GO:0032432;GO:0000922;GO:0001917" "actomyosin" 0.848683670192558
234 0.284725325914429 3 10 "GO:0005929" "cilium" 0.848683670192558
122 0.666913740812308 3 6 "GO:0005930" "axoneme" 0.848683670192558
108 0.727157675229033 4 5 "GO:0008021;GO:0070382;GO:0030133" "exocytic vesicle" 0.848683670192558
-82 0.130669507015536 2 176 "GO:0016021;GO:0031224" "integral component of membrane" 0.560012172923726
-17 0.943406759940456 5 8 "GO:0019005;GO:0031461" "cullin-RING ubiquitin ligase complex" 0.943406759940456
57 0.59043598840137 2 43 "GO:0019866;GO:0031966;GO:0005743" "mitochondrial membrane" 0.848683670192558
-427 0.0639674499717506 2 9 "GO:0043073;GO:0001673" "germ cell nucleus" 0.560012172923726
12 0.724767925497298 2 571 "GO:0044430;GO:0005654;GO:0005829;GO:0044421" "cytoskeletal part" 0.848683670192558
123 0.117472743821028 2 80 "GO:0044432;GO:0005789" "endoplasmic reticulum part" 0.560012172923726
-98 0.560239749297401 3 17 "GO:0044433;GO:0036452;GO:0044440;GO:0000813" "cytoplasmic vesicle part" 0.848683670192558
74 0.735525847500217 1 10 "GO:0044456" "synapse part" 0.848683670192558
-330 0.113796625377321 2 11 "GO:0061695" "transferase complex, transferring phosphorus-containing groups" 0.560012172923726
213 0.078834841450801 3 33 "GO:0070013;GO:0043233;GO:0031974;GO:0005788" "intracellular organelle lumen" 0.560012172923726
-76 0.703866642497017 3 12 "GO:0090576;GO:0044798;GO:0005667" "nuclear transcription factor complex" 0.848683670192558
167 0.181952429538982 3 31 "GO:0098791;GO:0031984;GO:0031985" "organelle subcompartment" 0.682321610771182
-73 0.674325983081867 5 16 "GO:0098800;GO:0033177" "inner mitochondrial membrane protein complex" 0.848683670192558
72 0.489431843563649 3 45 "GO:0120025;GO:0042995;GO:0001726" "plasma membrane bounded cell projection" 0.848683670192558
