"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
483 0.000592277799558568 2 75 "GO:0000049" "tRNA binding" 0.00654796011734195
-39 0.80128526038189 6 61 "GO:0000146;GO:0005249;GO:0005267;GO:0015079" "potassium ion transmembrane transporter activity" 0.879864517869105
32 0.68409528872406 4 248 "GO:0000149;GO:0002020;GO:0003713;GO:0003682;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882;GO:0005178;GO:0044877;GO:0050839;GO:0016410;GO:0004867;GO:0016407;GO:0008080;GO:0004683;GO:0038024" "serine-type endopeptidase inhibitor activity" 0.841309560270515
-257 0.670016936500323 3 4 "GO:0000217" "DNA secondary structure binding" 0.841309560270515
103 0.0495254150647442 2 621 "GO:0000287;GO:0019899;GO:0005102;GO:0004672;GO:0016773;GO:0004674" "phosphotransferase activity, alcohol group as acceptor" 0.179191956325165
873 0.106114761550274 4 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.268808760709878
1050 0.0140116188961577 3 8 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.0697078040083846
680 0.0914435224013661 2 9 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.258059167847087
339 0.530114560183588 4 5 "GO:0001046;GO:0001047" "core promoter binding" 0.728538229419862
558 0.30198868104095 2 5 "GO:0001091;GO:0140296" "general transcription initiation factor binding" 0.541403130875217
-677 0.262315986530428 2 4 "GO:0001409" "guanine nucleotide transmembrane transporter activity" 0.49715125066243
186 0.0998065981612386 4 117 "GO:0001540;GO:0042277;GO:0033218" "amide binding" 0.266108356865509
-637 0.13606833264713 6 8 "GO:0001601;GO:0004983" "neuropeptide Y receptor activity" 0.314855792985801
-444 0.0328554203417951 2 34 "GO:0001616" "growth hormone secretagogue receptor activity" 0.125735166308024
128 0.654779345752805 4 18 "GO:0001664" "G protein-coupled receptor binding" 0.835263396184668
1177 2.24240337378475e-05 3 19 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.00049582030153685
-927 0.124925860392684 6 4 "GO:0001681;GO:0008126;GO:0034338" "acetylesterase activity" 0.295955312120763
27 0.943243228680608 2 10 "GO:0001786" "phosphatidylserine binding" 0.971850133639839
820 0.0727642720527541 3 7 "GO:0001965" "G-protein alpha-subunit binding" 0.233535298394592
120 0.807913779933432 3 6 "GO:0002039" "p53 binding" 0.879864517869105
416 0.362080091022686 4 7 "GO:0002161" "aminoacyl-tRNA editing activity" 0.606361661930685
299 7.7240723545542e-08 2 540 "GO:0003712;GO:0140110;GO:0016791;GO:0042578;GO:0005085;GO:0051020;GO:0003779;GO:0008092;GO:0004842;GO:0019787;GO:0005201;GO:0005096;GO:0008047;GO:0030695;GO:0030234;GO:0060589;GO:0004857;GO:0004866;GO:0030414;GO:0061135;GO:0061134" "extracellular matrix structural constituent" 5.12363466185429e-06
743 0.00921817111447151 3 18 "GO:0003729" "mRNA binding" 0.0591747113477365
792 0.0493140177876956 6 9 "GO:0003730" "mRNA 3'-UTR binding" 0.179191956325165
852 0.000567823273910774 2 24 "GO:0003735" "structural constituent of ribosome" 0.00654796011734195
810 0.0762803738474798 3 7 "GO:0003746;GO:0008135" "translation factor activity, RNA binding" 0.233535298394592
