"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
603 1.80174222583959e-05 4 75 "GO:0000049" "tRNA binding" 0.000298788919118399
-379 0.0150769769411848 2 61 "GO:0000146;GO:0005249;GO:0005267;GO:0015079" "potassium channel activity" 0.0697748467743204
165 0.0369613193542699 3 248 "GO:0000149;GO:0002020;GO:0003713;GO:0003682;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001;GO:0005178;GO:0044877;GO:0050839;GO:0016410;GO:0004867;GO:0016407;GO:0008080;GO:0004683;GO:0038024" "serine-type endopeptidase inhibitor activity" 0.124666144940673
-718 0.234323133155173 2 4 "GO:0000217" "DNA secondary structure binding" 0.423911849980722
149 0.00444623536896188 5 621 "GO:0000287;GO:0019899;GO:0005102;GO:0004672;GO:0016773;GO:0004674" "phosphotransferase activity, alcohol group as acceptor" 0.0272417732445237
535 0.321847415281336 3 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.498259741970434
837 0.0500125387294786 5 8 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.153115310879481
401 0.319489035005933 4 9 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.498259741970434
-111 0.837898311788952 3 5 "GO:0001046;GO:0001047" "core promoter sequence-specific DNA binding" 0.916163538714294
1262 0.0195481635197806 2 5 "GO:0001091;GO:0140296" "general transcription initiation factor binding" 0.0778016908087268
-1184 0.0500045193944166 3 4 "GO:0001409" "guanine nucleotide transmembrane transporter activity" 0.153115310879481
119 0.291675483397407 3 117 "GO:0001540;GO:0042277;GO:0033218" "amide binding" 0.487759841983899
-899 0.035449529914246 6 8 "GO:0001601;GO:0004983" "peptide YY receptor activity" 0.121628559533361
-414 0.0463154819522278 5 34 "GO:0001616" "growth hormone secretagogue receptor activity" 0.148657756588602
236 0.408533969833166 4 18 "GO:0001664" "G protein-coupled receptor binding" 0.589117826063768
998 0.000326048697209557 2 19 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.00341493109182641
-771 0.201702169043557 4 4 "GO:0001681;GO:0008126;GO:0034338" "sialate O-acetylesterase activity" 0.385891232293684
91 0.811091366717837 2 10 "GO:0001786" "phosphatidylserine binding" 0.90509406960117
