"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
441 0.00172141096551254 4 75 "GO:0000049" "tRNA binding" 0.013721494220775
20 0.899687837428372 3 61 "GO:0000146;GO:0005249;GO:0005267;GO:0015079" "potassium ion transmembrane transporter activity" 0.944193759695244
45 0.572920506465553 4 248 "GO:0000149;GO:0002020;GO:0003713;GO:0003682;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882;GO:0005178;GO:0044877;GO:0050839;GO:0016410;GO:0004867;GO:0016407;GO:0008080;GO:0004683;GO:0038024" "serine-type endopeptidase inhibitor activity" 0.755040932361888
-1671 0.00565722691984257 2 4 "GO:0000217" "DNA secondary structure binding" 0.0388202812775404
115 0.0281362469117156 2 621 "GO:0000287;GO:0019899;GO:0005102;GO:0004672;GO:0016773;GO:0004674" "phosphotransferase activity, alcohol group as acceptor" 0.119130066711306
244 0.651155865867954 3 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.790122056754408
887 0.0379278328093891 3 8 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.147992916256244
280 0.487693747589044 4 9 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.68830536007248
252 0.640512867714494 2 5 "GO:0001046;GO:0001047" "core promoter sequence-specific DNA binding" 0.786802843673977
813 0.13258702243454 2 5 "GO:0001091;GO:0140296" "general transcription initiation factor binding" 0.325738487215722
-834 0.167495462065053 4 4 "GO:0001409" "guanine nucleotide transmembrane transporter activity" 0.347204134905683
180 0.111443731943487 4 117 "GO:0001540;GO:0042277;GO:0033218" "amide binding" 0.296060547833229
-560 0.18998422127069 7 8 "GO:0001601;GO:0004983" "peptide YY receptor activity" 0.370655490518307
-446 0.0319438300564167 2 34 "GO:0001616" "growth hormone secretagogue receptor activity" 0.129731064922998
-9 0.974014410072361 2 18 "GO:0001664" "G protein-coupled receptor binding" 0.978933674769696
1134 4.40733876839029e-05 2 19 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.000877060414909668
-710 0.24007669835272 2 4 "GO:0001681;GO:0008126;GO:0034338" "sialate O-acetylesterase activity" 0.430407774524246
317 0.407238548549187 2 10 "GO:0001786" "phosphatidylserine binding" 0.628220706676653
876 0.0551825778711153 2 7 "GO:0001965" "G-protein alpha-subunit binding" 0.196095232077713
193 0.696058003920083 2 6 "GO:0002039" "p53 binding" 0.806720841992826
666 0.145064321601235 2 7 "GO:0002161" "aminoacyl-tRNA editing activity" 0.335587682460128
391 2.08368068910173e-12 2 540 "GO:0003712;GO:0140110;GO:0016791;GO:0042578;GO:0005085;GO:0051020;GO:0003779;GO:0008092;GO:0004842;GO:0019787;GO:0005201;GO:0005096;GO:0008047;GO:0030695;GO:0030234;GO:0060589;GO:0004857;GO:0004866;GO:0030414;GO:0061135;GO:0061134" "extracellular matrix structural constituent" 2.07326228565622e-10
537 0.0597369173738029 4 18 "GO:0003729" "mRNA binding" 0.208555202761172
668 0.0972650997843311 6 9 "GO:0003730" "mRNA 3'-UTR binding" 0.278331221921655
385 0.119656172783076 2 24 "GO:0003735" "structural constituent of ribosome" 0.309241277712105
788 0.0844027832522261 2 7 "GO:0003746;GO:0008135" "translation factor activity, RNA binding" 0.266605616939571
1560 0.00978114030896623 2 4 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.0554182615956343
862 0.0180183201983893 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.0923512718217052
-214 0.144634481664432 3 69 "GO:0003774;GO:0003777" "motor activity" 0.335587682460128
