"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
400 0.277993206197858 2 10 "GO:0000014;GO:0004520;GO:0004536" "single-stranded DNA endodeoxyribonuclease activity" 0.800188438914463
198 0.029189917673495 5 171 "GO:0000146;GO:0005249;GO:0005267;GO:0015079;GO:0001618;GO:0140272;GO:0003682;GO:0016410;GO:0015103;GO:0016407;GO:0008080;GO:0038024" "virus receptor activity" 0.209396221390337
164 0.376652969411269 2 40 "GO:0000149" "SNARE binding" 0.871806510989161
-62 0.915637942362511 2 4 "GO:0000217" "DNA secondary structure binding" 0.990645429796408
181 0.0020139635872864 4 444 "GO:0000287;GO:0019899;GO:0005102" "signaling receptor binding" 0.032726908293404
-82 0.875066841538722 2 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.982912542654648
154 0.709237122033742 3 8 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.952757539288854
-315 0.417209282804711 3 9 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.881036592500909
405 0.437442630110887 4 5 "GO:0001046;GO:0001047" "core promoter sequence-specific DNA binding" 0.881036592500909
-1058 0.0260614696567012 5 6 "GO:0001091;GO:0140296" "general transcription initiation factor binding" 0.195461022425259
441 0.448547060186416 2 4 "GO:0001409" "guanine nucleotide transmembrane transporter activity" 0.881036592500909
-54 0.627082192824487 2 114 "GO:0001540;GO:0042277;GO:0033218" "amide binding" 0.952757539288854
-583 0.157317788650627 4 8 "GO:0001601;GO:0004983" "neuropeptide Y receptor activity" 0.568092014571709
237 0.258456740646747 2 31 "GO:0001616" "growth hormone secretagogue receptor activity" 0.775370221940241
146 0.507039109163455 3 28 "GO:0001640;GO:0098988;GO:0008066" "glutamate receptor activity" 0.882791306132801
-30 0.913785896853396 3 18 "GO:0001664" "G protein-coupled receptor binding" 0.990645429796408
-181 0.499293063945724 2 19 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.881036592500909
648 0.266163078605314 5 4 "GO:0001681;GO:0008126;GO:0034338" "short-chain carboxylesterase activity" 0.786390914061155
261 0.501067294924651 3 9 "GO:0001786" "phosphatidylserine binding" 0.881036592500909
-40 0.927499052628117 3 7 "GO:0001965" "G-protein alpha-subunit binding" 0.990645429796408
230 0.628523934476561 2 6 "GO:0002039" "p53 binding" 0.952757539288854
-571 0.230226974655049 2 6 "GO:0002161" "aminoacyl-tRNA editing activity" 0.701472813402102
-74 0.173003467422909 2 533 "GO:0003712;GO:0140110;GO:0008289;GO:0004725;GO:0004721;GO:0000049;GO:0005085;GO:0051020;GO:0003774;GO:0004842;GO:0019787;GO:0016747;GO:0016746;GO:0004857;GO:0004866;GO:0030414;GO:0061135;GO:0061134" "transcription regulator activity" 0.60873312088476
261 0.342304067226906 3 18 "GO:0003729" "mRNA binding" 0.871806510989161
349 0.369420372013132 4 9 "GO:0003730" "mRNA 3'-UTR binding" 0.871806510989161
-804 0.000747712992168486 2 24 "GO:0003735" "structural constituent of ribosome" 0.0213482393652651
-946 0.0317349677567683 2 7 "GO:0003746;GO:0008135" "translation factor activity, RNA binding" 0.211449089968073
181 0.755865977870763 3 4 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.969696484768413
127 0.718459190040992 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.952757539288854
-185 0.349574423546807 2 35 "GO:0003777" "microtubule motor activity" 0.871806510989161
-132 0.61436635804529 5 20 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.952757539288854
-296 0.611941950203397 2 4 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.952757539288854
208 0.63656439570788 2 7 "GO:0003951" "NAD+ kinase activity" 0.952757539288854
-55 0.842123324359173 2 18 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.979507398980557
-745 0.0134041862885559 2 15 "GO:0003993" "acid phosphatase activity" 0.137569280329916
325 0.430062564175837 3 8 "GO:0004016;GO:0009975;GO:0016849" "cyclase activity" 0.881036592500909
-17 0.965244264929833 5 9 "GO:0004031;GO:0016623" "aldehyde oxidase activity" 0.990645429796408
-774 0.0357606010617543 2 10 "GO:0004033" "aldo-keto reductase (NADP) activity" 0.217916162720065
