"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
384 0.297474832841356 3 10 "GO:0000014;GO:0004520;GO:0004536" "deoxyribonuclease activity" 0.887096922854382
71 0.435388015539572 3 171 "GO:0000146;GO:0005249;GO:0005267;GO:0015079;GO:0001618;GO:0140272;GO:0003682;GO:0016410;GO:0015103;GO:0016407;GO:0008080;GO:0038024" "virus receptor activity" 0.887096922854382
314 0.0898826832956089 2 40 "GO:0000149" "SNARE binding" 0.63701340106872
281 0.629536939694595 3 4 "GO:0000217" "DNA secondary structure binding" 0.94535574733583
65 0.268839404505744 2 444 "GO:0000287;GO:0019899;GO:0005102" "signaling receptor binding" 0.887096922854382
1185 0.0229538996857327 6 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.374046442487783
1233 0.00277142252270485 5 8 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.180142463975815
669 0.084858616404162 3 9 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.63701340106872
-425 0.414874909551447 3 5 "GO:0001046;GO:0001047" "core promoter binding" 0.887096922854382
-1044 0.0281555956228466 2 6 "GO:0001091;GO:0140296" "general transcription initiation factor binding" 0.374046442487783
-1244 0.0326091770373965 2 4 "GO:0001409" "guanine nucleotide transmembrane transporter activity" 0.374046442487783
134 0.225167739002618 2 114 "GO:0001540;GO:0042277;GO:0033218" "amide binding" 0.844379021259817
-915 0.0263702015642738 2 8 "GO:0001601;GO:0004983" "peptide YY receptor activity" 0.374046442487783
138 0.510965528910028 4 31 "GO:0001616" "growth hormone secretagogue receptor activity" 0.936172744971695
-128 0.563533517997081 5 28 "GO:0001640;GO:0098988;GO:0008066" "glutamate receptor activity" 0.936172744971695
179 0.51405970780061 3 18 "GO:0001664" "G protein-coupled receptor binding" 0.936172744971695
580 0.030169774899053 3 19 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.374046442487783
126 0.82836278096961 4 4 "GO:0001681;GO:0008126;GO:0034338" "sialate O-acetylesterase activity" 0.982977109575237
863 0.0263824341592312 3 9 "GO:0001786" "phosphatidylserine binding" 0.374046442487783
337 0.444669604226372 2 7 "GO:0001965" "G-protein alpha-subunit binding" 0.887096922854382
-133 0.780366221821706 2 6 "GO:0002039" "p53 binding" 0.982977109575237
70 0.883504625068459 2 6 "GO:0002161" "aminoacyl-tRNA editing activity" 0.982977109575237
-109 0.0432015571977542 2 533 "GO:0003712;GO:0140110;GO:0008289;GO:0004725;GO:0004721;GO:0000049;GO:0005085;GO:0051020;GO:0003774;GO:0004842;GO:0019787;GO:0016747;GO:0016746;GO:0004857;GO:0004866;GO:0030414;GO:0061135;GO:0061134" "transcription regulator activity" 0.421215182678103
155 0.573410246262821 5 18 "GO:0003729" "mRNA binding" 0.936172744971695
33 0.93260542892999 2 9 "GO:0003730" "mRNA 3'-UTR binding" 0.982977109575237
-319 0.180960926024105 2 24 "GO:0003735" "structural constituent of ribosome" 0.735153761972926
-1048 0.0173543843618111 2 7 "GO:0003746;GO:0008135" "translation factor activity, RNA binding" 0.374046442487783
510 0.381722070711799 3 4 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.887096922854382
160 0.649907574892443 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.948263090687872
-171 0.386252772107242 3 35 "GO:0003777" "microtubule motor activity" 0.887096922854382
239 0.360201925745587 5 20 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.887096922854382
-539 0.354515458831786 3 4 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.887096922854382
-31 0.943780818968871 5 7 "GO:0003951" "NAD+ kinase activity" 0.982977109575237
76 0.782011666381112 2 18 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.982977109575237
-485 0.10696801344601 6 15 "GO:0003993" "acid phosphatase activity" 0.63701340106872
-198 0.631085181329023 2 8 "GO:0004016;GO:0009975;GO:0016849" "cyclase activity" 0.94535574733583
355 0.361221644432585 4 9 "GO:0004031;GO:0016623" "oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor" 0.887096922854382
-525 0.154285597346033 2 10 "GO:0004033" "aldo-keto reductase (NADP) activity" 0.712209506422597
548 0.346752480767264 2 4 "GO:0004045" "aminoacyl-tRNA hydrolase activity" 0.887096922854382
180 0.757826968953204 2 4 "GO:0004058" "aromatic-L-amino-acid decarboxylase activity" 0.982977109575237
-274 0.137875179176347 3 40 "GO:0004062;GO:0008146;GO:0016782" "sulfotransferase activity" 0.712209506422597
79 0.856870832915595 5 7 "GO:0004064" "arylesterase activity" 0.982977109575237
668 0.105042510291193 5 8 "GO:0004089" "carbonate dehydratase activity" 0.63701340106872
-198 0.460018278352623 5 19 "GO:0004090" "carbonyl reductase (NADPH) activity" 0.897035642787615
446 0.168008396386869 7 13 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.712209506422597
327 0.375171195027666 2 10 "GO:0004129;GO:0009055;GO:0015002;GO:0016676;GO:0016675" "electron transfer activity" 0.887096922854382
-112 0.371069869915511 2 88 "GO:0004137;GO:0019136;GO:0005154;GO:0070851;GO:0003986;GO:0016289;GO:0003707;GO:0005375;GO:0000827;GO:0051998;GO:0008276;GO:0010340;GO:0004360;GO:0070548;GO:0004345;GO:0004658;GO:0016421;GO:0003872;GO:0008443;GO:0005518;GO:0004503;GO:0016716;GO:0004082;GO:0004565;GO:0015925;GO:0004719;GO:0004109;GO:0005049;GO:0140142;GO:0140104;GO:0000995;GO:0140223;GO:0000026;GO:0004386;GO:0070566;GO:0000140;GO:0001733;GO:0050694;GO:0004849;GO:0004395;GO:0010420;GO:0004068" "CoA hydrolase activity" 0.887096922854382
-14 0.854853156673628 2 234 "GO:0004175;GO:0070011;GO:0008233" "peptidase activity, acting on L-amino acid peptides" 0.982977109575237
192 0.440345969973236 3 22 "GO:0004177;GO:0008270" "zinc ion binding" 0.887096922854382
38 0.812863887992832 2 53 "GO:0004180;GO:0008238" "exopeptidase activity" 0.982977109575237
100 0.758198423264487 6 13 "GO:0004181;GO:0008235" "metalloexopeptidase activity" 0.982977109575237
448 0.224526910749337 5 10 "GO:0004185;GO:0070008" "serine-type exopeptidase activity" 0.844379021259817
-334 0.0275276706450847 3 60 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 0.374046442487783
-200 0.536679067464562 2 13 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.936172744971695
-132 0.103737612300862 2 218 "GO:0004222;GO:0008237;GO:0005543;GO:0002020;GO:0003713;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001;GO:0005178;GO:0044877;GO:0050839;GO:0004867" "metallopeptidase activity" 0.63701340106872
205 0.191632744544636 3 56 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 0.762620105840898
-101 0.863013785269522 2 4 "GO:0004300" "enoyl-CoA hydratase activity" 0.982977109575237
153 0.728783642800592 4 7 "GO:0004322;GO:0016724;GO:0016722" "oxidoreductase activity, oxidizing metal ions, oxygen as acceptor" 0.982977109575237
-981 0.0258371465630802 3 7 "GO:0004336" "galactosylceramidase activity" 0.374046442487783
-240 0.165111250172713 2 46 "GO:0004364;GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.712209506422597
234 0.546217639490982 2 9 "GO:0004435;GO:0004629" "phospholipase C activity" 0.936172744971695
173 0.766342467546917 3 4 "GO:0004465" "lipoprotein lipase activity" 0.982977109575237
8 0.952731660049845 3 75 "GO:0004497" "monooxygenase activity" 0.982977109575237
244 0.552983378937672 3 8 "GO:0004500;GO:0016715" "dopamine beta-monooxygenase activity" 0.936172744971695
-241 0.0632765573438809 4 82 "GO:0004518;GO:0004540;GO:0140098;GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796" "catalytic activity, acting on RNA" 0.560860394638944
-16 0.952505531891198 2 18 "GO:0004519" "endonuclease activity" 0.982977109575237
-360 0.536176580263206 2 4 "GO:0004521" "endoribonuclease activity" 0.936172744971695
-524 0.155073852452223 2 10 "GO:0004551;GO:0000210" "nucleotide diphosphatase activity" 0.712209506422597
-296 0.0196323883256232 2 86 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.374046442487783
265 0.520912927912447 3 8 "GO:0004556;GO:0016160" "alpha-amylase activity" 0.936172744971695
-859 0.0107344547675627 3 12 "GO:0004560;GO:0015928" "alpha-L-fucosidase activity" 0.374046442487783
-204 0.726001197782288 2 4 "GO:0004561" "alpha-N-acetylglucosaminidase activity" 0.982977109575237
-674 0.126106284774958 3 7 "GO:0004601;GO:0016684" "peroxidase activity" 0.683075709197689
-11 0.946246954898513 2 48 "GO:0004620;GO:0008081" "phospholipase activity" 0.982977109575237
337 0.360416506536963 4 10 "GO:0004656;GO:0019798;GO:0031545;GO:0031543" "procollagen-proline dioxygenase activity" 0.887096922854382
-234 0.107697755988266 4 65 "GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046" "phosphotyrosine residue binding" 0.63701340106872
1235 0.00944361405919441 3 6 "GO:0004663;GO:0004661;GO:0008318" "protein prenyltransferase activity" 0.374046442487783
