"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
238 0.51785201023307 4 10 "GO:0000014;GO:0004520;GO:0004536" "single-stranded DNA endodeoxyribonuclease activity" 0.950055693353808
77 0.398979922258721 5 171 "GO:0000146;GO:0005249;GO:0005267;GO:0015079;GO:0001618;GO:0140272;GO:0003682;GO:0016410;GO:0015103;GO:0016407;GO:0008080;GO:0038024" "virus receptor activity" 0.874169492589332
-96 0.603335774111233 3 40 "GO:0000149" "SNARE binding" 0.950055693353808
-1006 0.0841094833218167 3 4 "GO:0000217" "DNA secondary structure binding" 0.674892756980491
9 0.879411928164607 3 444 "GO:0000287;GO:0019899;GO:0005102" "signaling receptor binding" 0.950055693353808
144 0.782540228303802 6 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.950055693353808
887 0.0314207204644099 4 8 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.522033478512605
566 0.145316095432246 2 9 "GO:0000900;GO:0030371" "translation repressor activity, mRNA regulatory element binding" 0.740137114142878
-353 0.498434258251789 4 5 "GO:0001046;GO:0001047" "core promoter sequence-specific DNA binding" 0.950055693353808
-946 0.0468070311841943 5 6 "GO:0001091;GO:0140296" "general transcription initiation factor binding" 0.570284788306458
-1143 0.0497171353908194 6 4 "GO:0001409" "guanine nucleotide transmembrane transporter activity" 0.570284788306458
23 0.836690091934457 2 114 "GO:0001540;GO:0042277;GO:0033218" "amide binding" 0.950055693353808
-453 0.271687264006163 5 8 "GO:0001601;GO:0004983" "peptide YY receptor activity" 0.795347134304248
-265 0.206945592167211 2 31 "GO:0001616" "growth hormone secretagogue receptor activity" 0.784940884195624
-248 0.261218474049063 3 28 "GO:0001640;GO:0098988;GO:0008066" "glutamate receptor activity" 0.795347134304248
-256 0.352613319128864 4 18 "GO:0001664" "G protein-coupled receptor binding" 0.848883916421339
777 0.0037087143973058 2 19 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.336089088709218
1386 0.0172880894196513 3 4 "GO:0001681;GO:0008126;GO:0034338" "sialate O-acetylesterase activity" 0.522033478512605
713 0.0664682314067468 3 9 "GO:0001786" "phosphatidylserine binding" 0.606395152041937
46 0.916145229450832 3 7 "GO:0001965" "G-protein alpha-subunit binding" 0.965666593204931
-161 0.734981987041453 2 6 "GO:0002039" "p53 binding" 0.950055693353808
559 0.239911980526183 2 6 "GO:0002161" "aminoacyl-tRNA editing activity" 0.784940884195624
41 0.450822562480141 2 533 "GO:0003712;GO:0140110;GO:0008289;GO:0004725;GO:0004721;GO:0000049;GO:0005085;GO:0051020;GO:0003774;GO:0004842;GO:0019787;GO:0016747;GO:0016746;GO:0004857;GO:0004866;GO:0030414;GO:0061135;GO:0061134" "transcription regulator activity" 0.922018395229284
108 0.693286270638664 3 18 "GO:0003729" "mRNA binding" 0.950055693353808
471 0.225169902805197 2 9 "GO:0003730" "mRNA 3'-UTR binding" 0.784940884195624
-178 0.453982067225267 2 24 "GO:0003735" "structural constituent of ribosome" 0.922018395229284
-631 0.151822997772898 3 7 "GO:0003746;GO:0008135" "translation factor activity, RNA binding" 0.740137114142878
390 0.503021233164457 2 4 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.950055693353808
680 0.0529425184478359 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.573543949851556
329 0.0960191069527758 5 35 "GO:0003777" "microtubule motor activity" 0.676222513208202
40 0.877643617872153 4 20 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.950055693353808
-1271 0.0290472813874307 5 4 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.522033478512605
-1045 0.017616200831046 2 7 "GO:0003951" "NAD+ kinase activity" 0.522033478512605
327 0.235126457414948 4 18 "GO:0003964;GO:0034061" "DNA polymerase activity" 0.784940884195624
66 0.826047191022222 2 15 "GO:0003993" "acid phosphatase activity" 0.950055693353808
-149 0.717172582227539 3 8 "GO:0004016;GO:0009975;GO:0016849" "phosphorus-oxygen lyase activity" 0.950055693353808
229 0.55559914772588 4 9 "GO:0004031;GO:0016623" "oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor" 0.950055693353808
-598 0.104624075786089 4 10 "GO:0004033" "aldo-keto reductase (NADP) activity" 0.676222513208202
224 0.700046003760195 2 4 "GO:0004045" "aminoacyl-tRNA hydrolase activity" 0.950055693353808
27 0.963838574023727 2 4 "GO:0004058" "aromatic-L-amino-acid decarboxylase activity" 0.978898551742848
-65 0.726286733942572 3 40 "GO:0004062;GO:0008146;GO:0016782" "transferase activity, transferring sulfur-containing groups" 0.950055693353808
109 0.804673815805371 2 7 "GO:0004064" "arylesterase activity" 0.950055693353808
263 0.523284565439247 5 8 "GO:0004089" "carbonate dehydratase activity" 0.950055693353808
-167 0.531821024004859 5 19 "GO:0004090" "carbonyl reductase (NADPH) activity" 0.950055693353808
-589 0.0687773569302617 2 13 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.606395152041937
110 0.765728511483335 3 10 "GO:0004129;GO:0009055;GO:0015002;GO:0016676;GO:0016675" "electron transfer activity" 0.950055693353808
165 0.189439254471026 2 88 "GO:0004137;GO:0019136;GO:0005154;GO:0070851;GO:0003986;GO:0016289;GO:0003707;GO:0005375;GO:0000827;GO:0051998;GO:0008276;GO:0010340;GO:0004360;GO:0070548;GO:0004345;GO:0004658;GO:0016421;GO:0003872;GO:0008443;GO:0005518;GO:0004503;GO:0016716;GO:0004082;GO:0004565;GO:0015925;GO:0004719;GO:0004109;GO:0005049;GO:0140142;GO:0140104;GO:0000995;GO:0140223;GO:0000026;GO:0004386;GO:0070566;GO:0000140;GO:0001733;GO:0050694;GO:0004849;GO:0004395;GO:0010420;GO:0004068" "CoA hydrolase activity" 0.784940884195624
28 0.722235056409033 3 234 "GO:0004175;GO:0070011;GO:0008233" "peptidase activity" 0.950055693353808
-96 0.698451587018504 5 22 "GO:0004177;GO:0008270" "zinc ion binding" 0.950055693353808
154 0.337833822207427 2 53 "GO:0004180;GO:0008238" "exopeptidase activity" 0.824527053332273
330 0.307863737199891 7 13 "GO:0004181;GO:0008235" "metallocarboxypeptidase activity" 0.824527053332273
367 0.319035824716459 2 10 "GO:0004185;GO:0070008" "serine-type carboxypeptidase activity" 0.824527053332273
-10 0.949350541541658 4 60 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 0.978898551742848
41 0.899540909448811 2 13 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.958527198592995
-78 0.338267509059394 2 218 "GO:0004222;GO:0008237;GO:0005543;GO:0002020;GO:0003713;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001;GO:0005178;GO:0044877;GO:0050839;GO:0004867" "metallopeptidase activity" 0.824527053332273
60 0.70391847543475 4 56 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 0.950055693353808
69 0.906097335278502 2 4 "GO:0004300" "enoyl-CoA hydratase activity" 0.96026619771363
-549 0.212667628884225 3 7 "GO:0004322;GO:0016724;GO:0016722" "ferroxidase activity" 0.784940884195624
-516 0.241520272060192 5 7 "GO:0004336" "galactosylceramidase activity" 0.784940884195624
55 0.751722890856233 2 46 "GO:0004364;GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.950055693353808
-187 0.629680417660322 7 9 "GO:0004435;GO:0004629" "phospholipase C activity" 0.950055693353808
250 0.667543983873764 2 4 "GO:0004465" "lipoprotein lipase activity" 0.950055693353808
-67 0.62297615228276 3 75 "GO:0004497" "monooxygenase activity" 0.950055693353808
473 0.251039365907 5 8 "GO:0004500;GO:0016715" "dopamine beta-monooxygenase activity" 0.789559295997822
-192 0.139079074184871 3 82 "GO:0004518;GO:0004540;GO:0140098;GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796" "catalytic activity, acting on RNA" 0.740137114142878
-114 0.678069870800881 2 18 "GO:0004519" "endonuclease activity" 0.950055693353808
-717 0.218009462878274 2 4 "GO:0004521" "endoribonuclease activity" 0.784940884195624
-105 0.77612898529589 2 10 "GO:0004551;GO:0000210" "nucleotide diphosphatase activity" 0.950055693353808
160 0.206882732684429 2 86 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.784940884195624
357 0.385989250359109 2 8 "GO:0004556;GO:0016160" "alpha-amylase activity" 0.874169492589332
577 0.0865247124333963 2 12 "GO:0004560;GO:0015928" "alpha-L-fucosidase activity" 0.674892756980491
319 0.584489263734297 6 4 "GO:0004561" "alpha-N-acetylglucosaminidase activity" 0.950055693353808
-869 0.0485812182133933 3 7 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.570284788306458
-27 0.875259150779955 2 48 "GO:0004620;GO:0008081" "phospholipase activity" 0.950055693353808
81 0.826580542305534 2 10 "GO:0004656;GO:0019798;GO:0031545;GO:0031543" "procollagen-proline 4-dioxygenase activity" 0.950055693353808
50 0.733057422659909 5 65 "GO:0004659;GO:0003725;GO:0003684;GO:0008757;GO:0001784;GO:0045309;GO:0051219;GO:0005501;GO:0019840;GO:0005516;GO:0002046" "phosphotyrosine residue binding" 0.950055693353808
572 0.229545982222671 2 6 "GO:0004663;GO:0004661;GO:0008318" "protein prenyltransferase activity" 0.784940884195624
-117 0.125256522687979 3 246 "GO:0004722;GO:0001530;GO:0002162;GO:0016627;GO:0000339;GO:0001099;GO:0001098;GO:0016651;GO:0000062;GO:0050662;GO:1901567;GO:1901681;GO:0048037;GO:0008483;GO:0016769;GO:0035091;GO:0000993;GO:0043175;GO:0070063;GO:0016209;GO:0005452;GO:0016831;GO:0016830;GO:0000253;GO:0050145;GO:0005520;GO:0019838;GO:0004689;GO:0004683;GO:0003697;GO:0004017;GO:0005041;GO:0030228;GO:0003714;GO:0001849;GO:0001846;GO:0001848" "calmodulin-dependent protein kinase activity" 0.697857769261597
-493 0.397349075710821 2 4 "GO:0004745" "retinol dehydrogenase activity" 0.874169492589332
473 0.0321251371392372 5 28 "GO:0004768;GO:0016215;GO:0004618;GO:0016774;GO:0016417;GO:0004736;GO:0005200;GO:0003854;GO:0052745;GO:0003680;GO:0004573;GO:0015926;GO:0005179;GO:0004633;GO:0000179;GO:0008170;GO:0016433;GO:0008649;GO:0140102;GO:0002083;GO:0002094;GO:0005521" "pyruvate carboxylase activity" 0.522033478512605
451 0.221428593349373 2 10 "GO:0004771" "sterol esterase activity" 0.784940884195624
203 0.449173702118017 2 19 "GO:0004806" "triglyceride lipase activity" 0.922018395229284
101 0.678039467550091 6 23 "GO:0004843;GO:0036459;GO:0019783;GO:0101005" "ubiquitin-like protein-specific protease activity" 0.950055693353808
-73 0.83603007774895 5 11 "GO:0004860;GO:0019210;GO:0019887;GO:0019207" "protein kinase inhibitor activity" 0.950055693353808
-640 0.271746282475648 7 4 "GO:0004862;GO:0030291" "cAMP-dependent protein kinase inhibitor activity" 0.795347134304248
-727 0.0988350951969487 3 7 "GO:0004864;GO:0019212;GO:0019888;GO:0019208" "phosphatase regulator activity" 0.676222513208202
-105 0.107502040561304 3 347 "GO:0004888;GO:0038023;GO:0060089;GO:0004930" "molecular transducer activity" 0.676222513208202
-364 0.377057524901592 4 8 "GO:0004890;GO:0016917" "GABA receptor activity" 0.874169492589332
432 0.458645047883285 2 4 "GO:0004952" "dopamine neurotransmitter receptor activity" 0.922018395229284
62 0.854476213714047 4 12 "GO:0004966" "galanin receptor activity" 0.950055693353808
-307 0.518083576203617 4 6 "GO:0004970;GO:0022824;GO:0022835" "transmitter-gated ion channel activity" 0.950055693353808
-516 0.241389702658493 4 7 "GO:0004995" "tachykinin receptor activity" 0.784940884195624
-125 0.632205868921344 2 20 "GO:0004997" "thyrotropin-releasing hormone receptor activity" 0.950055693353808
-503 0.222394626190592 3 8 "GO:0005000" "vasopressin receptor activity" 0.784940884195624
-175 0.736886705666774 4 5 "GO:0005068;GO:0030159;GO:0030971;GO:0035591;GO:1990782" "receptor tyrosine kinase binding" 0.950055693353808
-1087 0.061903227359149 4 4 "GO:0005125" "cytokine activity" 0.603556466751703
-217 0.676893308289554 3 5 "GO:0005229;GO:0061778" "intracellular calcium activated chloride channel activity" 0.950055693353808
-11 0.958379830786227 3 30 "GO:0005230;GO:0005231" "extracellular ligand-gated ion channel activity" 0.978898551742848
-141 0.580428677222677 2 21 "GO:0005242;GO:0099094" "ligand-gated cation channel activity" 0.950055693353808
-296 0.3107512920526 2 16 "GO:0005245" "voltage-gated calcium channel activity" 0.824527053332273
-100 0.863351611621054 2 4 "GO:0005247;GO:0008308" "voltage-gated chloride channel activity" 0.950055693353808
-93 0.758086390209822 5 15 "GO:0005254;GO:0005253;GO:0015108" "anion channel activity" 0.950055693353808
-50 0.564506567083592 2 192 "GO:0005261;GO:0015077;GO:0046873" "metal ion transmembrane transporter activity" 0.950055693353808
-192 0.713245306830753 3 5 "GO:0005275" "amine transmembrane transporter activity" 0.950055693353808
-402 0.23249105780195 4 12 "GO:0005283;GO:0005416" "amino acid:cation symporter activity" 0.784940884195624
-289 0.390924348533154 3 12 "GO:0005308;GO:0051184;GO:0072349" "creatine transmembrane transporter activity" 0.874169492589332
-115 0.780058643339235 2 8 "GO:0005310" "dicarboxylic acid transmembrane transporter activity" 0.950055693353808
29 0.838569193878654 2 69 "GO:0005319;GO:0019205;GO:0016776;GO:0005355;GO:0015149;GO:0015145;GO:0051119" "nucleobase-containing compound kinase activity" 0.950055693353808
-236 0.566900546600258 2 8 "GO:0005326" "neurotransmitter transporter activity" 0.950055693353808
-122 0.333759859874202 3 87 "GO:0005342;GO:0008509" "anion transmembrane transporter activity" 0.824527053332273
-253 0.150895700380538 3 44 "GO:0005343;GO:0015370;GO:0015081" "sodium ion transmembrane transporter activity" 0.740137114142878
-225 0.636266297472373 4 6 "GO:0005362" "low-affinity glucose:sodium symporter activity" 0.950055693353808
-106 0.785805098455881 3 9 "GO:0005412" "glucose:sodium symporter activity" 0.950055693353808
1081 0.0380509840636101 2 5 "GO:0005484" "SNAP receptor activity" 0.529995849457426
-162 0.733395932461091 3 6 "GO:0005504" "fatty acid binding" 0.950055693353808
496 0.111672465484378 2 14 "GO:0005507" "copper ion binding" 0.680504086545428
