gene,Fish_kME
LOC118478065,0
LOC101846613,0
LOC101847001,0.565414793920648
LOC101847694,0
LOC101848083,0
LOC101848620,0
LOC101848391,0.369858087937761
LOC101848850,0.19490101686877
LOC101849253,0
LOC101849504,0
LOC101855532,0.807987505984148
LOC101849970,0
LOC101850212,0
LOC101850446,0
LOC101850682,0.0865763141983526
LOC101850917,0
LOC101851774,0.646563368475452
LOC101852128,0.963296444874109
LOC101852364,0
LOC101852581,0
LOC101853505,0
LOC101853981,0.882057182558574
LOC101854370,0.634476106495408
LOC101856476,0
LOC101854761,0
LOC101856700,0
LOC101855452,0.311235543332784
LOC101856937,-0.0272490345437973
LOC101857153,0.469811159061099
LOC101857372,0
LOC101857609,0.411518464598725
LOC101857841,0
LOC101855910,0
LOC101858313,0.578974732171558
LOC100533353,0
LOC101856139,0
LOC101856539,0
LOC101856763,0
LOC101857754,0
LOC101857986,0
LOC101858529,0
LOC101858747,0
LOC101859282,0
LOC101859675,0
LOC101859524,0.234524774207804
LOC101859745,0
LOC101859983,0.555251948479291
LOC101860211,0.591397043183216
LOC101860615,0
LOC101861328,0
LOC101861244,0
LOC101861473,0
LOC101861549,0
LOC101862382,0
LOC101863065,0.368709613395725
LOC101863307,0
LOC101861775,0
LOC101863551,-0.011914186253202
LOC101861996,0
LOC101864031,0
LOC101845657,0
LOC101846041,0
LOC101862459,0
LOC100533245,0
LOC101862691,0
LOC100533249,0
LOC101846927,0
LOC101847384,0
LOC101847916,0.450472052246982
LOC101848154,0
LOC101848702,0
LOC101849419,0.416242338563382
LOC101849892,0.722470992055892
LOC101850124,0
LOC101850373,0
LOC101850608,0.628886362991368
LOC118477874,0
LOC101851082,0
LOC101851304,0
LOC101851538,0
LOC101864344,0
LOC101851775,0.185208091381961
LOC101851991,0
LOC101852215,0.436625874043161
LOC101845508,0.545899492714359
LOC101852737,0
LOC101845733,-0.141052830314554
LOC101853269,0.596022353989769
LOC101853653,0
LOC101854125,0.629402965558265
LOC101846389,0
LOC101854608,0.375835648096879
LOC101847774,0
LOC101848559,0.743131458088757
LOC101849256,0
LOC101849013,0.210080748879775
LOC101849255,0
LOC101849803,0
LOC101850213,0
LOC101851084,0
LOC101851540,0
LOC101851776,0
LOC101852365,0.949795151581817
LOC101852806,0.327593303844237
LOC101853201,0
LOC101851840,0
LOC101853654,0
LOC101853894,0
LOC101854538,0.795737297560233
LOC118478780,0
LOC101854909,0
LOC101856541,0
LOC101856765,0
LOC106013452,0
LOC101857373,0
LOC101852740,0
LOC101857842,0.489104225172675
LOC101858074,0
LOC101858314,0
LOC101858750,0
LOC101852969,0
LOC101859283,0.941147870818557
LOC101859746,0
LOC101859985,0
LOC101860213,0
LOC101860456,0
LOC101861245,0
LOC101861474,0
LOC101862226,0.512992689557599
LOC101854610,0
LOC101854836,0.0795590713959686
LOC101864107,0.802117426205508
LOC101864571,0.889430466756336
LOC101845050,0
LOC101855302,0
LOC101846256,0.392061863620419
LOC101846470,0
LOC101846699,0
LOC101846928,0.654223498612442
LOC101847157,0
LOC101847776,0
LOC101847385,0.0699772871636651
