"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.41295973221761 2 3513 "GO:0000209;GO:0048608;GO:0010948;GO:0045786;GO:0048639;GO:0045927;GO:0007507;GO:0006302;GO:0045930;GO:0007041;GO:0007034;GO:0046578;GO:1901990;GO:1901987;GO:0006888;GO:0016050;GO:0035295;GO:0060429;GO:0006282;GO:0006338;GO:0043547;GO:0043087;GO:0006937;GO:0090257;GO:1903522;GO:0051604;GO:0031396;GO:1903320;GO:0016197;GO:0031398;GO:1903322;GO:0006310;GO:2001252;GO:0034330;GO:0045197;GO:0035088;GO:0061245;GO:0071826;GO:1902105;GO:0045185;GO:0042593;GO:0033500;GO:0043434;GO:1901653;GO:0090150;GO:0006366;GO:2000116;GO:0052548;GO:0052547;GO:0022618;GO:0002521;GO:0031349;GO:0071214;GO:0104004;GO:0008016;GO:0003002;GO:0046649;GO:0007204;GO:0051480;GO:0017157;GO:0000375;GO:0045087;GO:0070372;GO:0050778;GO:0050878;GO:0048732;GO:0051249;GO:0022409;GO:0016055;GO:1905114;GO:0016485;GO:0001819;GO:0045088;GO:0002697;GO:0070374;GO:0071216;GO:0030111;GO:0060828;GO:0000398;GO:0000377" "regulation of cell cycle phase transition" 1
0 0.116234037343292 7 15 "GO:0000467;GO:0000459;GO:0031125;GO:0071035;GO:0071046;GO:0043634;GO:0071029;GO:0043633;GO:0071038;GO:0016078" "rRNA 3'-end processing" 0.675836431226766
0 0.794282278279375 2 37 "GO:0000469;GO:0090502;GO:0000479;GO:0000478" "cleavage involved in rRNA processing" 1
0 0.479785515767593 3 193 "GO:0000956;GO:0006402;GO:0006401;GO:0090501;GO:0090305" "RNA catabolic process" 1
0 0.325059361046271 3 46 "GO:0001504;GO:0089718;GO:0043090" "amino acid import" 1
0 0.434791961465126 6 141 "GO:0001676;GO:0033559;GO:0006633" "long-chain fatty acid metabolic process" 1
0 0.164156770141448 5 73 "GO:0001778;GO:0019076;GO:0035891;GO:0035890;GO:0052126;GO:0052192;GO:0031468;GO:0039702;GO:0046755;GO:0043162;GO:0046761;GO:0046753;GO:0061952;GO:1902410;GO:1901673;GO:0090169;GO:1902774" "ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway" 0.786774193548387
0 4.81520849663938e-10 6 2425 "GO:0001890;GO:0030048;GO:0060122;GO:0051187;GO:0008589;GO:0061982;GO:0030317;GO:0097722;GO:1902117;GO:0031047;GO:0016458;GO:2000036;GO:0034109;GO:1904035;GO:0010906;GO:0043255;GO:0007160;GO:0035023;GO:0046580;GO:0051058;GO:0042953;GO:0044872;GO:0021954;GO:0030838;GO:0045682;GO:0009154;GO:0006195;GO:0009261;GO:0072523;GO:0007338;GO:0009566;GO:2000249;GO:0044264;GO:0005976;GO:0002067;GO:0010812;GO:0045668;GO:0030279;GO:0071559;GO:0043966;GO:0042058;GO:1901184;GO:0045669;GO:0071560;GO:1900006;GO:0000381;GO:0051258;GO:0042246;GO:0043113;GO:1905515;GO:0086091;GO:0010951;GO:0010466;GO:0086004;GO:1903115;GO:0010596;GO:0010633;GO:0030857;GO:0002315;GO:0002313;GO:0002335;GO:0060563;GO:0045604;GO:0045844;GO:0048636;GO:1901863;GO:0001708;GO:0072014;GO:0051153;GO:1904645;GO:1904646;GO:0045921;GO:0060413;GO:0050851;GO:0002429;GO:0002768;GO:0099612;GO:0048489;GO:0097479;GO:0097480;GO:0003151;GO:0061097;GO:0009235;GO:0051893;GO:0090109;GO:0002698;GO:0006970;GO:0007254;GO:0051403;GO:0031098;GO:0009408;GO:0031100;GO:0034754;GO:0034308;GO:0060326;GO:0034112;GO:0045672;GO:0051092;GO:0099643;GO:0007416;GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0016575;GO:0006476;GO:0035601;GO:0098732;GO:0009167;GO:0009126;GO:0009161;GO:0009123;GO:0048813;GO:0048014;GO:0008154;GO:0045332;GO:0034204;GO:0097035;GO:0031122;GO:1902459;GO:0006446;GO:1901264;GO:0140115;GO:0072337;GO:0072348;GO:1901224;GO:1901222;GO:0034121;GO:0031069;GO:0043030;GO:0010838;GO:0031532;GO:0034394;GO:2000648;GO:0009394;GO:0009262;GO:0019692;GO:0001960;GO:0060761;GO:0050852;GO:0051149;GO:0043618;GO:0043620;GO:0030858;GO:0086002;GO:0086010;GO:0086065;GO:0086012;GO:0043154;GO:2000117;GO:0003180;GO:0044703;GO:0044706;GO:0045920;GO:0002052;GO:1902692;GO:0060968;GO:0044088;GO:0072015;GO:0072310;GO:0045838;GO:0042440;GO:0099623;GO:0060306;GO:1902259;GO:0045760;GO:0045616;GO:0045601;GO:0045824;GO:0014014;GO:0051209;GO:0051283;GO:0097028;GO:0060251;GO:2000819;GO:0001570;GO:0070613;GO:1903317;GO:0045663;GO:0070316;GO:0045445;GO:0007565;GO:0035914;GO:0006778;GO:0045913;GO:0098815;GO:2000463;GO:0035051;GO:0042168;GO:0010676;GO:0070633;GO:0001773;GO:0071286;GO:1904181;GO:0048679;GO:0070570;GO:0014855;GO:0033002;GO:0048048;GO:0046849;GO:0098910;GO:1900116;GO:1900115;GO:0035581;GO:0071694;GO:0035583;GO:0043011;GO:1902260;GO:1903817;GO:0061073;GO:0036303;GO:0036309;GO:0035622;GO:0061009;GO:0072104;GO:0072574;GO:0072575;GO:1990705;GO:0010960;GO:0010650;GO:0072660;GO:0072658;GO:1900827;GO:1900825;GO:0098902;GO:0003017" "regulation of glucose metabolic process" 0.1
0 0.0230887309663328 3 39 "GO:0001895;GO:0060441;GO:0045176;GO:0071896;GO:1902414" "protein localization to cell junction" 0.582456140350877
0 0.0214729074574499 4 95 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 0.582407407407407
0 0.0406009059350732 2 94 "GO:0001937;GO:0034605;GO:0008625;GO:0048147" "extrinsic apoptotic signaling pathway via death domain receptors" 0.60794701986755
