"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.771574139846928 2 2666 "GO:0000785;GO:0005874;GO:0099513;GO:0044441;GO:0005815;GO:0005813;GO:0005929;GO:0044440;GO:0010008;GO:0009986;GO:0000139;GO:0005773;GO:0005764;GO:0000323;GO:0005925;GO:0005924;GO:0030055;GO:0005765;GO:0098852;GO:0005774" "chromatin" 1
0 0.585541779072473 2 1867 "GO:0000786;GO:0044815;GO:0019897;GO:0030175;GO:0001917;GO:0034451;GO:0005930;GO:0032587;GO:0043197;GO:0044309;GO:0000932;GO:0035861;GO:0090734;GO:0097729;GO:0031594;GO:0032420;GO:0072686;GO:0001725;GO:0042641;GO:0097517;GO:0032432;GO:0030136;GO:0030135;GO:0031526;GO:0017053;GO:0035097;GO:0034708;GO:0030665;GO:0030662;GO:0005643;GO:0000118;GO:0005905;GO:0005796;GO:0030315;GO:0035578;GO:0042470;GO:0048770;GO:0030286;GO:0016234;GO:0016328;GO:0032588;GO:0001726;GO:0098685;GO:0030863;GO:1902554;GO:1902911;GO:0010494;GO:0005923;GO:0070160;GO:0014704;GO:0044291;GO:0005811;GO:0005876;GO:0016605;GO:0009925;GO:0043034;GO:0044447;GO:0005927" "cell-cell contact zone" 1
0 0.225428837907833 4 1057 "GO:0031252;GO:0098862;GO:0032589;GO:0001669;GO:0035869;GO:0090543;GO:0097730;GO:0005884;GO:0005776;GO:0060170;GO:0005902;GO:0005903;GO:0005871;GO:0005758;GO:0031970;GO:0042734;GO:0033268;GO:0043194;GO:0034704;GO:0035580;GO:0045171;GO:1904115;GO:0120111;GO:0032838;GO:0045177;GO:0005798;GO:0008287;GO:1903293;GO:1902562;GO:0030669;GO:0030670;GO:0045335;GO:0030864;GO:0031225;GO:1904724;GO:0030017;GO:0001527;GO:0005858" "plasma membrane bounded cell projection cytoplasm" 1
0 0.0193952271030144 4 506 "GO:0032421;GO:0035253;GO:0030014;GO:0000795;GO:0099086;GO:0031941;GO:0031519;GO:0000145;GO:0035371;GO:1990752;GO:0016460;GO:0005642;GO:0031095;GO:0033017;GO:0043260;GO:0044545;GO:0031088;GO:0097440;GO:0097441;GO:0005677;GO:0017101;GO:0030118;GO:0001518;GO:0016010;GO:0005847;GO:0005849;GO:0031010;GO:0036057;GO:0036056;GO:0042575;GO:0005795;GO:0001401;GO:0098799;GO:0140275;GO:0016442;GO:0031332;GO:0034045;GO:0030673;GO:0002177;GO:0098574;GO:0099078;GO:0071014;GO:0016342;GO:0031258;GO:0031011;GO:0033202;GO:0140288;GO:0036477;GO:0005882;GO:0097381;GO:0005641;GO:0031527;GO:0035748;GO:0005862;GO:0005606;GO:0005587;GO:0098642;GO:0098651;GO:0032059;GO:0005589;GO:0042599;GO:0031523;GO:1990779;GO:0044614;GO:0140092;GO:0048188;GO:0005955;GO:0005593;GO:0030934;GO:0032045;GO:0031094;GO:0097427;GO:0045179;GO:0060091;GO:0097732;GO:0031209;GO:0071546;GO:0097728;GO:0005595;GO:0098683" "mRNA cleavage factor complex" 1
0 0.0737843636780907 2 1403 "GO:0032993;GO:0030426;GO:0030427;GO:0005814;GO:0036064;GO:0031901;GO:0005581;GO:0001650;GO:0044452;GO:0055037;GO:0000776;GO:0000922;GO:0005741;GO:0031968;GO:0019867;GO:0016363;GO:0000123;GO:0031248;GO:1902493;GO:0030139;GO:1904949;GO:0044420;GO:0009897;GO:0070603;GO:0030666" "endocytic vesicle membrane" 1
0 0.26559107449605 2 3295 "GO:0043235;GO:0098797;GO:0097060;GO:0005769;GO:0030424;GO:0033267;GO:0031965;GO:0031253;GO:0044450;GO:0005759;GO:0005802;GO:0098791;GO:0031984;GO:0036464;GO:0035770;GO:0016323;GO:0005938;GO:0099568;GO:0014069;GO:0099572;GO:0015629;GO:0044454;GO:0016324;GO:0030425;GO:0034774;GO:0060205;GO:0031983;GO:0005788;GO:0016607;GO:0098978;GO:0005911;GO:0045121;GO:0098857;GO:0098589;GO:0043025;GO:0044297;GO:0098552" "basolateral plasma membrane" 1
0 0.0112979593312555 2 2355 "GO:0045211;GO:0019898;GO:0005875;GO:0015630;GO:0030027;GO:0098858;GO:0043204;GO:0031256;GO:0030141;GO:0097223;GO:0099503;GO:0032154;GO:0032155;GO:0098794;GO:0031514;GO:0005770;GO:0005819;GO:0030496;GO:0005635;GO:0031967;GO:0031975;GO:0016529;GO:0000781;GO:0098687;GO:0098793;GO:0061695;GO:0030133;GO:0030667;GO:0043202;GO:0005775;GO:0005604;GO:0044448;GO:0005681;GO:0009898;GO:0098562;GO:0042383;GO:0014731" "basement membrane" 1
0 0.146307153257119 3 256 "GO:0098802;GO:0034702;GO:1902495;GO:1990351;GO:0034703" "transporter complex" 1
0 1 4 12 "GO:0000109" "nucleotide-excision repair complex" 1
0 1 6 4 "GO:0000137" "Golgi cis cisterna" 1
0 1 5 10 "GO:0000138" "Golgi trans cisterna" 1
0 1 4 28 "GO:0000152;GO:0005680" "nuclear ubiquitin ligase complex" 1
0 1 2 9 "GO:0000164" "protein phosphatase type 1 complex" 1
0 1 3 12 "GO:0000172;GO:0005655;GO:0030681;GO:0030677" "ribonuclease P complex" 1
0 1 2 12 "GO:0000176;GO:0101019" "nuclear exosome (RNase complex)" 1
0 1 2 20 "GO:0000177;GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 1 3 8 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 1
0 1 2 6 "GO:0000243" "commitment complex" 1
0 1 2 7 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 1
