"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-218 0.356766563454123 4 12 "GO:0000109" "nucleotide-excision repair complex" 0.670546229509549
-218 0.595054269895891 2 4 "GO:0000137" "Golgi cis cisterna" 0.670546229509549
464 0.073469412865175 2 10 "GO:0000138" "Golgi trans cisterna" 0.51599448105309
-218 0.158671560742892 3 28 "GO:0000152;GO:0005680" "nuclear ubiquitin ligase complex" 0.670546229509549
-218 0.424959159710126 4 9 "GO:0000164" "protein phosphatase type 1 complex" 0.670546229509549
-218 0.356766563454123 3 12 "GO:0000172;GO:0005655;GO:0030681;GO:0030677" "ribonuclease P complex" 0.670546229509549
-218 0.356766563454123 3 12 "GO:0000176;GO:0101019" "nuclear exosome (RNase complex)" 0.670546229509549
-218 0.23384033329297 2 20 "GO:0000177;GO:0000178;GO:1905354" "exoribonuclease complex" 0.670546229509549
-218 0.451969088359499 4 8 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.670546229509549
-218 0.51491244382821 2 6 "GO:0000243" "commitment complex" 0.670546229509549
-218 0.481758729049763 2 7 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 0.670546229509549
-113 0.441221145970835 3 31 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.670546229509549
88 0.722179879967317 2 11 "GO:0000346" "transcription export complex" 0.787358569495053
262 0.396613540234523 2 7 "GO:0000347;GO:0000445" "THO complex" 0.670546229509549
-139 0.290486887547881 5 39 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.670546229509549
-143 0.115306188449355 2 82 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.670546229509549
-218 0.552259473662236 2 5 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.670546229509549
-128 0.349356587680517 3 36 "GO:0000775" "chromosome, centromeric region" 0.670546229509549
-218 0.481758729049763 2 7 "GO:0000779" "condensed chromosome, centromeric region" 0.670546229509549
82 6.57639374716224e-05 4 2666 "GO:0000785;GO:0005874;GO:0099513;GO:0044441;GO:0005815;GO:0005813;GO:0005929;GO:0044440;GO:0010008;GO:0009986;GO:0000139;GO:0005773;GO:0005764;GO:0000323;GO:0005925;GO:0005924;GO:0030055;GO:0005765;GO:0098852;GO:0005774" "chromatin" 0.00993035455821498
