"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0615446484144834 2 12 "GO:0000109" "nucleotide-excision repair complex" 0.191089108910891
0 0.433293343073567 2 28 "GO:0000152;GO:0005680" "nuclear ubiquitin ligase complex" 0.692265193370166
0 0.266929968286762 4 9 "GO:0000164" "protein phosphatase type 1 complex" 0.534722222222222
0 0.132409755342285 4 12 "GO:0000176;GO:0101019" "nuclear exosome (RNase complex)" 0.314166666666667
0 0.378892198897669 2 20 "GO:0000177;GO:0000178;GO:1905354" "exoribonuclease complex" 0.668292682926829
0 3.24307405913234e-05 4 8 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0
0 1.09062990637846e-07 3 7 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 0
0 0.410502532135921 2 31 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.660555555555556
0 0.49072860008185 5 39 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.762702702702703
0 3.0013391359463e-07 2 82 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0
0 0.125836055461402 2 36 "GO:0000775" "chromosome, centromeric region" 0.304201680672269
0 0.0536532539617683 3 7 "GO:0000779" "condensed chromosome, centromeric region" 0.169791666666667
0 0.999747602341778 2 2666 "GO:0000785;GO:0005874;GO:0099513;GO:0044441;GO:0005815;GO:0005813;GO:0005929;GO:0044440;GO:0010008;GO:0009986;GO:0000139;GO:0005773;GO:0005764;GO:0000323;GO:0005925;GO:0005924;GO:0030055;GO:0005765;GO:0098852;GO:0005774" "chromatin" 1
