"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.331637775728779 4 86 "GO:0000049;GO:0004812;GO:0016875" "tRNA binding" 1
0 0.115050097436888 4 714 "GO:0002161;GO:0070700;GO:0070696;GO:0033612;GO:0019136;GO:0098641;GO:0005242;GO:0001640;GO:0098988;GO:0035612;GO:0035615;GO:0098748;GO:0003964;GO:0030553;GO:0042301;GO:0005095;GO:0033691;GO:0035374;GO:0042043;GO:0045545;GO:0031402;GO:0030291;GO:0005540;GO:0009881;GO:0004707;GO:0004745;GO:0010485;GO:0032036;GO:0008574;GO:0032357;GO:0032356;GO:0003906;GO:0015174;GO:0008349;GO:0016668;GO:0015926;GO:0086056;GO:0086007;GO:0005078;GO:0043023;GO:0001530;GO:0038187;GO:0047499;GO:0102545;GO:0003720;GO:0019200;GO:0016842;GO:0016840;GO:0000182;GO:0035613;GO:0070064;GO:0097604;GO:0097603;GO:0004181;GO:0097617;GO:0043237;GO:0050811;GO:0015116;GO:0015556;GO:0015141;GO:0030226;GO:0047429;GO:0030292;GO:0008252;GO:0000900;GO:0030371;GO:1990825;GO:1990405;GO:0032050;GO:0001968;GO:0016936;GO:0045159;GO:0000340;GO:0004190;GO:0070001;GO:1905573;GO:0035594;GO:0043208;GO:1905574;GO:1905575;GO:1905576;GO:1905577;GO:0031996;GO:0031628;GO:0098505;GO:0043047;GO:0098847;GO:0005536;GO:0001972;GO:1905394;GO:0035035;GO:0140036;GO:0140035;GO:0008253;GO:0030275;GO:0010181;GO:0034988;GO:0034987;GO:0120019;GO:0120014;GO:0003691;GO:0001849;GO:0001846;GO:0001848;GO:0051880;GO:0005024;GO:0004675;GO:0097153;GO:0097200;GO:0008169;GO:0000253;GO:0042800;GO:0016532;GO:0043682;GO:1903136;GO:0051011;GO:0098770;GO:0005220;GO:0098695;GO:0008510;GO:0005229;GO:0061778;GO:0016423;GO:0036122;GO:0140262;GO:0002046;GO:0018455;GO:0033703;GO:0001607;GO:0042924;GO:0032029;GO:0019964;GO:0019961" "translation repressor activity" 1
0 0.551658144380959 2 1631 "GO:0003712;GO:0008047;GO:0019904;GO:0051020;GO:0016887;GO:0003682" "chromatin binding" 0.921428571428571
0 0.408694355468546 2 742 "GO:0003823;GO:0008138;GO:0016881;GO:0098632;GO:0098631;GO:0005154;GO:0034061;GO:0030551;GO:0005537;GO:0002162;GO:0043395;GO:0016790;GO:0001223;GO:0008175;GO:0071889;GO:0001222;GO:0060590;GO:0008374;GO:0015431;GO:0071997;GO:0034040;GO:1901618;GO:0043225;GO:0034634;GO:0042937;GO:0035673;GO:0070577;GO:0140033;GO:0015459;GO:0051018;GO:0001784;GO:0045309;GO:0008200;GO:0016248;GO:0015301;GO:0090554;GO:0004012;GO:0032452;GO:0048027;GO:0003887;GO:0034185;GO:0050321;GO:0046966;GO:0008483;GO:0016769;GO:0016830;GO:0046624;GO:0016831;GO:0016709;GO:0005520;GO:0046625;GO:0090555;GO:1904121;GO:0035620;GO:0030021;GO:0004689" "carbon-carbon lyase activity" 0.98046875
0 0.224015814973895 7 305 "GO:0003924;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "guanyl ribonucleotide binding" 1
0 0.03338091394883 7 62 "GO:0004402;GO:0061733;GO:0034212;GO:0008080;GO:0016407;GO:0016410" "acetyltransferase activity" 1
0 0.199828591427102 5 144 "GO:0004519;GO:0004518;GO:0004540" "nuclease activity" 1
0 0.0362654733362928 7 131 "GO:0004839;GO:0016176;GO:0001156;GO:0001025;GO:0004531;GO:0004778;GO:0044466;GO:0047603;GO:0047994;GO:0004558;GO:0032450;GO:0045485;GO:0062076;GO:1990460;GO:1990003;GO:0070259;GO:0004161;GO:0004337;GO:0001567;GO:0004618;GO:0004030;GO:0004658;GO:0098639;GO:0098634;GO:0004557;GO:0017041;GO:0052692;GO:1990254;GO:0019215;GO:0099077;GO:0099609;GO:0018738;GO:0031755;GO:0031753;GO:0004736;GO:0004503;GO:0016716;GO:0050429;GO:0004719;GO:0003870;GO:0016749;GO:0016748;GO:0009008;GO:0016890;GO:0004151;GO:0004703;GO:0047696;GO:0071535;GO:0050544;GO:0050542;GO:0050543;GO:0036121;GO:0033676;GO:0004822;GO:0033229;GO:0008466;GO:0102751;GO:0004819;GO:0004817;GO:0140090;GO:0003875;GO:0044388;GO:0004677;GO:0038025;GO:0060072;GO:0097016;GO:1990984;GO:0071207;GO:0004823;GO:0045131;GO:0019002;GO:0016155;GO:0018729;GO:0043759;GO:0036310;GO:1990760;GO:0005034;GO:0080048;GO:0046556;GO:0047159;GO:0047192;GO:0050200;GO:0035642;GO:0008700;GO:0106009;GO:0008823;GO:0052851;GO:0062104;GO:0050459;GO:1905502;GO:0005219;GO:0043924;GO:0004633;GO:0002083;GO:0002094;GO:0008412;GO:0047293;GO:0001733;GO:0050694;GO:0070042;GO:0061929;GO:0036220;GO:0036222;GO:0043771;GO:0061711;GO:0005415;GO:0015389;GO:0005350;GO:0015391;GO:0015390;GO:0106050;GO:0008852;GO:0051033;GO:0051032;GO:0004753;GO:0004754;GO:0047130;GO:0047131;GO:0050104;GO:0031697" "calcium-dependent phospholipase C activity" 1
0 0.20637982049747 2 468 "GO:0005216;GO:0022839;GO:0022838;GO:0022836;GO:0015267;GO:0022803;GO:0005261;GO:0022890;GO:0008324;GO:0015077;GO:0046873" "cation transmembrane transporter activity" 1
0 0.0466390323393624 3 144 "GO:0005231;GO:0005230;GO:0015276;GO:0022834;GO:0099094;GO:1904315;GO:0022824;GO:0099529;GO:0022835;GO:0098960;GO:0030594" "ligand-gated ion channel activity" 1
