"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.585844986325182 5 86 "GO:0000049;GO:0004812;GO:0016875" "tRNA binding" 1
0 0.000252354399826178 2 26 "GO:0000062;GO:1901567;GO:0003995" "fatty acid derivative binding" 0.00357142857142857
0 0.046502109378038 2 73 "GO:0000149;GO:0019905" "SNARE binding" 0.268421052631579
0 0.887115981772138 2 62 "GO:0000175;GO:0008408;GO:0016896;GO:0004527;GO:0004532;GO:0016796" "exonuclease activity" 1
0 0.012585673457408 2 8 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.128125
0 0.540840786060616 3 9 "GO:0000995" "RNA polymerase III general transcription initiation factor activity" 1
0 0.476442656020162 2 18 "GO:0001094;GO:0001091" "RNA polymerase II general transcription initiation factor binding" 1
0 0.646891685386906 2 204 "GO:0001221;GO:0005126;GO:0042826" "transcription cofactor binding" 1
0 0.171869536931193 2 16 "GO:0001671" "ATPase activator activity" 0.556756756756757
0 0.0169908222671839 3 47 "GO:0001786;GO:0072341" "modified amino acid binding" 0.162686567164179
0 0.222947421461451 5 714 "GO:0002161;GO:0070700;GO:0070696;GO:0033612;GO:0019136;GO:0098641;GO:0005242;GO:0001640;GO:0098988;GO:0035612;GO:0035615;GO:0098748;GO:0003964;GO:0030553;GO:0042301;GO:0005095;GO:0033691;GO:0035374;GO:0042043;GO:0045545;GO:0031402;GO:0030291;GO:0005540;GO:0009881;GO:0004707;GO:0004745;GO:0010485;GO:0032036;GO:0008574;GO:0032357;GO:0032356;GO:0003906;GO:0015174;GO:0008349;GO:0016668;GO:0015926;GO:0086056;GO:0086007;GO:0005078;GO:0043023;GO:0001530;GO:0038187;GO:0047499;GO:0102545;GO:0003720;GO:0019200;GO:0016842;GO:0016840;GO:0000182;GO:0035613;GO:0070064;GO:0097604;GO:0097603;GO:0004181;GO:0097617;GO:0043237;GO:0050811;GO:0015116;GO:0015556;GO:0015141;GO:0030226;GO:0047429;GO:0030292;GO:0008252;GO:0000900;GO:0030371;GO:1990825;GO:1990405;GO:0032050;GO:0001968;GO:0016936;GO:0045159;GO:0000340;GO:0004190;GO:0070001;GO:1905573;GO:0035594;GO:0043208;GO:1905574;GO:1905575;GO:1905576;GO:1905577;GO:0031996;GO:0031628;GO:0098505;GO:0043047;GO:0098847;GO:0005536;GO:0001972;GO:1905394;GO:0035035;GO:0140036;GO:0140035;GO:0008253;GO:0030275;GO:0010181;GO:0034988;GO:0034987;GO:0120019;GO:0120014;GO:0003691;GO:0001849;GO:0001846;GO:0001848;GO:0051880;GO:0005024;GO:0004675;GO:0097153;GO:0097200;GO:0008169;GO:0000253;GO:0042800;GO:0016532;GO:0043682;GO:1903136;GO:0051011;GO:0098770;GO:0005220;GO:0098695;GO:0008510;GO:0005229;GO:0061778;GO:0016423;GO:0036122;GO:0140262;GO:0002046;GO:0018455;GO:0033703;GO:0001607;GO:0042924;GO:0032029;GO:0019964;GO:0019961" "translation repressor activity" 0.643636363636364
0 0.521486792613156 7 13 "GO:0003688" "DNA replication origin binding" 1
0 0.0412896972969361 7 6 "GO:0003696;GO:0000700" "mismatch base pair DNA N-glycosylase activity" 0.245054945054945
0 0.636887309160271 2 1631 "GO:0003712;GO:0008047;GO:0019904;GO:0051020;GO:0016887;GO:0003682" "chromatin binding" 1
0 0.00294171584935551 2 138 "GO:0003735" "structural constituent of ribosome" 0.04375
0 0.0232199152916634 2 17 "GO:0003746" "translation elongation factor activity" 0.187323943661972
0 0.000575261394193374 3 30 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.0258064516129032
0 0.504068888551544 2 742 "GO:0003823;GO:0008138;GO:0016881;GO:0098632;GO:0098631;GO:0005154;GO:0034061;GO:0030551;GO:0005537;GO:0002162;GO:0043395;GO:0016790;GO:0001223;GO:0008175;GO:0071889;GO:0001222;GO:0060590;GO:0008374;GO:0015431;GO:0071997;GO:0034040;GO:1901618;GO:0043225;GO:0034634;GO:0042937;GO:0035673;GO:0070577;GO:0140033;GO:0015459;GO:0051018;GO:0001784;GO:0045309;GO:0008200;GO:0016248;GO:0015301;GO:0090554;GO:0004012;GO:0032452;GO:0048027;GO:0003887;GO:0034185;GO:0050321;GO:0046966;GO:0008483;GO:0016769;GO:0016830;GO:0046624;GO:0016831;GO:0016709;GO:0005520;GO:0046625;GO:0090555;GO:1904121;GO:0035620;GO:0030021;GO:0004689" "carbon-carbon lyase activity" 1
0 1.28495444820796e-05 5 7 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0
0 0.242198744601306 2 21 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.673372781065089
0 0.0483582396516559 3 305 "GO:0003924;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "guanyl nucleotide binding" 0.276041666666667
0 0.113184525083551 2 28 "GO:0004033;GO:0008106;GO:0004090;GO:0052650" "aldo-keto reductase (NADP) activity" 0.436153846153846
0 0.024524499040657 2 5 "GO:0004045" "aminoacyl-tRNA hydrolase activity" 0.187671232876712
0 0.0448945269036977 5 11 "GO:0004062" "aryl sulfotransferase activity" 0.263829787234043
