gene,Fish_kME
LOC118478065,0
LOC101846613,0
LOC101847001,0
LOC101847694,0
LOC101848083,0
LOC101848620,0
LOC101848391,0
LOC101848850,0
LOC101849253,0
LOC101849504,0
LOC101855532,0
LOC101849970,0
LOC101850212,0
LOC101850446,0
LOC101850682,0
LOC101850917,0
LOC101851774,0
LOC101852128,0
LOC101852364,0
LOC101852581,0
LOC101853505,0
LOC101853981,0
LOC101854370,0
LOC101856476,0
LOC101854761,0
LOC101856700,0
LOC101855452,0
LOC101856937,0
LOC101857153,0
LOC101857372,0
LOC101857609,0
LOC101857841,0
LOC101855910,0
LOC101858313,0
LOC100533353,0
LOC101856139,0
LOC101856539,0
LOC101856763,0
LOC101857754,0
LOC101857986,0
LOC101858529,0
LOC101858747,0
LOC101859282,0
LOC101859675,0
LOC101859524,0
LOC101859745,0
LOC101859983,0
LOC101860211,0
LOC101860615,0
LOC101861328,0
LOC101861244,0
LOC101861473,0
LOC101861549,0
LOC101862382,0
LOC101863065,0
LOC101863307,0
LOC101861775,0
LOC101863551,0
LOC101861996,0
LOC101864031,0
LOC101845657,0
LOC101846041,0
LOC101862459,0
LOC100533245,0
LOC101862691,0
LOC100533249,0
LOC101846927,0
LOC101847384,0
LOC101847916,0
LOC101848154,0
LOC101848702,0
LOC101849419,0
LOC101849892,0
LOC101850124,0
LOC101850373,0
LOC101850608,0
LOC118477874,0
LOC101851082,0
LOC101851304,0
LOC101851538,0
LOC101864344,0
LOC101851775,0
LOC101851991,0
LOC101852215,0
LOC101845508,0
LOC101852737,0
LOC101845733,0
LOC101853269,0
LOC101853653,0
LOC101854125,0
LOC101846389,0
LOC101854608,0
LOC101847774,0
LOC101848559,0
LOC101849256,0
LOC101849013,0
LOC101849255,0
LOC101849803,0
LOC101850213,0
LOC101851084,0
LOC101851540,0
LOC101851776,0
LOC101852365,0
LOC101852806,0
LOC101853201,0
LOC101851840,0
LOC101853654,0
LOC101853894,0
LOC101854538,0
LOC118478780,0
LOC101854909,0
LOC101856541,0
LOC101856765,0
LOC106013452,0
LOC101857373,0
LOC101852740,0
LOC101857842,0
LOC101858074,0
LOC101858314,0
LOC101858750,0
LOC101852969,0
LOC101859283,0
LOC101859746,0
LOC101859985,0
LOC101860213,0
LOC101860456,0
LOC101861245,0
LOC101861474,0
LOC101862226,0
LOC101854610,0
LOC101854836,0
LOC101864107,0
LOC101864571,0
LOC101845050,0
LOC101855302,0
LOC101846256,0
LOC101846470,0
LOC101846699,0
LOC101846928,0
LOC101847157,0
LOC101847776,0
LOC101847385,0
LOC101848156,0
LOC106014199,0
LOC118477191,0
LOC101855535,0
LOC101855987,0
LOC101856227,0
LOC101848622,0
LOC101849014,0
LOC101856701,0
LOC101856938,0
LOC101857155,0
LOC101849658,0
LOC101857374,0
LOC101850126,0
LOC101857611,0
LOC101850376,0
LOC101858075,0
LOC101858315,0
LOC101858532,0
LOC101858752,0
LOC100533454,0
LOC101859209,0
LOC101860135,0
LOC101851086,0
LOC101851541,0
LOC101860536,0
LOC101851777,0
LOC101861475,0
LOC101861855,0
LOC101862078,0
LOC101851992,0
