gene,Fish_kME
LOC118478065,0
LOC101846613,0
LOC101847001,0.663558291921432
LOC101847694,0
LOC101848083,0
LOC101848620,0
LOC101848391,0.312204411679609
LOC101848850,0.177436326847304
LOC101849253,0
LOC101849504,0
LOC101855532,0.83611426201997
LOC101849970,0
LOC101850212,0
LOC101850446,0
LOC101850682,0.12763583065483
LOC101850917,0
LOC101851774,0.74232226909442
LOC101852128,0.954477734187048
LOC101852364,0
LOC101852581,0
LOC101853505,0
LOC101853981,0.892017900323447
LOC101854370,0.673643155162132
LOC101856476,0
LOC101854761,0
LOC101856700,0
LOC101855452,0.205458815877433
LOC101856937,0.105895309145304
LOC101857153,0.510893241198534
LOC101857372,0
LOC101857609,0.587701081331326
LOC101857841,0
LOC101855910,0
LOC101858313,0.62282007792982
LOC100533353,0
LOC101856139,0
LOC101856539,0
LOC101856763,0
LOC101857754,0
LOC101857986,0
LOC101858529,0
LOC101858747,0
LOC101859282,0
LOC101859675,0
LOC101859524,0.186953123290824
LOC101859745,0
LOC101859983,0.565225982850605
LOC101860211,0.656678801484458
LOC101860615,0
LOC101861328,0
LOC101861244,0
LOC101861473,0
LOC101861549,0
LOC101862382,0
LOC101863065,0.289684265541296
LOC101863307,0
LOC101861775,0
LOC101863551,0.153057291199063
LOC101861996,0
LOC101864031,0
LOC101845657,0
LOC101846041,0
LOC101862459,0
LOC100533245,0
LOC101862691,0
LOC100533249,0
LOC101846927,0
LOC101847384,0
LOC101847916,0.467405328536405
LOC101848154,0
LOC101848702,0
LOC101849419,0.379666901568391
LOC101849892,0.669565278533541
LOC101850124,0
LOC101850373,0
LOC101850608,0.723920343086621
LOC118477874,0
LOC101851082,0
LOC101851304,0
LOC101851538,0
LOC101864344,0
LOC101851775,0.274984352661792
LOC101851991,0
LOC101852215,0.600303308617656
LOC101845508,0.368127334526515
LOC101852737,0
LOC101845733,0.10334387115439
LOC101853269,0.490468435239825
LOC101853653,0
LOC101854125,0.502950826336597
LOC101846389,0
LOC101854608,0.343019019492283
LOC101847774,0
LOC101848559,0.772204234391666
LOC101849256,0
LOC101849013,0.258665274256963
LOC101849255,0
LOC101849803,0
LOC101850213,0
LOC101851084,0
LOC101851540,0
LOC101851776,0
LOC101852365,0.940982098193826
LOC101852806,0.364219607645137
LOC101853201,0
LOC101851840,0
LOC101853654,0
LOC101853894,0
LOC101854538,0.746316384909295
LOC118478780,0
LOC101854909,0
LOC101856541,0
LOC101856765,0
LOC106013452,0
LOC101857373,0
LOC101852740,0
LOC101857842,0.541166405496663
LOC101858074,0
LOC101858314,0
LOC101858750,0
LOC101852969,0
LOC101859283,0.951628900179486
LOC101859746,0
LOC101859985,0
LOC101860213,0
LOC101860456,0
LOC101861245,0
LOC101861474,0
LOC101862226,0.472849032024573
LOC101854610,0
LOC101854836,0.180541218301786
LOC101864107,0.467031729845738
LOC101864571,0.898434838375498
LOC101845050,0
LOC101855302,0
LOC101846256,0.405860791860983
LOC101846470,0
LOC101846699,0
LOC101846928,0.575401706334923
LOC101847157,0
LOC101847776,0
LOC101847385,0.126232024722149
LOC101848156,0.679230898468368
