contrast	gene	log2FoldChange
Hyp_T2h.Control	LOC101847001	-1.0187657001821058
Hyp_T2h.Control	LOC101853981	-1.33299663589892
Hyp_T2h.Control	LOC101859745	-1.7759584205019754
Hyp_T2h.Control	LOC101860615	-1.0261248968652106
Hyp_T2h.Control	LOC101862382	-0.6588372605949674
Hyp_T2h.Control	LOC101845657	-2.414307068354345
Hyp_T2h.Control	LOC101851776	-0.6441913795052728
Hyp_T2h.Control	LOC101849014	-0.828088252363828
Hyp_T2h.Control	LOC101852216	-5.265439158505132
Hyp_T2h.Control	LOC101846543	-1.2605660629417559
Hyp_T2h.Control	LOC101856852	0.6732932150698454
Hyp_T2h.Control	LOC101849171	-0.9760789314007334
Hyp_T2h.Control	LOC101849172	-1.5179496049681784
Hyp_T2h.Control	LOC101859607	-0.787967190446548
Hyp_T2h.Control	LOC101859986	-2.5085936224332266
Hyp_T2h.Control	LOC101851543	-1.0275364214207718
Hyp_T2h.Control	LOC101852288	-0.6296180622721844
Hyp_T2h.Control	LOC101863942	-1.7633833451669083
Hyp_T2h.Control	LOC101850216	-0.8462700548572993
Hyp_T2h.Control	LOC101853986	0.9705287633565522
Hyp_T2h.Control	LOC101863223	-1.0067927076241756
Hyp_T2h.Control	LOC101845589	-1.8421248961340306
Hyp_T2h.Control	LOC101851994	-0.8193625920756574
Hyp_T2h.Control	LOC101846703	-1.0912252350680869
Hyp_T2h.Control	LOC101852137	0.4854881177584255
Hyp_T2h.Control	LOC101847392	-1.7218866632211272
Hyp_T2h.Control	LOC101856773	-0.9667299513021615
Hyp_T2h.Control	LOC101847627	0.8012515564521153
Hyp_T2h.Control	LOC101860218	-3.2766962215922515
Hyp_T2h.Control	LOC101844966	0.5631702606984652
Hyp_T2h.Control	LOC101846324	-0.5487968557792178
Hyp_T2h.Control	LOC101847784	-1.820187964713048
Hyp_T2h.Control	LOC101861094	1.0269585562609225
Hyp_T2h.Control	LOC101861096	-1.0635237565027198
Hyp_T2h.Control	LOC106012541	0.6842495193362084
Hyp_T2h.Control	LOC118478249	-2.6007796853918572
Hyp_T2h.Control	LOC101847394	0.8749777410272064
Hyp_T2h.Control	LOC101848163	-0.6015098610604148
Hyp_T2h.Control	LOC101849343	3.185668146839704
Hyp_T2h.Control	LOC101854223	0.8706642356545267
Hyp_T2h.Control	LOC101855228	-0.43106272484945674
Hyp_T2h.Control	LOC101846399	0.6670707258175997
Hyp_T2h.Control	LOC101856625	0.4127914502511424
Hyp_T2h.Control	LOC101861484	-0.5901229498341516
Hyp_T2h.Control	LOC101863402	-0.6579159691069757
Hyp_T2h.Control	LOC101846552	0.7871120203917988
Hyp_T2h.Control	LOC101859905	-1.4326484455951105
Hyp_T2h.Control	LOC101846626	-0.6099390170003637
Hyp_T2h.Control	LOC101862010	-2.3989795084872814
Hyp_T2h.Control	LOC101859684	-1.8104840298035725
Hyp_T2h.Control	LOC101863953	1.4422566120287639
Hyp_T2h.Control	LOC101849268	1.6017996364425877
Hyp_T2h.Control	LOC101853283	-0.8453512909315646
Hyp_T2h.Control	LOC101855924	-2.2809669653410567
Hyp_T2h.Control	LOC101855846	0.5687166303231159
Hyp_T2h.Control	LOC101850623	-1.2718866686127546
Hyp_T2h.Control	LOC101863719	-1.7877405820699608
Hyp_T2h.Control	LOC101851998	-1.3653893244249078
Hyp_T2h.Control	LOC101852899	0.8363477200727953
Hyp_T2h.Control	LOC101848094	-2.551246347953429
Hyp_T2h.Control	His.H4	1.0997732554801485
Hyp_T2h.Control	LOC118479089	-1.0024681515108804
Hyp_T2h.Control	LOC101846266	-1.58640807083118
Hyp_T2h.Control	LOC101853221	1.4504151449311051
Hyp_T2h.Control	LOC100885792	-1.1379349431658796
Hyp_T2h.Control	LOC101850397	-0.6482679263013422
Hyp_T2h.Control	LOC101860479	-0.9543300055878736
Hyp_T2h.Control	LOC101863652	0.9176382572019424
Hyp_T2h.Control	LOC101864367	-1.17732157413966
Hyp_T2h.Control	LOC101856716	-1.0053484236789352
Hyp_T2h.Control	LOC101856953	0.7027202474027978
Hyp_T2h.Control	LOC101864440	-1.2758322319961704
Hyp_T2h.Control	LOC101861716	0.32598643571352404
Hyp_T2h.Control	LOC101862331	-1.054175927926538
Hyp_T2h.Control	LOC100533301	-0.6135288760110192
Hyp_T2h.Control	LOC100533411	-1.1335277405657913
Hyp_T2h.Control	LOC101853766	-1.8426856402079137
Hyp_T2h.Control	LOC101855930	-1.2517562672860014
Hyp_T2h.Control	LOC100533381	-1.1748782881621749
Hyp_T2h.Control	LOC101850234	-1.3751741925457348
Hyp_T2h.Control	LOC101851712	-1.9110784109180143
Hyp_T2h.Control	LOC100533263	-0.5322937858516217
Hyp_T2h.Control	LOC100856795	0.8017238107379145
Hyp_T2h.Control	LOC101845304	-0.7024475669506903
Hyp_T2h.Control	LOC101848950	-0.8420157987089029
Hyp_T2h.Control	LOC101862170	-1.550840127570391
Hyp_T2h.Control	LOC101853298	0.9351879376262091
Hyp_T2h.Control	LOC101862567	1.0997053044857366
Hyp_T2h.Control	LOC101850066	-1.0490220945196531
Hyp_T2h.Control	LOC101862015	0.9553799425951857
Hyp_T2h.Control	LOC101845452	-2.3590764444267207
Hyp_T2h.Control	LOC101845676	-2.901241885157297
Hyp_T2h.Control	LOC101855932	1.8733253604545375
Hyp_T2h.Control	LOC101863006	-1.0122640860190109
Hyp_T2h.Control	LOC101859084	0.9042370209880032
Hyp_T2h.Control	LOC101862711	0.9281343691563178
Hyp_T2h.Control	LOC118477345	-0.7926293173840303
Hyp_T2h.Control	LOC101851482	-2.341191941746788
Hyp_T2h.Control	LOC101852677	-2.4160286594081986
Hyp_T2h.Control	MRP	-1.2927016041386328
Hyp_T2h.Control	LOC101856327	0.7279951974076395
Hyp_T2h.Control	LOC101845077	0.6305681879301335
Hyp_T2h.Control	LOC118477363	-0.9623945279071792
Hyp_T2h.Control	LOC101851717	-1.6032128926231957
Hyp_T2h.Control	LOC101861194	-0.6327272682009129
Hyp_T2h.Control	LOC101860965	-1.251817780420811
Hyp_T2h.Control	LOC101847092	-0.5782312288313313
Hyp_T2h.Control	LOC101848340	-2.850598655402404
Hyp_T2h.Control	LOC101848576	-1.3370671467838768
Hyp_T2h.Control	LOC101853150	0.7424739387319987
Hyp_T2h.Control	LOC101863886	-1.0888672472832368
Hyp_T2h.Control	LOC101848956	-1.7387395270499246
Hyp_T2h.Control	LOC101858700	-0.6961674971181709
Hyp_T2h.Control	LOC101860798	0.42991391739710627
Hyp_T2h.Control	LOC101845837	1.179110973166377
Hyp_T2h.Control	PC1B	-1.0120268024657975
Hyp_T2h.Control	LOC101861569	1.2359752666608592
Hyp_T2h.Control	LOC100533216	-2.6179679791091255
Hyp_T2h.Control	LOC101855633	-1.0042583220817034
Hyp_T2h.Control	LOC101855860	0.6732589199890923
Hyp_T2h.Control	LOC101859921	0.7741408133092108
Hyp_T2h.Control	LOC101855552	-1.738869279670067
Hyp_T2h.Control	LOC101853922	-1.9259480907714606
Hyp_T2h.Control	LOC101846342	-2.3549814388899244
Hyp_T2h.Control	LOC101852314	0.8781983021012493
Hyp_T2h.Control	LOC100533419	0.5244867578874387
Hyp_T2h.Control	LOC101855635	-0.6654679924861004
Hyp_T2h.Control	LOC101851259	-1.985952226546374
Hyp_T2h.Control	LOC101851572	0.994829941434313
Hyp_T2h.Control	LOC101845616	-4.355067401989685
Hyp_T2h.Control	LOC101847866	-1.0739442207904548
Hyp_T2h.Control	LOC101864681	-1.0496029956480493
Hyp_T2h.Control	LOC101862029	-1.1355582210997757
Hyp_T2h.Control	psc1	-0.8105116950803789
Hyp_T2h.Control	LOC101857558	-1.5532643718802905
Hyp_T2h.Control	LOC101853380	0.6083932487280198
Hyp_T2h.Control	LOC101854633	-1.3887819964273085
Hyp_T2h.Control	LOC101852090	-0.39213681339047607
Hyp_T2h.Control	LOC101853078	2.0611135513907968
Hyp_T2h.Control	LOC106011490	-1.1429746457969336
Hyp_T2h.Control	LOC101856258	1.2478644049271304
Hyp_T2h.Control	LOC101856886	-0.9354582338153149
Hyp_T2h.Control	LOC101863579	-0.6282955949371973
Hyp_T2h.Control	LOC101858178	-0.7920202068901667
Hyp_T2h.Control	LOC101847255	-1.1912859515096488
Hyp_T2h.Control	LOC101863101	-2.112562575415192
Hyp_T2h.Control	LOC101852403	0.6123647787035781
Hyp_T2h.Control	LOC101847818	-2.079148284485334
Hyp_T2h.Control	LOC101846811	-0.6645808750321756
Hyp_T2h.Control	LOC106011630	-3.1887517601692266
