contrast	gene	log2FoldChange
Hyp_T2h.Control	LOC118478065	-2.1240055204544888
Hyp_T2h.Control	LOC101855301	-1.4583345136764614
Hyp_T2h.Control	LOC101847694	0.7963825870337913
Hyp_T2h.Control	LOC118478385	-4.04786958425909
Hyp_T2h.Control	LOC101849504	0.5416477017422741
Hyp_T2h.Control	LOC101850446	0.8062917870841013
Hyp_T2h.Control	LOC101852128	-3.4717030213267264
Hyp_T2h.Control	LOC101852364	0.6657323662860398
Hyp_T2h.Control	LOC101853981	-1.1139470178620672
Hyp_T2h.Control	LOC101854761	0.6023287428018116
Hyp_T2h.Control	LOC101855452	0.6869959861902928
Hyp_T2h.Control	LOC101857153	-0.78571120664741545
Hyp_T2h.Control	LOC101855683	-2.917804822447301
Hyp_T2h.Control	LOC101858073	-1.8825666287991145
Hyp_T2h.Control	LOC100533353	-1.6752308348334368
Hyp_T2h.Control	LOC101856139	-1.7995945799325308
Hyp_T2h.Control	LOC101858530	-2.6455610318470155
Hyp_T2h.Control	LOC101856539	-1.3774229554333888
Hyp_T2h.Control	LOC101856763	0.8125666536900414
Hyp_T2h.Control	LOC101858747	0.5538126131829272
Hyp_T2h.Control	LOC101859282	0.64370612414317
Hyp_T2h.Control	LOC101859896	-5.03411531819235
Hyp_T2h.Control	LOC101860375	-1.8427242381990474
Hyp_T2h.Control	LOC106011455	-3.3079455268189863
Hyp_T2h.Control	LOC101859983	-1.206535504636244
Hyp_T2h.Control	LOC101861328	-1.3663432528263266
Hyp_T2h.Control	LOC101861549	-1.9774532447122883
Hyp_T2h.Control	LOC106012640	-3.230414601678865
Hyp_T2h.Control	LOC101861996	-1.484004399889086
Hyp_T2h.Control	LOC101864424	-3.53504755585029
Hyp_T2h.Control	LOC101864031	-3.3437788133744952
Hyp_T2h.Control	LOC101864654	-3.368040015011059
Hyp_T2h.Control	LOC101845135	-3.1716716460946692
Hyp_T2h.Control	LOC101846041	0.8147354784863541
Hyp_T2h.Control	LOC101847916	0.5080722170037244
Hyp_T2h.Control	LOC101848702	0.6749121840164409
Hyp_T2h.Control	LOC101850124	0.7398059680604052
Hyp_T2h.Control	LOC101850373	-0.7561552478990887
Hyp_T2h.Control	LOC118477874	-1.9659032816420452
Hyp_T2h.Control	LOC101851082	-0.7717294314435384
Hyp_T2h.Control	LOC101851538	0.5295126202232687
Hyp_T2h.Control	LOC101864344	-1.494230381516758
Hyp_T2h.Control	LOC101853653	-0.837979850129067
Hyp_T2h.Control	LOC101854125	0.48436992071650953
Hyp_T2h.Control	LOC101846389	0.5285830782547426
Hyp_T2h.Control	LOC101846614	-1.8335249629273307
Hyp_T2h.Control	LOC118477135	-3.3151814817349283
Hyp_T2h.Control	LOC101847539	-1.7881147653986724
Hyp_T2h.Control	LOC101848005	-2.0981099631926297
Hyp_T2h.Control	LOC101849256	-0.9320988538053635
Hyp_T2h.Control	LOC101848789	-3.1068130929842153
Hyp_T2h.Control	LOC101849803	0.39553389667784217
Hyp_T2h.Control	LOC106013019	-3.331728305200448
Hyp_T2h.Control	LOC101850213	0.34821580953594644
Hyp_T2h.Control	LOC106013075	-1.856546275048957
Hyp_T2h.Control	LOC101851540	0.5245296121835313
Hyp_T2h.Control	LOC101852365	-2.7740355440714644
Hyp_T2h.Control	LOC106014233	-4.313291855321216
Hyp_T2h.Control	LOC101853201	-1.6062280409035368
Hyp_T2h.Control	LOC101850448	-3.354124371035352
Hyp_T2h.Control	LOC101850684	-3.473164347897556
Hyp_T2h.Control	LOC101851378	-1.8882075082851189
Hyp_T2h.Control	LOC101851840	-1.8954508729294597
Hyp_T2h.Control	LOC101852287	-2.0083491862184344
Hyp_T2h.Control	LOC101852740	-0.7698969938416926
Hyp_T2h.Control	LOC101858314	0.6646374233149022
Hyp_T2h.Control	LOC101858750	0.40787693789379204
Hyp_T2h.Control	LOC101852969	0.930460644702922
Hyp_T2h.Control	LOC101859139	-1.567997321350895
Hyp_T2h.Control	LOC101859525	-3.492271906061923
Hyp_T2h.Control	LOC101859985	0.7110534576574786
Hyp_T2h.Control	LOC101860456	0.5210901345303082
Hyp_T2h.Control	LOC101853896	-4.111290920831143
Hyp_T2h.Control	LOC101861008	-1.3812877511746615
Hyp_T2h.Control	LOC101861245	0.6169415245481532
Hyp_T2h.Control	LOC101861474	-0.8093963749888066
Hyp_T2h.Control	LOC101862226	-1.7761539345501338
Hyp_T2h.Control	LOC101854373	-2.6533642561360535
Hyp_T2h.Control	LOC101854610	0.4741599077892621
Hyp_T2h.Control	LOC106014243	-4.856566041808183
Hyp_T2h.Control	LOC101863630	-4.462324442288771
Hyp_T2h.Control	LOC101845050	0.5892320169592697
Hyp_T2h.Control	LOC101845888	-1.8301637607401045
Hyp_T2h.Control	LOC101846470	0.6916090515271576
Hyp_T2h.Control	LOC101847776	0.6084006953518443
Hyp_T2h.Control	LOC106014199	-0.7472701644714701
Hyp_T2h.Control	LOC101855535	-1.1205297270177863
Hyp_T2h.Control	LOC118479209	-1.8451167852784727
Hyp_T2h.Control	LOC101855987	-2.016587694794988
Hyp_T2h.Control	LOC101856227	-0.7205502721944286
Hyp_T2h.Control	LOC101856701	-1.5800565614909734
Hyp_T2h.Control	LOC101856938	0.6929924391217812
Hyp_T2h.Control	LOC101857611	0.5685639072612131
Hyp_T2h.Control	LOC101850376	-1.7130453563586776
Hyp_T2h.Control	LOC106011065	-2.5962323413505843
Hyp_T2h.Control	LOC100533454	0.7294820017638001
Hyp_T2h.Control	LOC101858979	-1.395584816503739
Hyp_T2h.Control	LOC101851086	0.5916765511764701
Hyp_T2h.Control	LOC101851541	-2.261856541170842
Hyp_T2h.Control	LOC118477235	-2.6179429217295542
Hyp_T2h.Control	LOC101851777	-2.700300611310712
Hyp_T2h.Control	LOC101861246	-2.750569152424197
Hyp_T2h.Control	LOC101861475	-1.2346273955351477
Hyp_T2h.Control	LOC101852216	-3.741327973585203
Hyp_T2h.Control	LOC101852658	-2.523838496526932
Hyp_T2h.Control	LOC106011104	-2.833636105039617
Hyp_T2h.Control	LOC118477287	-5.089302607205461
Hyp_T2h.Control	LOC101863308	0.2928857658607351
Hyp_T2h.Control	LOC101853131	-3.0401080988874356
Hyp_T2h.Control	LOC101864184	-6.042148196568423
Hyp_T2h.Control	LOC101864426	-1.1229453616405407
Hyp_T2h.Control	LOC101854539	-1.5958732707401262
Hyp_T2h.Control	LOC101854989	-1.3871737654122491
Hyp_T2h.Control	TRNAT-UGU	-2.6144499996628947
Hyp_T2h.Control	LOC101846543	-1.731033459923246
Hyp_T2h.Control	LOC101847386	-2.2587520179718297
Hyp_T2h.Control	LOC101847778	0.9339846014735895
Hyp_T2h.Control	LOC101848250	0.5654695995555343
Hyp_T2h.Control	LOC101848478	-1.7108485120102135
Hyp_T2h.Control	TRNAA-AGC	-2.3522300987322535
Hyp_T2h.Control	TRNAQ-CUG	-2.6237908965139005
Hyp_T2h.Control	TRNAQ-UUG	-3.3795329352918992
Hyp_T2h.Control	LOC101856852	0.6066827360611223
Hyp_T2h.Control	LOC101857527	0.8148730946267851
Hyp_T2h.Control	LOC101859606	0.696893228629536
Hyp_T2h.Control	LOC101860291	-0.8293713569862615
Hyp_T2h.Control	LOC101861778	1.1191958691902426
Hyp_T2h.Control	LOC106011126	-2.682674429513192
Hyp_T2h.Control	LOC101863309	-1.715226732703601
Hyp_T2h.Control	LOC101861477	-3.3389259391771513
Hyp_T2h.Control	LOC101864033	0.656478505840039
Hyp_T2h.Control	LOC101846779	-0.5686106537126604
Hyp_T2h.Control	LOC101847003	-0.976262514250387
Hyp_T2h.Control	LOC101847387	0.4979188104643832
Hyp_T2h.Control	LOC101862384	-1.5276765756330857
Hyp_T2h.Control	LOC101847848	-1.0617983084010012
Hyp_T2h.Control	LOC106011222	-3.095023864176332
Hyp_T2h.Control	LOC118477111	-2.1037651586606474
Hyp_T2h.Control	LOC101849172	-1.9376637320396377
Hyp_T2h.Control	LOC101849421	-3.807987247620524
Hyp_T2h.Control	LOC106011157	-1.8189616237616857
Hyp_T2h.Control	LOC106011166	0.4805757519762555
Hyp_T2h.Control	LOC101863553	-2.396728267070326
Hyp_T2h.Control	LOC101863785	-4.196382244376543
Hyp_T2h.Control	LOC101850685	-0.7087742448076917
Hyp_T2h.Control	LOC101851685	-2.5427578653432237
Hyp_T2h.Control	LOC118477356	0.6690880332029704
Hyp_T2h.Control	LOC101855834	-3.7615535524438406
Hyp_T2h.Control	LOC101864493	-1.2929958478231198
Hyp_T2h.Control	LOC101856619	-1.8704335633305296
Hyp_T2h.Control	LOC101844963	-2.755852557838103
Hyp_T2h.Control	LOC101845435	-4.09472230798781
Hyp_T2h.Control	LOC101858316	-2.7997249777628244
Hyp_T2h.Control	LOC101845890	0.5486207298145681
Hyp_T2h.Control	LOC100533392	0.7060771872619672
Hyp_T2h.Control	LOC101859287	-1.3948554068028705
Hyp_T2h.Control	LOC106011300	-4.405467776164927
Hyp_T2h.Control	LOC106011302	-3.0030656244851928
Hyp_T2h.Control	LOC101847850	-4.245796456255947
Hyp_T2h.Control	LOC101848084	0.47104848003202315
Hyp_T2h.Control	LOC101860458	-2.641519129192362
Hyp_T2h.Control	LOC106011305	-3.1926462105711866
Hyp_T2h.Control	LOC118477399	-0.9835605261514035
Hyp_T2h.Control	LOC101850764	0.5055085543505413
Hyp_T2h.Control	LOC101851543	-0.5148166938118156
Hyp_T2h.Control	LOC101853360	0.45760487928198895
Hyp_T2h.Control	LOC101861857	-3.729523832166919
Hyp_T2h.Control	LOC106011276	-2.594119758036037
Hyp_T2h.Control	LOC101862313	-1.8255362757875537
Hyp_T2h.Control	LOC101863472	-0.4409521109016665
Hyp_T2h.Control	LOC101864186	-3.6991529025484127
Hyp_T2h.Control	LOC118477147	-2.1609213786331
Hyp_T2h.Control	LOC101857295	-0.8843416563279323
Hyp_T2h.Control	LOC101845968	0.23605759839344323
Hyp_T2h.Control	LOC101848480	-1.2735228343191567
Hyp_T2h.Control	LOC101849332	0.9695056899388641
Hyp_T2h.Control	LOC101854990	1.2850658958924273
Hyp_T2h.Control	LOC101849808	0.4717927413742861
Hyp_T2h.Control	LOC101855688	-3.243065923226934
Hyp_T2h.Control	LOC101852808	0.9589076288041841
Hyp_T2h.Control	LOC101853204	0.569570211009393
Hyp_T2h.Control	LOC101856769	-1.130101541955889
Hyp_T2h.Control	LOC101857157	-1.89728042522646
Hyp_T2h.Control	LOC101845285	0.5093493849457116
Hyp_T2h.Control	LOC101857529	-2.0262146175354983
Hyp_T2h.Control	LOC101849015	0.5830575019731978
Hyp_T2h.Control	LOC101857758	-1.6296390782353116
Hyp_T2h.Control	LOC101849974	0.5099918860247091
Hyp_T2h.Control	LOC101852134	-1.8494269117708362
Hyp_T2h.Control	LOC101858453	-1.7591042597313107
Hyp_T2h.Control	LOC101858904	-2.0847476320899085
Hyp_T2h.Control	LOC101860460	0.5434911280376945
Hyp_T2h.Control	LOC101861087	0.8551992620284751
Hyp_T2h.Control	LOC101861330	-1.3458266717117178
Hyp_T2h.Control	LOC101852136	-3.9465482996056265
Hyp_T2h.Control	LOC101852371	-2.507550013967915
Hyp_T2h.Control	LOC101861697	-0.8331953810502186
Hyp_T2h.Control	LOC101852810	-3.2919284368942767
Hyp_T2h.Control	LOC101853046	-2.283134538738155
Hyp_T2h.Control	LOC101853509	-1.5712186378748418
Hyp_T2h.Control	LOC101853746	0.43467738351274116
Hyp_T2h.Control	LOC101863153	-2.2334892854013138
Hyp_T2h.Control	LOC101863632	0.7309797916866835
Hyp_T2h.Control	LOC101864187	0.6108197121617497
Hyp_T2h.Control	LOC101864428	0.9177428939432487
Hyp_T2h.Control	LOC101845139	-1.0849818038336396
Hyp_T2h.Control	LOC101855385	-1.1493294587193823
Hyp_T2h.Control	LOC101855837	-2.256366501041202
Hyp_T2h.Control	LOC101847919	-3.8253548493333325
Hyp_T2h.Control	LOC101856065	-0.8316660870005611
Hyp_T2h.Control	LOC101856303	-4.145438316362158
Hyp_T2h.Control	LOC101856994	-2.5741396251600936
Hyp_T2h.Control	LOC101849738	-2.4006367734872387
Hyp_T2h.Control	LOC101850216	-1.1998804940705958
Hyp_T2h.Control	LOC101862003	1.2789558351096728
Hyp_T2h.Control	LOC101862464	0.3004998342692767
Hyp_T2h.Control	LOC101862986	-1.4666894284852279
Hyp_T2h.Control	LOC101863223	-0.8716831499505218
Hyp_T2h.Control	LOC101863473	0.4102540974371111
Hyp_T2h.Control	LOC101864349	-1.0657409970730318
Hyp_T2h.Control	LOC101854217	-2.118313760045017
Hyp_T2h.Control	LOC101845812	-2.387110074316929
Hyp_T2h.Control	LOC101846044	0.7798970647717289
Hyp_T2h.Control	LOC101855387	-3.576006740799927
Hyp_T2h.Control	LOC101846783	-1.9678594404325152
Hyp_T2h.Control	LOC101855611	-1.5230970118638596
Hyp_T2h.Control	LOC101848010	-3.0114509289465543
Hyp_T2h.Control	LOC101848708	-2.666705242911697
Hyp_T2h.Control	LOC101849576	-0.891815524641384
Hyp_T2h.Control	LOC101849336	0.5262935252031624
Hyp_T2h.Control	LOC101857218	0.6827231470282287
Hyp_T2h.Control	LOC106011730	0.8156202998629974
Hyp_T2h.Control	LOC106011731	-3.298354152339432
Hyp_T2h.Control	LOC101858376	-4.169941617433158
Hyp_T2h.Control	LOC101852662	-2.097220601022133
Hyp_T2h.Control	LOC101853274	1.368045018216112
Hyp_T2h.Control	LOC101860462	0.4504760863374437
Hyp_T2h.Control	LOC101859213	-1.732733710776266
Hyp_T2h.Control	LOC101860861	0.8712057392918181
Hyp_T2h.Control	LOC101861478	-1.8436527244618932
Hyp_T2h.Control	LOC101862232	3.377001407323097
Hyp_T2h.Control	LOC101862845	0.3709230928409674
Hyp_T2h.Control	LOC101864662	-2.9237129322026245
Hyp_T2h.Control	LOC101860377	-1.791041709058498
Hyp_T2h.Control	LOC118477747	-1.7962964254667462
Hyp_T2h.Control	LOC101845372	-2.9879804728122794
Hyp_T2h.Control	LOC118477738	-1.2117947812757337
Hyp_T2h.Control	LOC101847462	0.8104565174110732
Hyp_T2h.Control	LOC101848329	-4.513157408546728
Hyp_T2h.Control	LOC101849977	-3.5760384567916295
Hyp_T2h.Control	LOC101852137	0.7782929873822445
Hyp_T2h.Control	LOC101853596	-0.9110396174197407
Hyp_T2h.Control	LOC101855069	-0.3709622057524771
Hyp_T2h.Control	LOC101856548	0.746593185056496
Hyp_T2h.Control	LOC101862004	0.449059354755188
Hyp_T2h.Control	LOC101856941	0.7311009812792496
Hyp_T2h.Control	LOC101862233	-3.1240860268888047
Hyp_T2h.Control	LOC101862696	0.25936182310286
Hyp_T2h.Control	LOC101863708	0.5259209187662025
Hyp_T2h.Control	LOC101864431	0.4308584325774211
Hyp_T2h.Control	LOC101845895	0.3704169038391264
Hyp_T2h.Control	LOC101858454	-2.2195053007714836
Hyp_T2h.Control	LOC101847392	-0.7659746825263626
Hyp_T2h.Control	LOC101849018	0.9059574149940799
Hyp_T2h.Control	LOC106010965	-3.040599062092683
Hyp_T2h.Control	LOC101859371	-3.261311674343386
Hyp_T2h.Control	LOC101849740	-1.6494595945989021
Hyp_T2h.Control	LOC101859612	-2.935271510484339
Hyp_T2h.Control	LOC101849979	0.42805797954263736
Hyp_T2h.Control	LOC101850922	-1.5347733685501754
Hyp_T2h.Control	LOC106011984	-1.4811755584961581
Hyp_T2h.Control	TRNAK-CUU	-3.0302652965717436
Hyp_T2h.Control	LOC101851841	-3.8000644624834234
Hyp_T2h.Control	LOC101852894	-3.5880753761511297
Hyp_T2h.Control	LOC101853206	0.5376782592459988
Hyp_T2h.Control	LOC101853898	0.7715113720456523
Hyp_T2h.Control	LOC101855388	0.3871184654123325
Hyp_T2h.Control	LOC101855839	-0.7793650777615619
Hyp_T2h.Control	LOC101862386	0.47882538241034733
Hyp_T2h.Control	LOC101856067	0.8650758990331515
Hyp_T2h.Control	LOC101857457	-1.5691792448003
Hyp_T2h.Control	LOC101855537	-4.1156763446306375
Hyp_T2h.Control	LOC101855763	-2.826444047125248
Hyp_T2h.Control	LOC101856231	-3.9278901363166474
Hyp_T2h.Control	LOC106012057	-3.030345735120275
Hyp_T2h.Control	LOC101864112	0.5867845999670347
Hyp_T2h.Control	LOC101864495	0.5497854194784674
Hyp_T2h.Control	LOC101845206	0.37905692625172976
Hyp_T2h.Control	LOC101857159	-1.6671083507194036
Hyp_T2h.Control	LOC101847078	0.30623887303987857
Hyp_T2h.Control	LOC101847696	-1.6820944682085255
Hyp_T2h.Control	LOC101857615	-2.5440780892524035
Hyp_T2h.Control	LOC101858319	-2.0460099605541586
Hyp_T2h.Control	LOC101848709	1.3258888059070448
Hyp_T2h.Control	LOC101850296	-0.47725558567353626
Hyp_T2h.Control	LOC101852291	0.4868739754442029
Hyp_T2h.Control	LOC101853659	-1.5040593984266193
Hyp_T2h.Control	LOC118477857	0.710830859504533
Hyp_T2h.Control	LOC101861554	0.49979368675441915
Hyp_T2h.Control	LOC101854461	-0.9400437039481725
Hyp_T2h.Control	LOC101854685	0.4621268724408069
Hyp_T2h.Control	LOC106012048	-2.0851771810590334
Hyp_T2h.Control	LOC101854220	-2.80658262911378
Hyp_T2h.Control	LOC101862917	-1.0441729088536784
Hyp_T2h.Control	LOC101855158	-1.2709490479229935
Hyp_T2h.Control	LOC101847627	0.6730986144354816
Hyp_T2h.Control	LOC101848484	-1.1783966914099844
Hyp_T2h.Control	LOC101848934	2.2648955968511286
Hyp_T2h.Control	LOC101855841	-0.9148363821817997
Hyp_T2h.Control	LOC101849261	-2.135337735008871
Hyp_T2h.Control	LOC106012167	-2.4950204631684616
Hyp_T2h.Control	LOC101856070	-2.22983677827632
Hyp_T2h.Control	LOC101856551	-3.504626291907212
Hyp_T2h.Control	LOC101857220	-1.6863742812267524
Hyp_T2h.Control	LOC101851092	0.33281974130936814
Hyp_T2h.Control	LOC106012139	-2.889916412901306
Hyp_T2h.Control	LOC101852065	0.5639944707388851
Hyp_T2h.Control	LOC101860465	-2.4789016958281476
Hyp_T2h.Control	LOC101860708	-2.4082172734511036
Hyp_T2h.Control	LOC100533244	0.5237033519611471
Hyp_T2h.Control	LOC100533272	-1.078477029653864
Hyp_T2h.Control	LOC101862467	-2.227634339922077
Hyp_T2h.Control	LOC101863154	-2.1489900200014365
Hyp_T2h.Control	LOC101864496	0.47600487260571034
Hyp_T2h.Control	LOC101844966	1.0963784772521492
Hyp_T2h.Control	LOC101845207	-0.7831866925309453
Hyp_T2h.Control	LOC101859615	-4.290859608173368
Hyp_T2h.Control	LOC101847784	-2.444814381599706
Hyp_T2h.Control	LOC101859834	-1.4880906668455407
Hyp_T2h.Control	LOC101849741	0.4911063516334581
Hyp_T2h.Control	LOC101849981	0.9856325296694558
Hyp_T2h.Control	LOC101851094	0.3873776436456099
Hyp_T2h.Control	LOC101860545	-2.041756191453563
Hyp_T2h.Control	LOC101852067	-0.8484139944580542
Hyp_T2h.Control	LOC101852294	0.9977815429713879
Hyp_T2h.Control	LOC118477951	-1.8987011792777904
Hyp_T2h.Control	LOC101853661	-0.615828837412213
Hyp_T2h.Control	LOC101855227	-0.7926161564832378
Hyp_T2h.Control	TRNAD-GUC	-1.7505066319950116
Hyp_T2h.Control	LOC101856232	0.4123981532201214
Hyp_T2h.Control	LOC101857161	0.5227560919808669
Hyp_T2h.Control	LOC101863071	-0.96180092059466
Hyp_T2h.Control	LOC118478018	-3.1953143603262166
