contrast	gene
Hyp_T2h.Control	LOC101847001
Hyp_T2h.Control	LOC101852128
Hyp_T2h.Control	LOC101853981
Hyp_T2h.Control	LOC101856763
Hyp_T2h.Control	LOC101859745
Hyp_T2h.Control	LOC101860211
Hyp_T2h.Control	LOC101860615
Hyp_T2h.Control	LOC101861244
Hyp_T2h.Control	LOC101862382
Hyp_T2h.Control	LOC101845657
Hyp_T2h.Control	LOC101862459
Hyp_T2h.Control	LOC101848154
Hyp_T2h.Control	LOC101848702
Hyp_T2h.Control	LOC101850373
Hyp_T2h.Control	LOC101845508
Hyp_T2h.Control	LOC101849013
Hyp_T2h.Control	LOC101851776
Hyp_T2h.Control	LOC101853894
Hyp_T2h.Control	LOC101857373
Hyp_T2h.Control	LOC101858314
Hyp_T2h.Control	LOC101852969
Hyp_T2h.Control	LOC101849014
Hyp_T2h.Control	LOC101861855
Hyp_T2h.Control	LOC101852216
Hyp_T2h.Control	LOC101846543
Hyp_T2h.Control	LOC101848250
Hyp_T2h.Control	LOC101856852
Hyp_T2h.Control	LOC101849171
Hyp_T2h.Control	LOC101849172
Hyp_T2h.Control	LOC101845890
Hyp_T2h.Control	LOC101859607
Hyp_T2h.Control	LOC101859986
Hyp_T2h.Control	LOC101851543
Hyp_T2h.Control	LOC101852288
Hyp_T2h.Control	LOC101854837
Hyp_T2h.Control	LOC101856141
Hyp_T2h.Control	LOC101854990
Hyp_T2h.Control	LOC101855225
Hyp_T2h.Control	LOC101852808
Hyp_T2h.Control	LOC101863942
Hyp_T2h.Control	LOC101864428
Hyp_T2h.Control	LOC101850216
Hyp_T2h.Control	LOC101853986
Hyp_T2h.Control	LOC101862003
Hyp_T2h.Control	LOC101863223
Hyp_T2h.Control	LOC101845286
Hyp_T2h.Control	LOC101845589
Hyp_T2h.Control	LOC101849576
Hyp_T2h.Control	LOC101851994
Hyp_T2h.Control	LOC101859213
Hyp_T2h.Control	LOC101860861
Hyp_T2h.Control	LOC101863788
Hyp_T2h.Control	LOC101846703
Hyp_T2h.Control	LOC101847462
Hyp_T2h.Control	LOC101852137
Hyp_T2h.Control	LOC101856548
Hyp_T2h.Control	LOC101857847
Hyp_T2h.Control	LOC101847392
Hyp_T2h.Control	LOC101849018
Hyp_T2h.Control	LOC101853898
Hyp_T2h.Control	LOC118477810
Hyp_T2h.Control	LOC101856067
Hyp_T2h.Control	LOC101856773
Hyp_T2h.Control	LOC101863859
Hyp_T2h.Control	LOC101847696
Hyp_T2h.Control	LOC118477858
Hyp_T2h.Control	LOC101854917
Hyp_T2h.Control	LOC101847627
Hyp_T2h.Control	LOC101848934
Hyp_T2h.Control	LOC101860218
Hyp_T2h.Control	LOC101844966
Hyp_T2h.Control	LOC101846324
Hyp_T2h.Control	LOC101847784
Hyp_T2h.Control	LOC101854993
Hyp_T2h.Control	LOC106012362
Hyp_T2h.Control	LOC101854132
Hyp_T2h.Control	LOC106012355
Hyp_T2h.Control	LOC101858229
Hyp_T2h.Control	LOC101861094
Hyp_T2h.Control	LOC101849512
Hyp_T2h.Control	LOC100533439
Hyp_T2h.Control	LOC101861096
Hyp_T2h.Control	LOC100533367
Hyp_T2h.Control	LOC106012541
Hyp_T2h.Control	LOC101850223
Hyp_T2h.Control	LOC101857532
Hyp_T2h.Control	LOC101858540
Hyp_T2h.Control	LOC118478249
Hyp_T2h.Control	LOC101847394
Hyp_T2h.Control	LOC101848163
