contrast	gene
Hyp_T2h.Control	LOC118478065
Hyp_T2h.Control	LOC101855301
Hyp_T2h.Control	LOC101847694
Hyp_T2h.Control	LOC118478385
Hyp_T2h.Control	LOC101849504
Hyp_T2h.Control	LOC101850446
Hyp_T2h.Control	LOC101852128
Hyp_T2h.Control	LOC101852364
Hyp_T2h.Control	LOC101853981
Hyp_T2h.Control	LOC101854761
Hyp_T2h.Control	LOC101855452
Hyp_T2h.Control	LOC101857153
Hyp_T2h.Control	LOC101855683
Hyp_T2h.Control	LOC101858073
Hyp_T2h.Control	LOC100533353
Hyp_T2h.Control	LOC101856139
Hyp_T2h.Control	LOC101858530
Hyp_T2h.Control	LOC101856539
Hyp_T2h.Control	LOC101856763
Hyp_T2h.Control	LOC101858747
Hyp_T2h.Control	LOC101859282
Hyp_T2h.Control	LOC101859896
Hyp_T2h.Control	LOC101860375
Hyp_T2h.Control	LOC106011455
Hyp_T2h.Control	LOC101859983
Hyp_T2h.Control	LOC101861328
Hyp_T2h.Control	LOC101861549
Hyp_T2h.Control	LOC106012640
Hyp_T2h.Control	LOC101861996
Hyp_T2h.Control	LOC101864424
Hyp_T2h.Control	LOC101864031
Hyp_T2h.Control	LOC101864654
Hyp_T2h.Control	LOC101845135
Hyp_T2h.Control	LOC101846041
Hyp_T2h.Control	LOC101847916
Hyp_T2h.Control	LOC101848702
Hyp_T2h.Control	LOC101850124
Hyp_T2h.Control	LOC101850373
Hyp_T2h.Control	LOC118477874
Hyp_T2h.Control	LOC101851082
Hyp_T2h.Control	LOC101851538
Hyp_T2h.Control	LOC101864344
Hyp_T2h.Control	LOC101853653
Hyp_T2h.Control	LOC101854125
Hyp_T2h.Control	LOC101846389
Hyp_T2h.Control	LOC101846614
Hyp_T2h.Control	LOC118477135
Hyp_T2h.Control	LOC101847539
Hyp_T2h.Control	LOC101848005
Hyp_T2h.Control	LOC101849256
Hyp_T2h.Control	LOC101848789
Hyp_T2h.Control	LOC101849803
Hyp_T2h.Control	LOC106013019
Hyp_T2h.Control	LOC101850213
Hyp_T2h.Control	LOC106013075
Hyp_T2h.Control	LOC101851540
Hyp_T2h.Control	LOC101852365
Hyp_T2h.Control	LOC106014233
Hyp_T2h.Control	LOC101853201
Hyp_T2h.Control	LOC101850448
Hyp_T2h.Control	LOC101850684
Hyp_T2h.Control	LOC101851378
Hyp_T2h.Control	LOC101851840
Hyp_T2h.Control	LOC101852287
Hyp_T2h.Control	LOC101852740
Hyp_T2h.Control	LOC101858314
Hyp_T2h.Control	LOC101858750
Hyp_T2h.Control	LOC101852969
Hyp_T2h.Control	LOC101859139
Hyp_T2h.Control	LOC101859525
Hyp_T2h.Control	LOC101859985
Hyp_T2h.Control	LOC101860456
Hyp_T2h.Control	LOC101853896
Hyp_T2h.Control	LOC101861008
Hyp_T2h.Control	LOC101861245
Hyp_T2h.Control	LOC101861474
Hyp_T2h.Control	LOC101862226
Hyp_T2h.Control	LOC101854373
Hyp_T2h.Control	LOC101854610
Hyp_T2h.Control	LOC106014243
Hyp_T2h.Control	LOC101863630
Hyp_T2h.Control	LOC101845050
Hyp_T2h.Control	LOC101845888
Hyp_T2h.Control	LOC101846470
Hyp_T2h.Control	LOC101847776
Hyp_T2h.Control	LOC106014199
Hyp_T2h.Control	LOC101855535
Hyp_T2h.Control	LOC118479209
Hyp_T2h.Control	LOC101855987
Hyp_T2h.Control	LOC101856227
Hyp_T2h.Control	LOC101856701
Hyp_T2h.Control	LOC101856938
Hyp_T2h.Control	LOC101857611
Hyp_T2h.Control	LOC101850376
Hyp_T2h.Control	LOC106011065
Hyp_T2h.Control	LOC100533454
Hyp_T2h.Control	LOC101858979
Hyp_T2h.Control	LOC101851086
Hyp_T2h.Control	LOC101851541
Hyp_T2h.Control	LOC118477235
Hyp_T2h.Control	LOC101851777
Hyp_T2h.Control	LOC101861246
Hyp_T2h.Control	LOC101861475
Hyp_T2h.Control	LOC101852216
Hyp_T2h.Control	LOC101852658
Hyp_T2h.Control	LOC106011104
