contrast	gene	log2FoldChange
Hyp_T2h.Control	LOC118478065	-1.285281727789713
Hyp_T2h.Control	LOC101855301	-1.876510956195219
Hyp_T2h.Control	LOC118478385	-3.505785788734897
Hyp_T2h.Control	LOC101850682	0.49695030522134304
Hyp_T2h.Control	LOC101852128	-1.0073605709428652
Hyp_T2h.Control	LOC101855683	-1.4583129014245841
Hyp_T2h.Control	LOC100533353	-0.733433760262744
Hyp_T2h.Control	LOC101856139	-1.2924829888632205
Hyp_T2h.Control	LOC101856763	0.3828345374704154
Hyp_T2h.Control	LOC101858747	0.45360971991944815
Hyp_T2h.Control	LOC101859282	0.4402812309458078
Hyp_T2h.Control	LOC101859745	0.7092344950390299
Hyp_T2h.Control	LOC101861328	-0.8828493913322147
Hyp_T2h.Control	LOC101861549	-0.8203397769797467
Hyp_T2h.Control	LOC101862618	-1.1672366890230412
Hyp_T2h.Control	LOC101864424	-2.933580664999414
Hyp_T2h.Control	LOC101864031	-2.014233616779463
Hyp_T2h.Control	LOC101864654	-2.27037460315273
Hyp_T2h.Control	LOC101845135	-2.7685244078244264
Hyp_T2h.Control	LOC101845657	-1.8084369430059186
Hyp_T2h.Control	LOC101862459	-1.8892827113118682
Hyp_T2h.Control	LOC101850373	-0.9400029444836745
Hyp_T2h.Control	LOC101864344	-1.3526625381485162
Hyp_T2h.Control	LOC101852215	-0.5732099273374183
Hyp_T2h.Control	LOC101846389	0.4163613132134656
Hyp_T2h.Control	LOC101850213	0.6671583014410672
Hyp_T2h.Control	LOC106013075	-1.390382884564814
Hyp_T2h.Control	LOC101852365	-1.1043986518192976
Hyp_T2h.Control	LOC101852582	-2.1433146110742918
Hyp_T2h.Control	LOC106014233	-1.6806361968599686
Hyp_T2h.Control	LOC101852806	-0.9031147614371035
Hyp_T2h.Control	LOC101853201	-1.1362178601159398
Hyp_T2h.Control	LOC101850684	-2.888450409876525
Hyp_T2h.Control	LOC101851378	-2.444460893454277
Hyp_T2h.Control	LOC101851840	-0.930062221938416
Hyp_T2h.Control	LOC101857373	0.8321898054969276
Hyp_T2h.Control	LOC101858314	0.2667435904583982
Hyp_T2h.Control	LOC101860456	0.42764774641546816
Hyp_T2h.Control	LOC101853896	-3.095680367221009
Hyp_T2h.Control	LOC101861245	0.49696093039957023
Hyp_T2h.Control	LOC101861474	-0.6867546121694692
Hyp_T2h.Control	LOC101856938	0.4306468584609947
Hyp_T2h.Control	LOC101850126	-0.945142919563871
Hyp_T2h.Control	LOC101857611	0.2952791392949452
Hyp_T2h.Control	LOC101850376	-2.1327513282607105
Hyp_T2h.Control	LOC101858532	0.3740193245320554
Hyp_T2h.Control	LOC101858979	-1.0067079342103213
Hyp_T2h.Control	LOC101851086	0.40214948405431317
Hyp_T2h.Control	LOC101851541	-0.8727009102863739
Hyp_T2h.Control	LOC118477235	-2.448157729843986
Hyp_T2h.Control	LOC101861246	-1.6569950980797072
Hyp_T2h.Control	LOC101852658	-0.8164620322317371
Hyp_T2h.Control	LOC106011104	-3.6553415653821673
Hyp_T2h.Control	LOC118477287	-4.289182218513128
Hyp_T2h.Control	LOC101863308	-0.2663586324306496
Hyp_T2h.Control	LOC101853131	-1.734200746907445
Hyp_T2h.Control	LOC101864184	-3.3793806856136093
Hyp_T2h.Control	LOC101854989	-1.1177599924095212
Hyp_T2h.Control	TRNAT-UGU	-2.5213761475188856
Hyp_T2h.Control	LOC101845587	0.2991867648014359
Hyp_T2h.Control	LOC101847386	-1.5461844407617678
Hyp_T2h.Control	LOC101848478	-1.2992645208994489
Hyp_T2h.Control	TRNAQ-UUG	-1.6385675668039794
Hyp_T2h.Control	LOC101856852	0.3910759624439662
Hyp_T2h.Control	LOC101848704	0.6052173348371502
Hyp_T2h.Control	LOC101859606	0.348575146499625
Hyp_T2h.Control	LOC101860539	-1.7853810227451303
Hyp_T2h.Control	LOC101861403	-0.7880174420718217
Hyp_T2h.Control	LOC101861010	0.5320833070691037
Hyp_T2h.Control	LOC101863309	-1.2291133443737257
Hyp_T2h.Control	LOC101861477	-2.1499141686284853
Hyp_T2h.Control	LOC101847003	-0.8792490392893859
Hyp_T2h.Control	LOC101848252	1.1296637471339577
Hyp_T2h.Control	LOC106011222	-2.45402653191461
Hyp_T2h.Control	LOC118477111	-1.079059736609806
Hyp_T2h.Control	LOC106011166	0.2103102524620396
Hyp_T2h.Control	LOC101863785	-4.783968500446599
Hyp_T2h.Control	LOC101851685	-1.4646521230442384
Hyp_T2h.Control	LOC101852367	-0.6092284084817199
Hyp_T2h.Control	LOC101855834	-3.193390703797055
Hyp_T2h.Control	LOC101845435	-1.0434828462647332
Hyp_T2h.Control	LOC101845659	-1.9335660221278783
Hyp_T2h.Control	LOC101858316	-3.165874272986154
Hyp_T2h.Control	LOC101859986	-1.4046618944938962
Hyp_T2h.Control	LOC106011300	-3.1898075890702904
Hyp_T2h.Control	LOC101860458	-1.8542787924156698
Hyp_T2h.Control	LOC106011305	-2.0613086074851648
Hyp_T2h.Control	LOC101860705	-0.5578821983010753
Hyp_T2h.Control	LOC101850764	0.35913432003146667
Hyp_T2h.Control	LOC101851543	-0.41150254784807516
Hyp_T2h.Control	LOC101853360	0.33374870813050855
Hyp_T2h.Control	LOC101854298	0.24971408447559681
