contrast	gene	log2FoldChange
60.Control.71.Control	LOC101859745	3.310194216682352
60.Control.71.Control	LOC101860615	2.003640886868392
60.Control.71.Control	LOC101851538	1.0150069292627355
60.Control.71.Control	LOC101852365	-2.890801766657548
60.Control.71.Control	LOC101861245	0.5541568680352499
60.Control.71.Control	LOC101864571	-1.3792511180573594
60.Control.71.Control	LOC101846470	0.96705254494226
60.Control.71.Control	LOC101856227	1.7010652910555288
60.Control.71.Control	LOC101857155	0.7395684734062317
60.Control.71.Control	LOC101862078	-0.745751889791823
60.Control.71.Control	LOC101863308	-0.651296354657306
60.Control.71.Control	LOC101854298	0.37389274897325836
60.Control.71.Control	LOC101855225	0.4974794322979855
60.Control.71.Control	LOC101855915	-1.1772540514496583
60.Control.71.Control	LOC101861920	-1.7702147690188348
60.Control.71.Control	LOC100533336	1.2174229672112649
60.Control.71.Control	LOC101846547	0.7992951242300437
60.Control.71.Control	LOC101860462	0.9978076588373068
60.Control.71.Control	LOC101862082	-1.375199159285248
60.Control.71.Control	LOC101856309	0.6150215808187484
60.Control.71.Control	LOC101851092	0.5711484751358361
60.Control.71.Control	LOC101853210	-4.615330566440592
60.Control.71.Control	LOC101864497	2.1198639270053565
60.Control.71.Control	LOC101852530	-1.2978803467973032
60.Control.71.Control	LOC101861484	0.7083841821057398
60.Control.71.Control	LOC101852748	-1.1892429696205018
60.Control.71.Control	LOC101848489	-0.71973657988116
60.Control.71.Control	LOC101861258	-1.3099494488266847
60.Control.71.Control	LOC101864196	0.6322153777999626
60.Control.71.Control	LOC101845379	0.827665481102081
60.Control.71.Control	LOC101854140	0.6260825245703661
60.Control.71.Control	LOC101855846	0.6457658653079947
60.Control.71.Control	LOC101863236	0.6257885373370167
60.Control.71.Control	LOC101864670	-1.6085890327565129
60.Control.71.Control	LOC101854546	1.0032706835773602
60.Control.71.Control	LOC101849272	-3.008602684466855
60.Control.71.Control	LOC101854142	0.9769029757155584
60.Control.71.Control	LOC100533260	0.7145610611533512
60.Control.71.Control	LOC101846114	0.6486041997084787
60.Control.71.Control	LOC101845985	1.1714124907521342
60.Control.71.Control	LOC101846193	-2.6537640387375037
60.Control.71.Control	LOC101860873	-2.6792623285211694
60.Control.71.Control	LOC101847798	-1.3793226996452417
60.Control.71.Control	LOC101863723	-1.329645193110997
60.Control.71.Control	LOC101848269	0.9571083075851045
60.Control.71.Control	LOC101852386	0.6885118174390669
60.Control.71.Control	LOC101858329	0.5168603552433195
60.Control.71.Control	LOC101859550	-0.8299947414356618
60.Control.71.Control	LOC101846269	0.658454714638674
60.Control.71.Control	LOC101862396	-0.6100182413125074
60.Control.71.Control	LOC101849907	0.5433314547802237
60.Control.71.Control	GnRH	1.8237607399849993
60.Control.71.Control	LOC101845755	0.6913864086036442
60.Control.71.Control	LOC106011061	-1.1574667594437311
60.Control.71.Control	LOC101853766	2.639944756568229
60.Control.71.Control	LOC101858090	0.6918153180236277
60.Control.71.Control	LOC101848570	0.9756867060038646
60.Control.71.Control	LOC101853767	-0.7886345060007135
60.Control.71.Control	LOC101854312	-0.7590812767331575
60.Control.71.Control	LOC101864049	0.7083599808242167
60.Control.71.Control	LOC101846060	-0.8342467441228835
60.Control.71.Control	LOC101850146	0.548061332117325
60.Control.71.Control	LOC101848729	0.8099054223216856
60.Control.71.Control	LOC101852307	-0.8295796235386543
60.Control.71.Control	LOC101853917	0.674160392968952
60.Control.71.Control	LOC101858608	1.803409184293192
60.Control.71.Control	LOC101849440	0.6063690738624952
60.Control.71.Control	LOC101853446	0.7050378272062292
60.Control.71.Control	LOC101854239	0.655766327286725
60.Control.71.Control	LOC101861104	-2.7982033465596956
60.Control.71.Control	LOC101861343	1.1408432471963175
60.Control.71.Control	LOC101862170	1.0661666986755822
60.Control.71.Control	LOC101850066	0.8923228193700541
60.Control.71.Control	LOC106011146	-2.5286957404749644
60.Control.71.Control	LOC101857777	-1.6253808511147123
60.Control.71.Control	LOC101862568	0.9364939541421495
60.Control.71.Control	LOC101845529	2.3214724633223502
60.Control.71.Control	LOC101851480	0.5656812873368494
60.Control.71.Control	LOC101847024	0.5768865510782724
60.Control.71.Control	LOC101854397	0.9446583679246947
60.Control.71.Control	LOC101853373	1.0660695568614105
60.Control.71.Control	LOC118477345	0.7448942043695886
60.Control.71.Control	LOC101845076	1.143228665810832
60.Control.71.Control	LOC101846121	-2.6073268364972075
60.Control.71.Control	LOC101845454	0.440691139637205
60.Control.71.Control	LOC101856722	1.0434025543873908
60.Control.71.Control	LOC101863968	0.8732282896650208
60.Control.71.Control	LOC101854242	-1.637568675845385
60.Control.71.Control	LOC101860557	0.7031692596635336
60.Control.71.Control	LOC101864675	0.8738445460732946
60.Control.71.Control	LOC101861650	0.5674546414923091
60.Control.71.Control	LOC101863969	0.9248856121765958
60.Control.71.Control	LOC118477394	2.9388654630422426
60.Control.71.Control	LOC101860083	-1.0666548891750616
60.Control.71.Control	LOC101845993	3.5558547049709115
60.Control.71.Control	LOC101861109	0.6531077669606933
60.Control.71.Control	LOC101861348	0.6144555515118308
60.Control.71.Control	LOC101847027	0.7628188172923683
60.Control.71.Control	LOC106011284	1.2462102234715668
60.Control.71.Control	LOC101863886	1.1916254834055247
60.Control.71.Control	LOC101855006	0.5903343255302522
60.Control.71.Control	LOC101852396	0.6330078943907775
60.Control.71.Control	LOC101852612	0.7407858984589585
60.Control.71.Control	LOC101848649	-1.8295234265958922
60.Control.71.Control	LOC101859089	-1.4864472786156113
60.Control.71.Control	LOC101846871	-1.11018479858542
60.Control.71.Control	LOC101862861	0.71523291969196
60.Control.71.Control	LOC101863573	-1.6711871367719267
60.Control.71.Control	LOC101860318	0.6074388207312353
60.Control.71.Control	LOC101852464	3.151005289988089
60.Control.71.Control	LOC101855009	-0.71167780320409
