contrast	gene	log2FoldChange
60.Control.71.Control	LOC101855532	-0.6776240169233083
60.Control.71.Control	LOC101852128	-3.344344498312423
60.Control.71.Control	LOC101854370	-0.9326175591741934
60.Control.71.Control	LOC101855910	0.5478978602570718
60.Control.71.Control	LOC100533353	-1.3628634605692505
60.Control.71.Control	LOC101859745	3.037456041490365
60.Control.71.Control	LOC101860615	2.5884867982796473
60.Control.71.Control	LOC101845657	2.832185391500681
60.Control.71.Control	LOC101845508	-1.332195982061605
60.Control.71.Control	LOC101852737	0.5621642908782344
60.Control.71.Control	LOC101850213	0.599409264630194
60.Control.71.Control	LOC101851776	0.9126449915141425
60.Control.71.Control	LOC101852365	-4.608388337172971
60.Control.71.Control	LOC101852582	-4.664269713783452
60.Control.71.Control	LOC101859283	-1.1969640917908173
60.Control.71.Control	LOC101864107	-1.1744132805861025
60.Control.71.Control	LOC101864571	-1.5904015541353815
60.Control.71.Control	LOC101846470	1.2064010629908775
60.Control.71.Control	LOC101849014	0.9772239449193616
60.Control.71.Control	LOC101857155	0.8497345022161991
60.Control.71.Control	LOC101858075	0.8854389247430131
60.Control.71.Control	LOC101851086	0.7392488515657261
60.Control.71.Control	LOC101862078	-0.7777894703263047
60.Control.71.Control	LOC101847778	-0.8490467547023327
60.Control.71.Control	LOC101849171	1.2572895575715433
60.Control.71.Control	LOC101861010	0.7344770907582698
60.Control.71.Control	LOC101864427	-1.3243311096049912
60.Control.71.Control	LOC101846779	-0.9925586372844476
60.Control.71.Control	LOC101849172	-0.9371456712403762
60.Control.71.Control	LOC101845435	-3.6809749439962514
60.Control.71.Control	LOC101852288	0.5359760899879779
60.Control.71.Control	LOC101852520	0.7542857486030258
60.Control.71.Control	LOC101854298	0.4991329224509697
60.Control.71.Control	LOC101854990	2.6005242471687335
60.Control.71.Control	LOC101855225	0.5219394254004768
60.Control.71.Control	LOC106011389	-1.6958008146102048
60.Control.71.Control	LOC101855915	-1.1770489711111443
60.Control.71.Control	LOC101856769	-1.457702022785698
60.Control.71.Control	LOC101861920	-1.867697475216372
60.Control.71.Control	LOC100533336	1.5654122564210362
60.Control.71.Control	LOC101846107	-0.6658947149645555
60.Control.71.Control	LOC101863223	1.1369122060099315
60.Control.71.Control	LOC101846547	0.8901841533799821
60.Control.71.Control	LOC101849576	-0.9753862642711183
60.Control.71.Control	LOC101851994	0.7121522356571427
60.Control.71.Control	LOC106011730	-1.4578589957664707
60.Control.71.Control	LOC101860462	0.9118175373009888
60.Control.71.Control	LOC101846703	0.8881534023952993
60.Control.71.Control	LOC101857847	0.6349654527875798
60.Control.71.Control	LOC101863708	0.5814765389361054
60.Control.71.Control	LOC101847392	2.003239758538799
60.Control.71.Control	LOC101850380	-0.9555118408962435
60.Control.71.Control	LOC101856306	1.0782404694054895
60.Control.71.Control	LOC101856773	0.7405794888407475
60.Control.71.Control	LOC101854685	0.7883993493845067
60.Control.71.Control	LOC101856309	0.6971054767722468
