ontology	genes	name	delta.rank	p.adj
BP	0/44	mitochondrial fusion	0	0
BP	0/23	acetyl-CoA metabolic process	0	0
BP	0/6	acetyl-CoA biosynthetic process from pyruvate	0	0
BP	0/30	tricarboxylic acid metabolic process	0	0
BP	0/6	isocitrate metabolic process	0	0
BP	0/17	2-oxoglutarate metabolic process	0	0
BP	0/29	mitochondrial electron transport, NADH to ubiquinone	0	0
BP	0/5	mitochondrial electron transport, succinate to ubiquinone	0	0
BP	0/7	mitochondrial electron transport, ubiquinol to cytochrome c	0	0
BP	0/10	aerobic electron transport chain	0	0
BP	0/123	protein-DNA complex subunit organization	0	0
BP	0/403	peptide metabolic process	0	0
BP	0/156	cellular modified amino acid metabolic process	0	0
BP	0/22	protein targeting to mitochondrion	0	0
BP	0/406	monocarboxylic acid metabolic process	0	0
BP	0/50	prostaglandin metabolic process	0	0
BP	0/11	pteridine-containing compound biosynthetic process	0	0.00363636363636364
BP	0/61	glutathione metabolic process	0	0
BP	0/127	mitochondrial transport	0	0
BP	0/161	regulation of oxidoreductase activity	0	0
BP	0/71	protein insertion into membrane	0	0
BP	0/113	monocarboxylic acid catabolic process	0	0
BP	0/25	branched-chain amino acid metabolic process	0	0
BP	0/353	nucleoside phosphate biosynthetic process	0	0
BP	0/125	nucleoside diphosphate metabolic process	0	0
BP	0/7	methylglyoxal metabolic process	0	0
BP	0/24	response to vitamin A	0	0
BP	0/444	mRNA metabolic process	0	0
BP	0/137	nucleobase metabolic process	0	0
BP	0/1148	cellular amide metabolic process	0	0
BP	0/88	electron transport chain	0	0
BP	0/10	protein import into mitochondrial matrix	0	0
BP	0/3472	regulation of metal ion transport	0	0
BP	0/86	mitochondrial translation	0	0
BP	0/59	mitochondrial respiratory chain complex assembly	0	0
BP	0/12	fatty acid beta-oxidation using acyl-CoA dehydrogenase	0	0
BP	0/12	proton-transporting two-sector ATPase complex assembly	0	0
BP	0/22	cytochrome complex assembly	0	0
BP	0/149	ribonucleoside bisphosphate metabolic process	0	0
BP	0/70	fatty acid derivative biosynthetic process	0	0
BP	0/17	response to increased oxygen levels	0	0
BP	0/4392	positive regulation of cell development	0	0.0037037037037037
BP	0/32	cellular modified amino acid biosynthetic process	0	0.00526315789473684
BP	0/146	drug catabolic process	0	0
BP	0/51	ATP synthesis coupled proton transport	0	0
BP	0/19	protein insertion into ER membrane	0	0
BP	0/10	protein insertion into ER membrane by stop-transfer membrane-anchor sequence	0	0
BP	0/160	ATP metabolic process	0	0
BP	0/114	organic hydroxy compound biosynthetic process	0	0
BP	0/412	small molecule catabolic process	0	0
BP	0/16	endosomal lumen acidification	0	0
BP	0/22	protein insertion into mitochondrial membrane	0	0
BP	0/19	fatty acid homeostasis	0	0
BP	0/105	axo-dendritic transport	0	0
BP	0/97	membrane fusion	0	0.00357142857142857
BP	0/365	inorganic ion transmembrane transport	0	0
BP	0/144	cellular amino acid catabolic process	0	0
CC	0/8	proton-transporting V-type ATPase, V1 domain	0	0
CC	0/7	proton-transporting ATP synthase complex, coupling factor F(o)	0	0
CC	0/82	peptidase complex	0	0
CC	0/122	catalytic step 2 spliceosome	0	0
CC	0/9	TIM23 mitochondrial import inner membrane translocase complex	0	0.00697674418604651
CC	0/47	respiratory chain complex	0	0
CC	0/7	mitochondrial respiratory chain complex III	0	0
CC	0/16	cytochrome complex	0	0
CC	0/12	mitochondrial proton-transporting ATP synthase complex	0	0
CC	0/21	mitochondrial ribosome	0	0.00714285714285714
CC	0/48	organellar large ribosomal subunit	0	0
CC	0/149	microbody	0	0.00526315789473684
CC	0/8	chaperonin-containing T-complex	0	0
CC	0/15	proteasome core complex	0	0
CC	0/7	dynactin complex	0	0
CC	0/14	tricarboxylic acid cycle enzyme complex	0	0
