Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
19185D-03-01_S0_L001_R1_001_val_1	68094362.0	7015977.0	8859.0	4551859.0	89485181.0	61249678.0	28028462.0	66.02206089248604	0.7	3.7	13.3	925875.0	671944.0	33146230.0	33341454.0	3508626444.0	103138801.0	605022089.0	2348195244.0	400122393.0
19185D-03-02_S33_L002_R1_001_val_1	71452669.0	7555627.0	9317.0	5053939.0	99484090.0	57828961.0	29684140.0	65.73840060038768	0.8	3.9	11.9	1020600.0	741120.0	34722795.0	34958837.0	3684125040.0	108692436.0	635163801.0	2458067214.0	428527035.0
19185D-03-03_S34_L002_R1_001_val_1	81142953.0	8658475.0	10263.0	5640822.0	117546541.0	78617131.0	32231738.0	66.49254105232343	0.8	4.1	14.3	1219934.0	847359.0	39409736.0	39655661.0	4156985694.0	122033166.0	719860379.0	2764851533.0	470469288.0
19185D-03-04_S0_L001_R1_001_val_1	96277728.0	9979891.0	12675.0	6928681.0	139450248.0	89704075.0	42952204.0	64.52506012288481	0.8	4.1	13.8	1446275.0	1003724.0	46758545.0	47056509.0	4939965572.0	149209823.0	853217518.0	3291771760.0	558893290.0
19185D-03-05_S0_L001_R1_001_val_1	68134428.0	7195508.0	8591.0	4765008.0	92436648.0	59807781.0	27302634.0	66.38675032691864	0.8	3.8	13.0	985242.0	706306.0	33097703.0	33336586.0	3497465811.0	102632570.0	600375229.0	2341343666.0	398737479.0
19185D-03-06_S0_L001_R1_001_val_1	69937084.0	7243285.0	9197.0	4942956.0	98030984.0	66101542.0	28392077.0	66.24558457232297	0.8	3.9	14.0	1013586.0	710771.0	33999200.0	34204330.0	3595282520.0	105572446.0	620951200.0	2398399305.0	406856533.0
19185D-03-07_S38_L002_R1_001_val_1	69820234.0	7115768.0	8884.0	4972436.0	93644055.0	67107968.0	29040643.0	65.88266122219665	0.8	3.8	14.3	987966.0	694577.0	33931803.0	34197004.0	3579676076.0	105976645.0	615881200.0	2395879822.0	402190595.0
19185D-03-08_S39_L002_R1_001_val_1	78749966.0	8211102.0	10382.0	5542567.0	107393830.0	74199941.0	31365539.0	66.55305006759806	0.8	3.8	13.9	1080561.0	783131.0	38329051.0	38546841.0	4053022496.0	118326607.0	701254250.0	2704903422.0	459728486.0
19185D-03-09_S1_L001_R1_001_val_1	89188957.0	9269495.0	11735.0	6756022.0	134751004.0	84186070.0	36851061.0	65.91477200867614	0.9	4.2	14.0	1399434.0	977735.0	43226163.0	43573890.0	4570595364.0	135309513.0	786942724.0	3041919159.0	516040385.0
19185D-03-10_S2_L001_R1_001_val_1	62557338.0	6445610.0	8187.0	4368804.0	91736872.0	54080460.0	26827548.0	65.27915497797278	0.8	4.1	12.8	978726.0	659281.0	30321346.0	30589798.0	3210234939.0	95830496.0	552837207.0	2139958647.0	367252949.0
