sample,replicate,timepoint,group,treatment
AC163A,LC_1,0,Lab_cross,Control
AC164A,LC_2,0,Lab_cross,Control
AC172A,LC_3,0,Lab_cross,Control
AC169A,WC_1,0,Wild_cross,Control
AC170A,WC_2,0,Wild_cross,Control
AC174A,WC_3,0,Wild_cross,Control
AC187A,LC_1,1,Lab_cross,Hyp_T2h
AC188A,LC_2,1,Lab_cross,Hyp_T2h
AC189A,LC_3,1,Lab_cross,Hyp_T2h
AC199A,WC_1,1,Wild_cross,Hyp_T2h
AC200A,WC_2,1,Wild_cross,Hyp_T2h
AC201A,WC_3,1,Wild_cross,Hyp_T2h
AC190A,LC_1,2,Lab_cross,Hyp_T6h
AC191A,LC_2,2,Lab_cross,Hyp_T6h
AC192A,LC_3,2,Lab_cross,Hyp_T6h
AC202A,WC_1,2,Wild_cross,Hyp_T6h
AC203A,WC_2,2,Wild_cross,Hyp_T6h
AC204A,WC_3,2,Wild_cross,Hyp_T6h
AC177A,LC_1,4,Lab_cross,LtH_6
AC181A,LC_2,4,Lab_cross,LtH_6
AC182A,LC_3,4,Lab_cross,LtH_6
AC179A,WC_1,4,Wild_cross,LtH_6
AC183A,WC_2,4,Wild_cross,LtH_6
AC184A,WC_3,4,Wild_cross,LtH_6
AC178A,LC_1,5,Lab_cross,LtH_7
AC186A,LC_2,5,Lab_cross,LtH_7
AC176A,WC_1,5,Wild_cross,LtH_7
AC180A,WC_2,5,Wild_cross,LtH_7
AC193A,LC_1,6,Lab_cross,Recovery
AC194A,LC_2,6,Lab_cross,Recovery
AC195A,LC_3,6,Lab_cross,Recovery
AC205A,WC_1,6,Wild_cross,Recovery
AC206A,WC_2,6,Wild_cross,Recovery
AC207A,WC_3,6,Wild_cross,Recovery
AC196A,LC_1,3,Lab_cross,Reox
AC197A,LC_2,3,Lab_cross,Reox
AC198A,LC_3,3,Lab_cross,Reox
AC208A,WC_1,3,Wild_cross,Reox
AC209A,WC_2,3,Wild_cross,Reox
AC210A,WC_3,3,Wild_cross,Reox
