sample,replicate,timepoint,group,treatment
AC164Pp,LC_1,0,Lab_cross,Control
AC167Pp,LC_2,0,Lab_cross,Control
AC172Pp,LC_3,0,Lab_cross,Control
AC166Pp,WC_1,0,Wild_cross,Control
AC170Pp,WC_2,0,Wild_cross,Control
AC174Pp,WC_3,0,Wild_cross,Control
AC187Pp,LC_1,1,Lab_cross,Hyp_T2h
AC188Pp,LC_2,1,Lab_cross,Hyp_T2h
AC189Pp,LC_3,1,Lab_cross,Hyp_T2h
AC199Pp,WC_1,1,Wild_cross,Hyp_T2h
AC200Pp,WC_2,1,Wild_cross,Hyp_T2h
AC201Pp,WC_3,1,Wild_cross,Hyp_T2h
AC190Pp,LC_1,2,Lab_cross,Hyp_T6h
AC191Pp,LC_2,2,Lab_cross,Hyp_T6h
AC192Pp,LC_3,2,Lab_cross,Hyp_T6h
AC202Pp,WC_1,2,Wild_cross,Hyp_T6h
AC203Pp,WC_2,2,Wild_cross,Hyp_T6h
AC204Pp,WC_3,2,Wild_cross,Hyp_T6h
AC177Pp,LC_1,4,Lab_cross,LtH_6
AC181Pp,LC_2,4,Lab_cross,LtH_6
AC182Pp,LC_3,4,Lab_cross,LtH_6
AC179Pp,WC_1,4,Wild_cross,LtH_6
AC183Pp,WC_2,4,Wild_cross,LtH_6
AC184Pp,WC_3,4,Wild_cross,LtH_6
AC178Pp,LC_1,5,Lab_cross,LtH_7
AC185Pp,LC_2,5,Lab_cross,LtH_7
AC186Pp,LC_3,5,Lab_cross,LtH_7
AC175Pp,WC_1,5,Wild_cross,LtH_7
AC176Pp,WC_2,5,Wild_cross,LtH_7
AC180Pp,WC_3,5,Wild_cross,LtH_7
AC193Pp,LC_1,6,Lab_cross,Recovery
AC194Pp,LC_2,6,Lab_cross,Recovery
AC195Pp,LC_3,6,Lab_cross,Recovery
AC205Pp,WC_1,6,Wild_cross,Recovery
AC206Pp,WC_2,6,Wild_cross,Recovery
AC207Pp,WC_3,6,Wild_cross,Recovery
AC196Pp,LC_1,3,Lab_cross,Reox
AC197Pp,LC_2,3,Lab_cross,Reox
AC198Pp,LC_3,3,Lab_cross,Reox
AC208Pp,WC_1,3,Wild_cross,Reox
AC209Pp,WC_2,3,Wild_cross,Reox
AC210Pp,WC_3,3,Wild_cross,Reox
