sample,replicate,timepoint,group,treatment
AC163A,AG_1,0,Abdominal_ganglion,Control
AC164A,AG_2,0,Abdominal_ganglion,Control
AC164Pp,PpG_1,0,PleuralPedal_ganglia,Control
AC167Pp,PpG_2,0,PleuralPedal_ganglia,Control
AC172A,AG_3,0,Abdominal_ganglion,Control
AC172Pp,PpG_3,0,PleuralPedal_ganglia,Control
AC187A,AG_1,1,Abdominal_ganglion,Hyp_T2h
AC187Pp,PpG_1,1,PleuralPedal_ganglia,Hyp_T2h
AC188A,AG_2,1,Abdominal_ganglion,Hyp_T2h
AC188Pp,PpG_2,1,PleuralPedal_ganglia,Hyp_T2h
AC189A,AG_3,1,Abdominal_ganglion,Hyp_T2h
AC189Pp,PpG_3,1,PleuralPedal_ganglia,Hyp_T2h
AC190A,AG_1,2,Abdominal_ganglion,Hyp_T6h
AC190Pp,PpG_1,2,PleuralPedal_ganglia,Hyp_T6h
AC191A,AG_2,2,Abdominal_ganglion,Hyp_T6h
AC191Pp,PpG_2,2,PleuralPedal_ganglia,Hyp_T6h
AC192A,AG_3,2,Abdominal_ganglion,Hyp_T6h
AC192Pp,PpG_3,2,PleuralPedal_ganglia,Hyp_T6h
AC177A,AG_1,4,Abdominal_ganglion,LtH_6
AC177Pp,PpG_1,4,PleuralPedal_ganglia,LtH_6
AC181A,AG_2,4,Abdominal_ganglion,LtH_6
AC181Pp,PpG_2,4,PleuralPedal_ganglia,LtH_6
AC182A,AG_3,4,Abdominal_ganglion,LtH_6
AC182Pp,PpG_3,4,PleuralPedal_ganglia,LtH_6
AC178A,AG_1,5,Abdominal_ganglion,LtH_7
AC178Pp,PpG_1,5,PleuralPedal_ganglia,LtH_7
AC185Pp,PpG_2,5,PleuralPedal_ganglia,LtH_7
AC186A,AG_2,5,Abdominal_ganglion,LtH_7
AC186Pp,PpG_3,5,PleuralPedal_ganglia,LtH_7
AC193A,AG_1,6,Abdominal_ganglion,Recovery
AC193Pp,PpG_1,6,PleuralPedal_ganglia,Recovery
AC194A,AG_2,6,Abdominal_ganglion,Recovery
AC194Pp,PpG_2,6,PleuralPedal_ganglia,Recovery
AC195A,AG_3,6,Abdominal_ganglion,Recovery
AC195Pp,PpG_3,6,PleuralPedal_ganglia,Recovery
AC196A,AG_1,3,Abdominal_ganglion,Reox
AC196Pp,PpG_1,3,PleuralPedal_ganglia,Reox
AC197A,AG_2,3,Abdominal_ganglion,Reox
AC197Pp,PpG_2,3,PleuralPedal_ganglia,Reox
AC198A,AG_3,3,Abdominal_ganglion,Reox
AC198Pp,PpG_3,3,PleuralPedal_ganglia,Reox
