sample,replicate,timepoint,group,treatment
AC166Pp,PpG_1,0,PleuralPedal_ganglia,Control
AC169A,AG_1,0,Abdominal_ganglion,Control
AC170A,AG_2,0,Abdominal_ganglion,Control
AC170Pp,PpG_2,0,PleuralPedal_ganglia,Control
AC174A,AG_3,0,Abdominal_ganglion,Control
AC174Pp,PpG_3,0,PleuralPedal_ganglia,Control
AC199A,AG_1,1,Abdominal_ganglion,Hyp_T2h
AC199Pp,PpG_1,1,PleuralPedal_ganglia,Hyp_T2h
AC200A,AG_2,1,Abdominal_ganglion,Hyp_T2h
AC200Pp,PpG_2,1,PleuralPedal_ganglia,Hyp_T2h
AC201A,AG_3,1,Abdominal_ganglion,Hyp_T2h
AC201Pp,PpG_3,1,PleuralPedal_ganglia,Hyp_T2h
AC202A,AG_1,2,Abdominal_ganglion,Hyp_T6h
AC202Pp,PpG_1,2,PleuralPedal_ganglia,Hyp_T6h
AC203A,AG_2,2,Abdominal_ganglion,Hyp_T6h
AC203Pp,PpG_2,2,PleuralPedal_ganglia,Hyp_T6h
AC204A,AG_3,2,Abdominal_ganglion,Hyp_T6h
AC204Pp,PpG_3,2,PleuralPedal_ganglia,Hyp_T6h
AC179A,AG_1,4,Abdominal_ganglion,LtH_6
AC179Pp,PpG_1,4,PleuralPedal_ganglia,LtH_6
AC183A,AG_2,4,Abdominal_ganglion,LtH_6
AC183Pp,PpG_2,4,PleuralPedal_ganglia,LtH_6
AC184A,AG_3,4,Abdominal_ganglion,LtH_6
AC184Pp,PpG_3,4,PleuralPedal_ganglia,LtH_6
AC175Pp,PpG_1,5,PleuralPedal_ganglia,LtH_7
AC176A,AG_1,5,Abdominal_ganglion,LtH_7
AC176Pp,PpG_2,5,PleuralPedal_ganglia,LtH_7
AC180A,AG_2,5,Abdominal_ganglion,LtH_7
AC180Pp,PpG_3,5,PleuralPedal_ganglia,LtH_7
AC205A,AG_1,6,Abdominal_ganglion,Recovery
AC205Pp,PpG_1,6,PleuralPedal_ganglia,Recovery
AC206A,AG_2,6,Abdominal_ganglion,Recovery
AC206Pp,PpG_2,6,PleuralPedal_ganglia,Recovery
AC207A,AG_3,6,Abdominal_ganglion,Recovery
AC207Pp,PpG_3,6,PleuralPedal_ganglia,Recovery
AC208A,AG_1,3,Abdominal_ganglion,Reox
AC208Pp,PpG_1,3,PleuralPedal_ganglia,Reox
AC209A,AG_2,3,Abdominal_ganglion,Reox
AC209Pp,PpG_2,3,PleuralPedal_ganglia,Reox
AC210A,AG_3,3,Abdominal_ganglion,Reox
AC210Pp,PpG_3,3,PleuralPedal_ganglia,Reox
