animal_ID,treatment,tissue,batch,sample_ID
AC163,C,A,60,AC163A
AC164,C,A,60,AC164A
AC164,C,Pp,60,AC164Pp
AC167,C,Pp,60,AC167Pp
AC172,C,A,60,AC172A
AC172,C,Pp,60,AC172Pp
AC166,C,Pp,71,AC166Pp
AC169,C,A,71,AC169A
AC170,C,A,71,AC170A
AC170,C,Pp,71,AC170Pp
AC174,C,A,71,AC174A
AC174,C,Pp,71,AC174Pp
AC187,Hyp_T2h,A,60,AC187A
AC187,Hyp_T2h,Pp,60,AC187Pp
AC188,Hyp_T2h,A,60,AC188A
AC188,Hyp_T2h,Pp,60,AC188Pp
AC189,Hyp_T2h,A,60,AC189A
AC189,Hyp_T2h,Pp,60,AC189Pp
AC199,Hyp_T2h,A,71,AC199A
AC199,Hyp_T2h,Pp,71,AC199Pp
AC200,Hyp_T2h,A,71,AC200A
AC200,Hyp_T2h,Pp,71,AC200Pp
AC201,Hyp_T2h,A,71,AC201A
AC201,Hyp_T2h,Pp,71,AC201Pp
AC190,Hyp_T6h,A,60,AC190A
AC190,Hyp_T6h,Pp,60,AC190Pp
AC191,Hyp_T6h,A,60,AC191A
AC191,Hyp_T6h,Pp,60,AC191Pp
AC192,Hyp_T6h,A,60,AC192A
AC192,Hyp_T6h,Pp,60,AC192Pp
AC202,Hyp_T6h,A,71,AC202A
AC202,Hyp_T6h,Pp,71,AC202Pp
AC203,Hyp_T6h,A,71,AC203A
AC203,Hyp_T6h,Pp,71,AC203Pp
AC204,Hyp_T6h,A,71,AC204A
AC204,Hyp_T6h,Pp,71,AC204Pp
AC177,LtH_6,A,60,AC177A
AC177,LtH_6,Pp,60,AC177Pp
AC181,LtH_6,A,60,AC181A
AC181,LtH_6,Pp,60,AC181Pp
AC182,LtH_6,A,60,AC182A
AC182,LtH_6,Pp,60,AC182Pp
AC179,LtH_6,A,71,AC179A
AC179,LtH_6,Pp,71,AC179Pp
AC183,LtH_6,A,71,AC183A
AC183,LtH_6,Pp,71,AC183Pp
AC184,LtH_6,A,71,AC184A
AC184,LtH_6,Pp,71,AC184Pp
AC178,LtH_7,A,60,AC178A
AC178,LtH_7,Pp,60,AC178Pp
AC185,LtH_7,Pp,60,AC185Pp
AC186,LtH_7,A,60,AC186A
AC186,LtH_7,Pp,60,AC186Pp
AC175,LtH_7,A,71,AC175A
AC175,LtH_7,Pp,71,AC175Pp
AC176,LtH_7,A,71,AC176A
AC176,LtH_7,Pp,71,AC176Pp
AC180,LtH_7,A,71,AC180A
AC180,LtH_7,Pp,71,AC180Pp
AC193,Recovery,A,60,AC193A
AC193,Recovery,Pp,60,AC193Pp
AC194,Recovery,A,60,AC194A
AC194,Recovery,Pp,60,AC194Pp
AC195,Recovery,A,60,AC195A
AC195,Recovery,Pp,60,AC195Pp
AC205,Recovery,A,71,AC205A
AC205,Recovery,Pp,71,AC205Pp
AC206,Recovery,A,71,AC206A
AC206,Recovery,Pp,71,AC206Pp
AC207,Recovery,A,71,AC207A
AC207,Recovery,Pp,71,AC207Pp
AC196,Reox,A,60,AC196A
AC196,Reox,Pp,60,AC196Pp
AC197,Reox,A,60,AC197A
AC197,Reox,Pp,60,AC197Pp
AC198,Reox,A,60,AC198A
AC198,Reox,Pp,60,AC198Pp
AC208,Reox,A,71,AC208A
AC208,Reox,Pp,71,AC208Pp
AC209,Reox,A,71,AC209A
AC209,Reox,Pp,71,AC209Pp
AC210,Reox,A,71,AC210A
AC210,Reox,Pp,71,AC210Pp
