"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC178A","AC186A","AC176A","AC180A"
"1","LOC101850631",128127.423490932,-10.5622800869167,0.250272333509192,-42.2031470231559,0,0,145.415626730107,193.550049339458,272411.143658929,239759.58462873
"2","LOC101847465",6780.03362236927,-7.2335361023104,0.277107790351695,-26.1036908891297,3.31048480652536e-150,2.0044985503511e-146,108.784209309545,69.9578491588403,14647.6605227274,12293.7319082813
"3","LOC101853463",3313.99937247463,-5.67673782523301,0.252615093637167,-22.4718869466548,7.8197453268583e-112,3.15657053027513e-108,112.11433816596,142.247626622975,6697.72732076455,6303.90820434503
"4","LOC101848377",1897.24412546215,-7.17414609517361,0.335989870249865,-21.3522690128677,3.71458721411498e-101,1.12459127907331e-97,32.1912456120083,19.8213905950047,3252.89167678678,4284.07218885479
"5","LOC101853471",5278.00219246601,-4.71228118657668,0.228818081295984,-20.5940070814648,3.10588691748443e-94,7.5224581141473e-91,385.184904391962,390.597991136858,10605.665869711,9730.56000462422
"6","LOC101861355",2925.43741645216,-7.64423044764352,0.391809446876159,-19.5100718183032,9.01553715328024e-85,1.81963591543706e-81,22.2008590427644,36.1448887320675,3635.76403462276,8007.63988341104
"7","LOC101861925",1085.71715335019,-5.99109317384693,0.323393902142657,-18.525683799703,1.28164535999346e-76,2.21724647278869e-73,28.8611167555937,38.4768170373621,2454.64851164335,1820.88216796445
"8","LOC101852443",1188.97145893061,-7.49454392426745,0.419087360793491,-17.8830110983959,1.59959945486734e-71,2.42139367480544e-68,8.88034361710575,17.4894622897101,2912.67353388214,1816.84249593347
"9","LOC101857597",587.438584368266,-4.83429425152968,0.307491979404274,-15.721692191437,1.07416005124003e-55,1.44534202450187e-52,41.0715892291141,38.4768170373621,1071.43325601313,1198.77267519346
"10","LOC101857532",1401.47357856667,-3.79676760093871,0.24396282197608,-15.5628942565314,1.30081157503529e-54,1.57528281736773e-51,192.037430719912,184.222336118279,2587.68903916726,2641.94550826123
"11","LOC101856068",529.081152200104,-6.60112358777604,0.426323098893783,-15.4838515785435,4.45954960492732e-54,4.90955870142453e-51,13.3205154256586,8.16174906853136,1136.43015495611,958.412189350118
