"","cluster","cluster_col"
"LOC101845818","C1","#8DD3C7"
"LOC101852526","C1","#8DD3C7"
"LOC101848868","C1","#8DD3C7"
"LOC101849676","C1","#8DD3C7"
"LOC101845051","C1","#8DD3C7"
"LOC101857319","C1","#8DD3C7"
"LOC101860944","C1","#8DD3C7"
"TRNAA-UGC","C1","#8DD3C7"
"LOC106011771","C1","#8DD3C7"
"LOC101849963","C1","#8DD3C7"
"LOC106013508","C1","#8DD3C7"
"LOC101846924","C1","#8DD3C7"
"LOC101847260","C1","#8DD3C7"
"LOC101848778","C1","#8DD3C7"
"LOC101857686","C1","#8DD3C7"
"LOC101853766","C1","#8DD3C7"
"LOC101847482","C1","#8DD3C7"
"LOC101852216","C1","#8DD3C7"
"LOC101850152","C1","#8DD3C7"
"LOC101847896","C2","#FFFFB3"
"LOC101857004","C2","#FFFFB3"
"LOC101853210","C2","#FFFFB3"
"LOC118478409","C2","#FFFFB3"
"LOC101847946","C2","#FFFFB3"
"LOC101857981","C2","#FFFFB3"
"LOC101862777","C2","#FFFFB3"
"LOC101860672","C2","#FFFFB3"
"LOC106012109","C2","#FFFFB3"
"LOC106013321","C2","#FFFFB3"
"LOC101858903","C2","#FFFFB3"
"LOC118478411","C2","#FFFFB3"
"LOC106013886","C2","#FFFFB3"
"LOC106012080","C2","#FFFFB3"
"LOC101858170","C2","#FFFFB3"
"LOC101859930","C2","#FFFFB3"
"LOC101864179","C2","#FFFFB3"
"LOC101860394","C2","#FFFFB3"
"LOC106013150","C2","#FFFFB3"
"LOC101848076","C2","#FFFFB3"
"LOC101861521","C2","#FFFFB3"
"LOC101852994","C2","#FFFFB3"
"LOC106013868","C2","#FFFFB3"
"LOC106013447","C2","#FFFFB3"
"LOC101864455","C2","#FFFFB3"
"LOC106013235","C2","#FFFFB3"
"LOC101861566","C2","#FFFFB3"
"LOC101857309","C2","#FFFFB3"
"LOC106011885","C2","#FFFFB3"
"LOC106012485","C2","#FFFFB3"
"LOC101853607","C2","#FFFFB3"
"LOC101848450","C2","#FFFFB3"
"LOC118477279","C2","#FFFFB3"
"LOC106012273","C2","#FFFFB3"
"LOC106012722","C2","#FFFFB3"
"LOC101859240","C2","#FFFFB3"
"LOC101857064","C2","#FFFFB3"
"LOC118477846","C2","#FFFFB3"
"LOC101861830","C2","#FFFFB3"
"LOC101854303","C2","#FFFFB3"
"LOC101850591","C2","#FFFFB3"
"LOC101864203","C2","#FFFFB3"
"LOC118477768","C2","#FFFFB3"
"LOC101858064","C2","#FFFFB3"
"LOC101864720","C2","#FFFFB3"
"LOC106011801","C2","#FFFFB3"
"LOC106013749","C2","#FFFFB3"
"LOC101860476","C2","#FFFFB3"
"LOC101858087","C2","#FFFFB3"
"LOC118477638","C2","#FFFFB3"
"LOC101851352","C2","#FFFFB3"
"LOC106011361","C2","#FFFFB3"
"LOC101848902","C2","#FFFFB3"
"LOC106013276","C2","#FFFFB3"
"LOC101859251","C2","#FFFFB3"
"LOC106013906","C2","#FFFFB3"
"LOC101850981","C2","#FFFFB3"
"LOC106013283","C2","#FFFFB3"
"LOC106011150","C2","#FFFFB3"
"LOC118477145","C2","#FFFFB3"
"LOC118478339","C2","#FFFFB3"
"LOC101847612","C2","#FFFFB3"
"LOC106014188","C2","#FFFFB3"
"LOC101848228","C2","#FFFFB3"
"LOC118478302","C2","#FFFFB3"
"LOC118478197","C2","#FFFFB3"
"LOC101857200","C2","#FFFFB3"
"LOC101856916","C2","#FFFFB3"
"LOC106013025","C2","#FFFFB3"
"LOC101851474","C2","#FFFFB3"
"LOC101854420","C2","#FFFFB3"
"LOC101857500","C2","#FFFFB3"
"LOC101861001","C2","#FFFFB3"
"LOC106012226","C2","#FFFFB3"
"LOC101854212","C2","#FFFFB3"
"LOC101863863","C2","#FFFFB3"
"LOC101861369","C2","#FFFFB3"
"LOC101851700","C2","#FFFFB3"
"LOC101860068","C2","#FFFFB3"
"LOC118477767","C2","#FFFFB3"
"LOC101850368","C2","#FFFFB3"
"LOC106013510","C2","#FFFFB3"
"LOC118478751","C2","#FFFFB3"
"LOC101863952","C2","#FFFFB3"
"LOC101858795","C2","#FFFFB3"
"LOC101853325","C2","#FFFFB3"
"LOC101858930","C2","#FFFFB3"
"LOC101862806","C2","#FFFFB3"
"LOC106013913","C2","#FFFFB3"
"LOC106013000","C2","#FFFFB3"
"LOC101858267","C2","#FFFFB3"
"LOC101856695","C2","#FFFFB3"
"LOC101862070","C2","#FFFFB3"
"LOC101846992","C2","#FFFFB3"
