"","AC169A","AC170A","AC174A","AC199A","AC200A","AC201A","AC202A","AC203A","AC204A","AC179A","AC183A","AC184A","AC176A","AC180A","AC205A","AC206A","AC207A","AC208A","AC209A","AC210A","AC163A","AC164A","AC172A","AC187A","AC188A","AC189A","AC190A","AC191A","AC192A","AC177A","AC181A","AC182A","AC178A","AC186A","AC193A","AC194A","AC195A","AC196A","AC197A","AC198A"
"LOC118478603",1.01104352057194,0.375423663156908,0.225323467098388,0.167650594312605,-0.413070936991484,-0.221248423376492,1.00019081864495,5.1967962017949,-0.055950113681421,1.46213691594113,0.935951936332643,-0.00150610349196464,0.0398895717327847,0.0308892138158434,-0.195198596360385,0.503212788465888,0.554464407952697,-0.415432187523281,0.492981699112502,-0.315856337200047,-0.469697263407897,-0.532689553886788,-0.520207469719019,-0.532689553886788,-0.532689553886788,-0.532689553886788,-0.522447647034019,-0.532689553886788,-0.515892972029057,-0.532689553886788,-0.506188638566971,-0.527129402310584,-0.532689553886788,-0.532689553886788,-0.521838212035718,-0.427240262510489,-0.526051090886839,-0.527258973825004,-0.525706552610838,-0.526517184277362
"LOC101850631",1.90378510379551,0.914774348235802,1.03869025189272,0.117319010996588,0.0721448528868037,0.15225159114744,0.490573819824162,0.990905020416749,0.606834002568257,1.4377752982549,1.28376926493607,0.91183590476171,1.64176482246276,1.32982966289836,0.983317053445657,1.12075635570502,0.870564943776663,0.0866897921548792,1.38844035776252,0.489587873580997,0.402296280380099,-0.959564868809432,-0.958080391881094,-0.960152016584805,-0.959864763735486,-0.959875434486742,-0.959903083854931,-0.959756910667915,-0.959893566568886,-0.959692185993617,-0.959616930812399,-0.959806827352064,-0.959313222205503,-0.958853372224579,-0.960080764705932,-0.959643453998591,-0.959908730351798,-0.96002609425898,-0.959867536385805,-0.960005457005117
"LOC101848377",1.65214138281558,0.340047502481276,1.67484650107319,0.418839039717062,0.113509486308084,0.185653630411778,0.317856478089102,3.92478864563333,0.180470913798626,0.449130808616557,0.696222411834402,0.691523577035206,0.815800688143142,1.33568197382676,0.183711713725925,0.563198129117295,0.511704449465205,0.100120926953556,-0.137740822405424,0.765227515477081,0.575758471598103,-0.809593914493089,-0.798475743210085,-0.814196258706138,-0.806125119291102,-0.814262365883499,-0.808474399553261,-0.809647853319252,-0.816821579948296,-0.80229454089288,-0.808311731706926,-0.807614553545969,-0.807951760012592,-0.814188161937084,-0.817524712907153,-0.781496975067636,-0.817200277491759,-0.817994593544844,-0.802151195518416,-0.804167686685847
"LOC106011452",1.0727107564317,1.04301609434283,1.630185454552,0.380484605839743,0.0916014260548122,-0.0715169830269608,0.465013772696355,1.50355680940606,0.332225144284121,0.439781261582002,2.2449557624331,0.312357224448765,0.770880682902918,0.577558181073987,1.13041302601828,2.17385193946321,1.59821226027888,-0.217197023034724,1.45158238474388,-0.109365638658677,-0.377365034009235,-0.830531416120809,-0.845797712377544,-0.87093512131657,-0.877974580844688,-0.873281931907681,-0.876809002305468,-0.864578061927212,-0.877472127695923,-0.870482166364501,-0.869731052547976,-0.865217588534904,-0.852363079883131,-0.886039962569903,-0.859419616972275,-0.870722342459086,-0.88057892162222,-0.855196545238697,-0.85417464157082,-0.861636235563618
"LOC101857597",0.505726097250934,0.191635811072343,0.219834800257408,1.08907217840711,0.771070432834465,0.89407726841321,0.880550945029587,1.23265738450912,0.926228285851076,0.931819883355329,0.997197038638658,1.02286157297676,0.924402547235218,1.16411496736183,1.02515015446239,1.32298841187899,0.847461948099391,1.10595928903058,1.26824967467761,0.786868732235303,1.11499928107925,-1.00664565905414,-0.659600423888758,-1.04847497659825,-1.06231409449953,-1.04809330759648,-1.0657262921674,-1.05997698093732,-1.06322425101273,-1.02967330879559,-1.0419531302084,-1.02340109128272,-1.01522062947119,-1.02010520587153,-0.993116910868226,-0.962734302216039,-0.986099130324222,-1.04811264868219,-1.060547565384,-1.0279067957979
"LOC106012394",0.665054494317072,0.485215735778757,0.264184943681537,1.02544743586102,0.701058716024149,0.732771956471855,1.33761796655934,1.15664550404042,0.977588237791217,1.31930280775265,0.720844600090984,1.47434660693059,0.837695212384046,0.710972063504663,1.17224399239524,1.64288501683979,1.20910028728606,0.93342358744893,0.605470036244229,0.704483463278772,0.316687220843653,-1.00914995652068,-0.705552010968199,-1.02342471864475,-1.00998646474652,-1.02047610120121,-1.02791885936582,-1.0193247842805,-1.02539783883089,-1.00914248661735,-1.0255733513748,-0.99414137175508,-1.02722266364601,-1.02289724342861,-1.01355409937502,-0.994147292090943,-1.01369805003171,-1.01965462619223,-1.01637206279943,-1.01540590365521
"LOC101861925",1.44662839928843,0.505552995022611,0.581778605279173,0.352978117174659,-0.0757586791485547,0.321558908060552,0.82705434127386,3.06840036986113,0.43453156454364,0.912662003676998,0.919359215315331,0.789914383957746,1.94745269160473,1.1994292464242,0.128231276248452,0.365131922841996,0.437257667800889,0.828036444439027,0.737997782444452,0.565734383512742,0.889272848833804,-0.89324702873615,-0.726936492963848,-0.9221004069582,-0.923489232478745,-0.919538992877057,-0.917157655527898,-0.914568244559471,-0.925604740724025,-0.897173861176437,-0.921635885596666,-0.897253719379655,-0.915662181088438,-0.904312936490122,-0.916332801574498,-0.889975945814525,-0.929297412702339,-0.929672135284479,-0.911045684057241,-0.928199130466069
"LOC101852443",0.987187222430644,0.296171989909944,0.53574754380217,0.336992528383444,0.0236529839199984,-0.0742886957501308,0.47929876251594,0.44417436940604,0.337822385100844,0.869208416716643,0.823202182752352,0.442940085653162,0.930886368629091,0.278376244081114,1.76430064925121,3.22640348077916,2.83844619969725,0.00603401676231233,0.783103143678897,0.154590087632377,-0.325557177362925,-0.798157387820096,-0.795707039031836,-0.800778293670976,-0.79684024401214,-0.799944041146584,-0.798688290043873,-0.801742029283101,-0.798243112794897,-0.80080727312784,-0.7947727242448,-0.800581108202144,-0.798170749326123,-0.79304446899387,-0.800089137595119,-0.794623252792805,-0.793839252307477,-0.800086088975634,-0.795508263356264,-0.797070031263961
"LOC101856068",0.706746762921808,0.154968759122974,0.534337630756791,0.65994066874031,0.439191938673564,0.549051002323028,1.22773197455322,1.13580560936473,1.01087814244006,1.71029473240578,1.0578236360256,1.08490663002443,0.912977596340611,0.616641897345995,1.18682979069005,1.59171397051951,1.716545447893,0.917829412390336,0.816127764146645,0.839316622946132,-0.636104576918291,-0.958391291027668,-0.919175798371712,-0.965281475961864,-0.966433923044656,-0.973856115487663,-0.956542472348947,-0.962773133451492,-0.964188415467818,-0.947268201566255,-0.967266627728911,-0.953027413689905,-0.956594831054036,-0.965182316194568,-0.95678984003735,-0.951162820668178,-0.969164490632076,-0.975626008513715,-0.958563375708581,-0.966266861750871
"LOC101854731",1.53175071871952,0.0299477595303047,-0.0065347410423792,1.01794746326132,0.953214323803765,0.198643413411697,0.320646656592113,0.87502537314251,1.09673693852434,1.7338907504897,1.53984191983199,0.561759635096367,1.36797916069476,0.304487156298576,0.526375097026694,2.51978744391194,0.81518829935851,0.423436642353358,0.209398508659371,1.088646703845,0.372298945793589,-0.905519005657438,-0.790297977753877,-0.938271374236815,-0.933755201037581,-0.934568638704564,-0.927293263251056,-0.936308494945859,-0.942238135616575,-0.903780396689138,-0.928571695108642,-0.913747450984343,-0.933195573449711,-0.921725673698425,-0.923295524944557,-0.923576948103798,-0.930927200385202,-0.93206949019168,-0.93772177964423,-0.92360434489955
