"","gene"
"1","LOC101850631"
"2","LOC101853471"
"3","LOC101848377"
"4","LOC106013217"
"5","LOC101847784"
"6","LOC101857597"
"7","LOC101857532"
"8","LOC101851682"
"9","LOC106012394"
"10","LOC101845452"
"11","LOC101854709"
"12","LOC101861925"
"13","LOC101845676"
"14","LOC101852443"
"15","LOC101855274"
"16","LOC101855230"
"17","LOC101854731"
"18","LOC101848115"
"19","LOC106011005"
"20","LOC101859366"
"21","LOC101848347"
"22","LOC101855936"
"23","LOC101860873"
"24","LOC101855371"
"25","LOC101855596"
"26","LOC101846602"
"27","LOC101851452"
"28","LOC101856061"
"29","LOC101847465"
"30","LOC101863118"
"31","LOC101848384"
"32","LOC101861981"
"33","LOC101850439"
"34","LOC101853474"
"35","LOC101848956"
"36","LOC101848340"
"37","LOC101857128"
"38","LOC101857249"
"39","LOC101850506"
"40","LOC101848576"
"41","LOC101859126"
"42","LOC101846325"
"43","LOC106013295"
"44","LOC101854894"
"45","LOC101855937"
"46","LOC101853719"
"47","LOC101845466"
"48","LOC101852128"
"49","LOC101853463"
"50","LOC101862822"
"51","LOC101853767"
"52","LOC101861955"
"53","LOC101853328"
"54","LOC101862833"
"55","LOC101860665"
"56","LOC101852365"
"57","LOC101852778"
"58","LOC101859062"
"59","LOC101862085"
"60","LOC101861959"
"61","LOC101845435"
"62","LOC101858348"
"63","LOC101861413"
"64","LOC106011630"
"65","LOC101852116"
"66","LOC101856297"
"67","LOC101861104"
"68","LOC101856370"
"69","LOC101852651"
"70","LOC101854835"
"71","LOC101852738"
"72","LOC101854594"
"73","LOC101864181"
"74","LOC101854063"
"75","LOC118477283"
"76","LOC101858324"
"77","LOC101861355"
"78","LOC101861978"
"79","LOC101852190"
"80","LOC100533335"
"81","LOC106013374"
"82","LOC101845708"
"83","LOC101853625"
"84","LOC101864334"
"85","LOC101858939"
"86","LOC101861199"
"87","LOC101861595"
"88","LOC101851908"
"89","LOC101855605"
"90","LOC101852753"
"91","LOC101854808"
"92","LOC101850319"
"93","LOC101856344"
"94","LOC106011710"
"95","LOC101859002"
"96","LOC101851575"
"97","LOC101863854"
"98","LOC101858186"
"99","LOC101852861"
"100","LOC101852917"
"101","LOC101847731"
"102","LOC101853748"
"103","LOC101862044"
"104","LOC101856247"
"105","LOC101849172"
"106","LOC101856779"
"107","LOC101860874"
"108","LOC101845656"
"109","LOC101848446"
"110","LOC101846723"
"111","LOC101855120"
"112","LOC118478849"
"113","LOC101859476"
"114","LOC101857677"
"115","LOC101847756"
"116","LOC101854668"
"117","LOC101851546"
"118","LOC118478968"
"119","LOC101860034"
"120","LOC101855403"
"121","LOC101860038"
"122","LOC101859283"
"123","LOC101852636"
"124","LOC101848092"
"125","LOC101847696"
"126","LOC101848778"
"127","LOC101853981"
"128","LOC101860737"
"129","LOC101857052"
"130","LOC118478668"
"131","LOC101859068"
"132","LOC101852666"
"133","LOC101851463"
"134","LOC101856240"
"135","LOC101859125"
"136","LOC101863771"
"137","LOC101864505"
"138","LOC101845832"
"139","LOC101846358"
"140","LOC101848916"
"141","LOC101850673"
"142","LOC101862867"
"143","LOC101853733"
"144","LOC101846090"
"145","LOC101859434"
"146","LOC101847336"
"147","LOC101851209"
"148","LOC101852107"
"149","LOC101860044"
"150","LOC101860266"
"151","LOC101847780"
"152","LOC101845280"
"153","LOC101849873"
"154","LOC101845378"
"155","LOC101852196"
"156","LOC101857018"
"157","LOC101853934"
"158","LOC106011470"
"159","LOC106012918"
"160","LOC101859811"
"161","LOC101851797"
"162","LOC101849487"
"163","LOC101852347"
"164","LOC101856780"
"165","LOC101856052"
"166","LOC101847351"
"167","LOC106010962"
"168","LOC106013887"
"169","LOC101851945"
"170","LOC101859607"
"171","LOC101846779"
"172","LOC101852767"
"173","LOC101853118"
"174","LOC101863199"
"175","LOC101861756"
"176","LOC118478883"
"177","LOC101856524"
"178","LOC101845376"
"179","LOC101850214"
"180","LOC101846824"
"181","LOC106011389"
"182","LOC106011146"
"183","LOC101855491"
"184","LOC101861096"
"185","LOC101856161"
"186","LOC101858198"
"187","LOC101849576"
"188","LOC101858523"
"189","LOC101862280"
"190","LOC101844973"
"191","LOC118478895"
"192","LOC101846410"
"193","LOC101863444"
"194","LOC101849147"
"195","LOC101846193"
"196","LOC101851570"
"197","LOC101864090"
"198","LOC106013940"
"199","LOC101860221"
"200","LOC101861914"
"201","LOC101851169"
"202","LOC101851693"
"203","LOC106011500"
"204","LOC101848651"
"205","LOC101857022"
"206","LOC101848186"
"207","LOC101857502"
"208","LOC101848541"
"209","LOC101845211"
"210","LOC101851818"
"211","LOC101862289"
"212","LOC101845714"
"213","LOC101860907"
"214","LOC101848923"
"215","LOC101859299"
"216","LOC101849696"
"217","LOC101850745"
"218","LOC101845268"
"219","LOC101850663"
"220","LOC101855982"
"221","LOC101850254"
"222","LOC101846979"
"223","LOC101848595"
"224","LOC101863541"
"225","LOC101862675"
"226","LOC101848403"
"227","LOC101845461"
"228","LOC101853866"
"229","LOC101861604"
"230","LOC100533247"
"231","LOC106013653"
"232","LOC106012686"
"233","LOC101848406"
"234","LOC101850276"
"235","LOC101857275"
"236","LOC106012457"
"237","LOC101858045"
