,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.0167011355650981,2,25,2,0.08,1,CORUM:6479,CORUM,Cubilin-intrinsic factor-cobalamin complex,3383,2158,CORUM:0000000
2,query_1,TRUE,2.95085160536519e-08,123,245,15,0.0612244897959184,0.121951219512195,GO:0006805,GO:BP,xenobiotic metabolic process,21031,2515,GO:0044237/GO:0071466
3,query_1,TRUE,2.23369852163912e-07,192,245,17,0.0693877551020408,0.0885416666666667,GO:0071466,GO:BP,cellular response to xenobiotic stimulus,21031,17200,GO:0009410/GO:0070887
4,query_1,TRUE,1.66306587211842e-06,7669,245,136,0.555102040816327,0.0177337332116312,GO:0032501,GO:BP,multicellular organismal process,21031,7883,GO:0008150
5,query_1,TRUE,5.96695391226106e-06,6453,245,119,0.485714285714286,0.0184410351774369,GO:0032502,GO:BP,developmental process,21031,7884,GO:0008150
6,query_1,TRUE,1.62303336844867e-05,432,245,22,0.0897959183673469,0.0509259259259259,GO:0009410,GO:BP,response to xenobiotic stimulus,21031,3512,GO:0042221
7,query_1,TRUE,2.19001860753304e-05,1388,245,42,0.171428571428571,0.0302593659942363,GO:0006629,GO:BP,lipid metabolic process,21031,2369,GO:0044238/GO:0071704
8,query_1,TRUE,2.40570629188962e-05,4366,245,89,0.363265306122449,0.0203847915712322,GO:0030154,GO:BP,cell differentiation,21031,6924,GO:0048869
9,query_1,TRUE,2.43332344967812e-05,4367,245,89,0.363265306122449,0.0203801236546828,GO:0048869,GO:BP,cellular developmental process,21031,13537,GO:0009987/GO:0032502
10,query_1,TRUE,3.0610204511109e-05,1514,245,44,0.179591836734694,0.0290620871862616,GO:0048699,GO:BP,generation of neurons,21031,13381,GO:0022008
11,query_1,TRUE,3.25992088866129e-05,3973,245,83,0.338775510204082,0.0208910143468412,GO:0048731,GO:BP,system development,21031,13413,GO:0007275/GO:0048856
12,query_1,TRUE,3.70903647181158e-05,2531,245,61,0.248979591836735,0.024101145792177,GO:0007399,GO:BP,nervous system development,21031,2932,GO:0048731
13,query_1,TRUE,4.08273193872258e-05,1813,245,49,0.2,0.027027027027027,GO:0044281,GO:BP,small molecule metabolic process,21031,11317,GO:0008152
14,query_1,TRUE,4.91064553283002e-05,5899,245,109,0.444897959183673,0.0184777080861163,GO:0048856,GO:BP,anatomical structure development,21031,13525,GO:0032502
15,query_1,TRUE,9.52689451152557e-05,397,245,20,0.0816326530612245,0.0503778337531486,GO:0006631,GO:BP,fatty acid metabolic process,21031,2370,GO:0032787/GO:0044255
16,query_1,TRUE,0.000105457202374081,4643,245,91,0.371428571428571,0.0195993969416326,GO:0007275,GO:BP,multicellular organism development,21031,2835,GO:0032501/GO:0048856
17,query_1,TRUE,0.000155363095984199,1005,245,33,0.13469387755102,0.0328358208955224,GO:0044255,GO:BP,cellular lipid metabolic process,21031,11307,GO:0006629/GO:0044237
18,query_1,TRUE,0.000195399817766792,1225,245,37,0.151020408163265,0.0302040816326531,GO:0060429,GO:BP,epithelium development,21031,15095,GO:0009888
19,query_1,TRUE,0.000195960430607175,3039,245,67,0.273469387755102,0.0220467258966765,GO:0048513,GO:BP,animal organ development,21031,13223,GO:0048856
20,query_1,TRUE,0.000305226088091399,12,245,5,0.0204081632653061,0.416666666666667,GO:0009812,GO:BP,flavonoid metabolic process,21031,3734,GO:0071704
21,query_1,TRUE,0.000312951554167022,2684,245,61,0.248979591836735,0.0227272727272727,GO:0009653,GO:BP,anatomical structure morphogenesis,21031,3608,GO:0032502/GO:0048856
22,query_1,TRUE,0.0003810639570292,179,245,13,0.0530612244897959,0.0726256983240224,GO:0015718,GO:BP,monocarboxylic acid transport,21031,4897,GO:0046942
23,query_1,TRUE,0.000386193730507056,2010,245,50,0.204081632653061,0.0248756218905473,GO:0009888,GO:BP,tissue development,21031,3786,GO:0048856
24,query_1,TRUE,0.000632594763590783,1742,245,45,0.183673469387755,0.0258323765786452,GO:0022008,GO:BP,neurogenesis,21031,6799,GO:0007399/GO:0030154
25,query_1,TRUE,0.000760677488413145,921,245,30,0.122448979591837,0.0325732899022801,GO:0043436,GO:BP,oxoacid metabolic process,21031,11048,GO:0006082
26,query_1,TRUE,0.000871902702205545,927,245,30,0.122448979591837,0.0323624595469256,GO:0006082,GO:BP,organic acid metabolic process,21031,1967,GO:0044237/GO:0044281/GO:0071704
27,query_1,TRUE,0.000933008372150534,5986,245,106,0.43265306122449,0.0177079852990311,GO:1901564,GO:BP,organonitrogen compound metabolic process,21031,22098,GO:0006807/GO:0071704
28,query_1,TRUE,0.000968501006973901,1534,245,41,0.16734693877551,0.0267275097783572,GO:0055085,GO:BP,transmembrane transport,21031,14701,GO:0006810/GO:0009987
29,query_1,TRUE,0.00118609872519916,1431,245,39,0.159183673469388,0.0272536687631027,GO:0030182,GO:BP,neuron differentiation,21031,6936,GO:0030154/GO:0048699
30,query_1,TRUE,0.00127846024839174,305,245,16,0.0653061224489796,0.0524590163934426,GO:0048562,GO:BP,embryonic organ morphogenesis,21031,13260,GO:0009887/GO:0048568/GO:0048598
31,query_1,TRUE,0.00141039103873399,111,245,10,0.0408163265306122,0.0900900900900901,GO:0033559,GO:BP,unsaturated fatty acid metabolic process,21031,8569,GO:0006631
32,query_1,TRUE,0.00186349606685098,353,245,17,0.0693877551020408,0.0481586402266289,GO:0046942,GO:BP,carboxylic acid transport,21031,12859,GO:0015711/GO:0015849
33,query_1,TRUE,0.00193740226244199,354,245,17,0.0693877551020408,0.0480225988700565,GO:0015849,GO:BP,organic acid transport,21031,5017,GO:0071702
34,query_1,TRUE,0.00289856295776168,120,245,10,0.0408163265306122,0.0833333333333333,GO:0006690,GO:BP,icosanoid metabolic process,21031,2425,GO:0019752
35,query_1,TRUE,0.00315233228328462,288,245,15,0.0612244897959184,0.0520833333333333,GO:0090596,GO:BP,sensory organ morphogenesis,21031,18892,GO:0007423/GO:0009887
36,query_1,TRUE,0.00400547541752328,740,245,25,0.102040816326531,0.0337837837837838,GO:0030855,GO:BP,epithelial cell differentiation,21031,7175,GO:0030154/GO:0060429
37,query_1,TRUE,0.00601982258941321,610,245,22,0.0897959183673469,0.0360655737704918,GO:0007423,GO:BP,sensory organ development,21031,2952,GO:0048513
38,query_1,TRUE,0.00689894110647414,132,245,10,0.0408163265306122,0.0757575757575758,GO:0048593,GO:BP,camera-type eye morphogenesis,21031,13287,GO:0043010/GO:0048592
39,query_1,TRUE,0.0080929670612015,2819,245,59,0.240816326530612,0.0209294075913444,GO:0048468,GO:BP,cell development,21031,13194,GO:0030154/GO:0048856/GO:0048869
40,query_1,TRUE,0.00825740981411623,1035,245,30,0.122448979591837,0.0289855072463768,GO:0009887,GO:BP,animal organ morphogenesis,21031,3785,GO:0009653/GO:0048513
41,query_1,TRUE,0.0084326887220014,1091,245,31,0.126530612244898,0.0284142988084326,GO:0035295,GO:BP,tube development,21031,9257,GO:0007275/GO:0048856
42,query_1,TRUE,0.00982962110972761,629,245,22,0.0897959183673469,0.0349761526232114,GO:0032787,GO:BP,monocarboxylic acid metabolic process,21031,8101,GO:0019752
43,query_1,TRUE,0.0137048893020875,899,245,27,0.110204081632653,0.0300333704115684,GO:0019752,GO:BP,carboxylic acid metabolic process,21031,6252,GO:0043436
44,query_1,TRUE,0.0180112994178538,463,245,18,0.073469387755102,0.0388768898488121,GO:0048568,GO:BP,embryonic organ development,21031,13265,GO:0009790/GO:0048513
45,query_1,TRUE,0.0221853644366693,26,245,5,0.0204081632653061,0.192307692307692,GO:0048596,GO:BP,embryonic camera-type eye morphogenesis,21031,13288,GO:0031076/GO:0048048/GO:0048593
46,query_1,TRUE,0.0245339039126172,617,245,21,0.0857142857142857,0.0340356564019449,GO:0048598,GO:BP,embryonic morphogenesis,21031,13290,GO:0009653/GO:0009790
47,query_1,TRUE,0.0376170523631772,8976,245,137,0.559183673469388,0.0152629233511586,GO:0050896,GO:BP,response to stimulus,21031,13774,GO:0008150
48,query_1,TRUE,0.0401430806197269,445,245,17,0.0693877551020408,0.0382022471910112,GO:0015711,GO:BP,organic anion transport,21031,4890,GO:0071702
49,query_1,TRUE,0.0461467166701702,2846,245,57,0.23265306122449,0.0200281096275474,GO:0065008,GO:BP,regulation of biological quality,21031,16385,GO:0065007
50,query_1,TRUE,7.21053969700577e-07,178,249,15,0.0602409638554217,0.0842696629213483,GO:0005775,GO:CC,vacuolar lumen,22097,342,GO:0005773/GO:0070013
51,query_1,TRUE,1.25929322163181e-06,1266,249,40,0.160642570281124,0.0315955766192733,GO:0098590,GO:CC,plasma membrane region,22097,3217,GO:0005886/GO:0016020
52,query_1,TRUE,6.87770597687369e-06,100,249,11,0.0441767068273092,0.11,GO:0043202,GO:CC,lysosomal lumen,22097,1869,GO:0005764/GO:0005775
53,query_1,TRUE,1.16293878176898e-05,2389,249,57,0.228915662650602,0.0238593553788196,GO:0042995,GO:CC,cell projection,22097,1845,GO:0110165
54,query_1,TRUE,1.70173280321953e-05,762,249,28,0.112449799196787,0.036745406824147,GO:0000323,GO:CC,lytic vacuole,22097,53,GO:0005773
55,query_1,TRUE,1.70173280321953e-05,762,249,28,0.112449799196787,0.036745406824147,GO:0005764,GO:CC,lysosome,22097,332,GO:0000323
56,query_1,TRUE,2.39934401452359e-05,3303,249,70,0.281124497991968,0.0211928549803209,GO:0005615,GO:CC,extracellular space,22097,232,GO:0005576/GO:0110165
57,query_1,TRUE,3.63617616287082e-05,2277,249,54,0.216867469879518,0.0237154150197628,GO:0120025,GO:CC,plasma membrane bounded cell projection,22097,3443,GO:0042995
58,query_1,TRUE,4.23010568653009e-05,473,249,21,0.0843373493975904,0.0443974630021142,GO:0045177,GO:CC,apical part of cell,22097,2136,GO:0110165
59,query_1,TRUE,5.29699273754643e-05,855,249,29,0.116465863453815,0.0339181286549708,GO:0005773,GO:CC,vacuole,22097,340,GO:0005737/GO:0043231
60,query_1,TRUE,0.00010362729079306,4213,249,81,0.325301204819277,0.0192262046047947,GO:0005576,GO:CC,extracellular region,22097,198,GO:0110165
61,query_1,TRUE,0.000145420018575892,6228,249,107,0.429718875502008,0.0171804752729608,GO:0071944,GO:CC,cell periphery,22097,2793,GO:0110165
62,query_1,TRUE,0.00260252920270797,12345,249,173,0.694779116465863,0.0140137707573917,GO:0005737,GO:CC,cytoplasm,22097,309,GO:0005622/GO:0110165
63,query_1,TRUE,0.00328736427651611,5742,249,96,0.385542168674699,0.0167189132706374,GO:0005886,GO:CC,plasma membrane,22097,422,GO:0016020/GO:0071944
64,query_1,TRUE,0.00662651365610267,407,249,16,0.0642570281124498,0.0393120393120393,GO:0016324,GO:CC,apical plasma membrane,22097,732,GO:0045177/GO:0098590
65,query_1,TRUE,0.00854318467180873,1468,249,35,0.140562248995984,0.023841961852861,GO:0045202,GO:CC,synapse,22097,2140,GO:0030054
66,query_1,TRUE,0.010137975552148,16,249,4,0.0160642570281124,0.25,GO:0005892,GO:CC,acetylcholine-gated channel complex,22097,426,GO:0034702/GO:0098802
67,query_1,TRUE,0.0112096979505291,425,249,16,0.0642570281124498,0.0376470588235294,GO:0062023,GO:CC,collagen-containing extracellular matrix,22097,2360,GO:0031012
68,query_1,TRUE,0.0156990817857653,4777,249,81,0.325301204819277,0.0169562486916475,GO:0012505,GO:CC,endomembrane system,22097,687,GO:0110165
69,query_1,TRUE,0.0179794929321688,2109,249,44,0.176706827309237,0.0208629682313893,GO:0070062,GO:CC,extracellular exosome,22097,2418,GO:0005615/GO:1903561
70,query_1,TRUE,0.0234643262156523,2133,249,44,0.176706827309237,0.0206282231598687,GO:1903561,GO:CC,extracellular vesicle,22097,3690,GO:0031982/GO:0065010
71,query_1,TRUE,0.0237230446973939,2134,249,44,0.176706827309237,0.0206185567010309,GO:0043230,GO:CC,extracellular organelle,22097,1882,GO:0005576/GO:0043226
72,query_1,TRUE,0.0237230446973939,2134,249,44,0.176706827309237,0.0206185567010309,GO:0065010,GO:CC,extracellular membrane-bounded organelle,22097,2398,GO:0043227/GO:0043230
73,query_1,TRUE,0.0248421570185423,768,249,22,0.0883534136546185,0.0286458333333333,GO:0005929,GO:CC,cilium,22097,453,GO:0043227/GO:0120025
74,query_1,TRUE,0.0250984675866628,555,249,18,0.072289156626506,0.0324324324324324,GO:0031012,GO:CC,extracellular matrix,22097,1028,GO:0030312
75,query_1,TRUE,0.0256804037568649,556,249,18,0.072289156626506,0.0323741007194245,GO:0030312,GO:CC,external encapsulating structure,22097,927,GO:0071944/GO:0110165
76,query_1,TRUE,0.034969064918174,281,249,12,0.0481927710843374,0.0427046263345196,GO:0009925,GO:CC,basal plasma membrane,22097,658,GO:0045178/GO:0098590
77,query_1,TRUE,1.9410147872926e-06,283,257,19,0.0739299610894942,0.0671378091872792,GO:0015291,GO:MF,secondary active transmembrane transporter activity,20212,2457,GO:0022804
78,query_1,TRUE,2.3130857754121e-05,6357,257,122,0.474708171206226,0.0191914425043259,GO:0036094,GO:MF,small molecule binding,20212,5395,GO:0005488
79,query_1,TRUE,8.62104590200042e-05,359,257,19,0.0739299610894942,0.052924791086351,GO:0106310,GO:MF,protein serine kinase activity,20212,10248,GO:0004672
80,query_1,TRUE,0.000134700197798174,5758,257,111,0.431906614785992,0.0192775269190691,GO:0003824,GO:MF,catalytic activity,20212,368,GO:0003674
81,query_1,TRUE,0.000175101455393351,453,257,21,0.0817120622568093,0.0463576158940397,GO:0022804,GO:MF,active transmembrane transporter activity,20212,3766,GO:0022857
82,query_1,TRUE,0.000184456415233354,6146,257,116,0.45136186770428,0.018874064432151,GO:0043167,GO:MF,ion binding,20212,5721,GO:0036094
83,query_1,TRUE,0.000186156278958762,147,257,12,0.046692607003891,0.0816326530612245,GO:0015293,GO:MF,symporter activity,20212,2459,GO:0015291
84,query_1,TRUE,0.000221050266109946,178,257,13,0.0505836575875486,0.0730337078651685,GO:0046943,GO:MF,carboxylic acid transmembrane transporter activity,20212,6254,GO:0005342/GO:0008514
85,query_1,TRUE,0.000235696542817044,179,257,13,0.0505836575875486,0.0726256983240224,GO:0005342,GO:MF,organic acid transmembrane transporter activity,20212,1425,GO:0022857
86,query_1,TRUE,0.000367137308633114,434,257,20,0.0778210116731518,0.0460829493087558,GO:0004674,GO:MF,protein serine/threonine kinase activity,20212,977,GO:0004672
87,query_1,TRUE,0.000515972182492989,257,257,15,0.0583657587548638,0.0583657587548638,GO:0008514,GO:MF,organic anion transmembrane transporter activity,20212,1769,GO:0022857
88,query_1,TRUE,0.00138533315545105,1239,257,36,0.140077821011673,0.0290556900726392,GO:0005215,GO:MF,transporter activity,20212,1354,GO:0003674
89,query_1,TRUE,0.00163185663838174,51,257,7,0.0272373540856031,0.137254901960784,GO:1901618,GO:MF,organic hydroxy compound transmembrane transporter activity,20212,10928,GO:0022857
90,query_1,TRUE,0.00180075329250519,2452,257,57,0.221789883268482,0.0232463295269168,GO:0043168,GO:MF,anion binding,20212,5722,GO:0043167
91,query_1,TRUE,0.00318391417528147,1127,257,33,0.1284046692607,0.0292812777284827,GO:0022857,GO:MF,transmembrane transporter activity,20212,3792,GO:0005215
92,query_1,TRUE,0.00409136409111372,23,257,5,0.0194552529182879,0.217391304347826,GO:0022848,GO:MF,acetylcholine-gated monoatomic cation-selective channel activity,20212,3784,GO:0005231/GO:0099094/GO:1904315
