"","cluster","cluster_col"
"LOC101856946","C1","#8DD3C7"
"LOC101851296","C1","#8DD3C7"
"LOC101853256","C1","#8DD3C7"
"LOC101859546","C1","#8DD3C7"
"LOC101863191","C1","#8DD3C7"
"LOC101857115","C1","#8DD3C7"
"LOC101851870","C1","#8DD3C7"
"LOC101845993","C1","#8DD3C7"
"LOC101862775","C1","#8DD3C7"
"LOC101849918","C1","#8DD3C7"
"LOC101849963","C1","#8DD3C7"
"LOC101859433","C1","#8DD3C7"
"LOC101846924","C1","#8DD3C7"
"LOC118478584","C1","#8DD3C7"
"LOC101861152","C1","#8DD3C7"
"LOC101847260","C1","#8DD3C7"
"LOC101846411","C1","#8DD3C7"
"LOC101860576","C1","#8DD3C7"
"LOC101861137","C1","#8DD3C7"
"LOC101859761","C1","#8DD3C7"
"LOC101850152","C1","#8DD3C7"
"LOC101848439","C1","#8DD3C7"
"LOC101856535","C1","#8DD3C7"
"LOC118478245","C1","#8DD3C7"
"LOC101852216","C1","#8DD3C7"
"LOC101850669","C1","#8DD3C7"
"LOC101845051","C1","#8DD3C7"
"LOC101849364","C1","#8DD3C7"
"LOC101864424","C1","#8DD3C7"
"LOC101857319","C1","#8DD3C7"
"LOC101862002","C1","#8DD3C7"
"LOC106013501","C1","#8DD3C7"
"LOC101848282","C1","#8DD3C7"
"LOC101853331","C1","#8DD3C7"
"LOC118478732","C1","#8DD3C7"
"LOC101857453","C1","#8DD3C7"
"LOC118477856","C1","#8DD3C7"
"LOC101850691","C1","#8DD3C7"
"LOC101845482","C1","#8DD3C7"
"LOC101848778","C1","#8DD3C7"
"LOC101847091","C1","#8DD3C7"
"LOC101850492","C1","#8DD3C7"
"LOC101845268","C1","#8DD3C7"
"LOC101857686","C1","#8DD3C7"
"LOC101852464","C1","#8DD3C7"
"LOC106014143","C1","#8DD3C7"
"LOC101858944","C1","#8DD3C7"
"LOC101857404","C1","#8DD3C7"
"LOC101851205","C1","#8DD3C7"
"LOC118477331","C1","#8DD3C7"
"LOC101853586","C1","#8DD3C7"
"LOC101856519","C1","#8DD3C7"
"LOC101845468","C1","#8DD3C7"
"LOC101852186","C1","#8DD3C7"
"LOC101846049","C1","#8DD3C7"
"LOC106011223","C1","#8DD3C7"
"LOC101859745","C1","#8DD3C7"
"LOC101853766","C1","#8DD3C7"
"LOC101863840","C2","#FFFFB3"
"LOC101845924","C2","#FFFFB3"
"LOC101863249","C2","#FFFFB3"
"LOC101857842","C2","#FFFFB3"
"LOC101847902","C2","#FFFFB3"
"LOC118477412","C2","#FFFFB3"
"LOC101855111","C2","#FFFFB3"
"LOC101853146","C2","#FFFFB3"
"LOC101851502","C2","#FFFFB3"
"LOC101863152","C2","#FFFFB3"
"LOC101852333","C2","#FFFFB3"
"LOC106013587","C2","#FFFFB3"
"LOC101850256","C2","#FFFFB3"
"LOC106013142","C2","#FFFFB3"
"LOC101845269","C2","#FFFFB3"
"LOC101847273","C2","#FFFFB3"
"LOC101856078","C2","#FFFFB3"
"LOC101849839","C2","#FFFFB3"
"LOC101856319","C2","#FFFFB3"
"LOC101852213","C2","#FFFFB3"
"LOC101845589","C2","#FFFFB3"
"LOC118478367","C2","#FFFFB3"
"LOC101852757","C2","#FFFFB3"
"LOC106012300","C2","#FFFFB3"
"LOC101864629","C2","#FFFFB3"
"LOC118477558","C2","#FFFFB3"
"LOC101845440","C2","#FFFFB3"
"LOC101845209","C2","#FFFFB3"
"LOC106012790","C2","#FFFFB3"
"LOC106012473","C2","#FFFFB3"
"LOC118478911","C2","#FFFFB3"
"LOC101846193","C2","#FFFFB3"
"LOC101845062","C2","#FFFFB3"
"LOC101845215","C2","#FFFFB3"
"LOC101860344","C2","#FFFFB3"
"LOC101859526","C2","#FFFFB3"
"LOC101864305","C2","#FFFFB3"
"LOC101857004","C2","#FFFFB3"
"LOC101863111","C2","#FFFFB3"
"LOC101847168","C2","#FFFFB3"
"LOC101846786","C2","#FFFFB3"
"LOC101848162","C2","#FFFFB3"
"LOC101852582","C2","#FFFFB3"
"LOC101861801","C2","#FFFFB3"
"LOC101849772","C2","#FFFFB3"
"LOC101848807","C2","#FFFFB3"
"LOC101863600","C2","#FFFFB3"
"LOC101848521","C2","#FFFFB3"
"LOC101862186","C2","#FFFFB3"
"LOC106013512","C2","#FFFFB3"
"LOC101846951","C2","#FFFFB3"
"LOC101850638","C2","#FFFFB3"
"LOC101855637","C2","#FFFFB3"
"LOC101857411","C2","#FFFFB3"
"LOC118477315","C2","#FFFFB3"
"LOC101850952","C2","#FFFFB3"
"LOC101856720","C2","#FFFFB3"
"LOC106012151","C2","#FFFFB3"
