,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.00166554743639029,1551,86,21,0.244186046511628,0.0135396518375242,GO:0043207,GO:BP,response to external biotic stimulus,21031,10929,GO:0009605/GO:0009607
2,query_1,TRUE,0.00239148562868348,1586,86,21,0.244186046511628,0.0132408575031526,GO:0009607,GO:BP,response to biotic stimulus,21031,3572,GO:0050896
3,query_1,TRUE,0.00417448076951815,2723,86,28,0.325581395348837,0.0102827763496144,GO:0009605,GO:BP,response to external stimulus,21031,3570,GO:0050896
4,query_1,TRUE,0.00664880559589307,1548,86,20,0.232558139534884,0.0129198966408269,GO:0051707,GO:BP,response to other organism,21031,14359,GO:0043207/GO:0044419
5,query_1,TRUE,0.00902574289993006,1724,86,21,0.244186046511628,0.0121809744779582,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,21031,11378,GO:0008150
6,query_1,TRUE,0.0123203987181,2,93,2,0.021505376344086,1,GO:0031711,GO:MF,bradykinin receptor binding,20212,4178,GO:0001664
7,query_1,TRUE,0.0142117201092177,140,51,6,0.117647058823529,0.0428571428571429,KEGG:04120,KEGG,Ubiquitin mediated proteolysis,8484,270,KEGG:00000
8,query_1,TRUE,0.022323582344601,35,65,4,0.0615384615384615,0.114285714285714,REAC:R-HSA-936440,REAC,Negative regulators of DDX58/IFIH1 signaling,10842,1533,REAC:R-HSA-168928
9,query_1,TRUE,0.0370379226445759,15,65,3,0.0461538461538462,0.2,REAC:R-HSA-9706369,REAC,Negative regulation of FLT3,10842,1524,REAC:R-HSA-9607240
10,query_1,TRUE,0.0453900783032034,16,65,3,0.0461538461538462,0.1875,REAC:R-HSA-110312,REAC,Translesion synthesis by REV1,10842,2499,REAC:R-HSA-110313
11,query_1,TRUE,0.0292117312024869,4,48,2,0.0416666666666667,0.5,WP:WP4799,WP,Downregulation of ACE2 by SARS CoV 2 spike protein,8286,526,WP:000000
