"","cluster","cluster_col"
"LOC101856078","C1","#8DD3C7"
"LOC101859634","C1","#8DD3C7"
"LOC101856526","C1","#8DD3C7"
"LOC101864424","C1","#8DD3C7"
"LOC101861846","C1","#8DD3C7"
"LOC106011349","C1","#8DD3C7"
"LOC101855609","C1","#8DD3C7"
"LOC101855824","C1","#8DD3C7"
"LOC106013712","C1","#8DD3C7"
"LOC101853468","C1","#8DD3C7"
"LOC101856141","C1","#8DD3C7"
"LOC118477418","C1","#8DD3C7"
"LOC100533370","C1","#8DD3C7"
"LOC101854325","C1","#8DD3C7"
"LOC101852781","C1","#8DD3C7"
"LOC100533452","C1","#8DD3C7"
"LOC101845678","C1","#8DD3C7"
"LOC101850376","C1","#8DD3C7"
"GnRH","C1","#8DD3C7"
"LOC101856076","C1","#8DD3C7"
"LOC100533366","C1","#8DD3C7"
"LOC101856757","C1","#8DD3C7"
"LOC118477561","C1","#8DD3C7"
"LOC101852275","C1","#8DD3C7"
"LOC101856929","C1","#8DD3C7"
"LOC101849354","C1","#8DD3C7"
"LOC101848910","C1","#8DD3C7"
"LOC101856085","C1","#8DD3C7"
"LOC118477225","C1","#8DD3C7"
"LOC101853460","C1","#8DD3C7"
"LOC118477166","C1","#8DD3C7"
"LOC101845204","C1","#8DD3C7"
"LOC101859251","C1","#8DD3C7"
"LOC101858618","C1","#8DD3C7"
"LOC101857309","C1","#8DD3C7"
"LOC101851352","C1","#8DD3C7"
"LOC101846403","C1","#8DD3C7"
"LOC101861578","C1","#8DD3C7"
"LOC106013659","C1","#8DD3C7"
"LOC101856901","C1","#8DD3C7"
"LOC101848143","C1","#8DD3C7"
"LOC101847632","C1","#8DD3C7"
"LOC101857958","C1","#8DD3C7"
"LOC101847946","C1","#8DD3C7"
"LOC101857087","C1","#8DD3C7"
"LOC100533409","C1","#8DD3C7"
"LOC101855248","C1","#8DD3C7"
"TRNAV-UAC","C1","#8DD3C7"
"LOC101855583","C1","#8DD3C7"
"LOC101850424","C1","#8DD3C7"
"LOC101855720","C1","#8DD3C7"
"LOC101845173","C1","#8DD3C7"
"LOC101847612","C1","#8DD3C7"
"LOC118478779","C1","#8DD3C7"
"LOC106011150","C1","#8DD3C7"
"LOC101847197","C1","#8DD3C7"
"LOC106013686","C1","#8DD3C7"
"LOC101848961","C1","#8DD3C7"
"LOC101845809","C1","#8DD3C7"
"LOC101855502","C1","#8DD3C7"
"LOC100533295","C1","#8DD3C7"
"LOC101853607","C1","#8DD3C7"
"LOC101855320","C1","#8DD3C7"
"LOC101859930","C1","#8DD3C7"
"LOC106012485","C1","#8DD3C7"
"LOC101855745","C1","#8DD3C7"
"LOC106011070","C1","#8DD3C7"
"LOC106011510","C1","#8DD3C7"
"LOC101848736","C1","#8DD3C7"
"LOC101861513","C1","#8DD3C7"
"LOC106012567","C1","#8DD3C7"
"LOC101862853","C1","#8DD3C7"
"LOC106013952","C1","#8DD3C7"
"LOC118478361","C1","#8DD3C7"
"LOC118477141","C1","#8DD3C7"
"LOC101858149","C1","#8DD3C7"
"LOC106013754","C1","#8DD3C7"
"LOC118478197","C1","#8DD3C7"
"LOC101858170","C1","#8DD3C7"
"LOC118478693","C1","#8DD3C7"
"LOC101856640","C1","#8DD3C7"
"LOC101847919","C1","#8DD3C7"
"LOC101858795","C1","#8DD3C7"
"LOC101857228","C1","#8DD3C7"
"LOC101855389","C1","#8DD3C7"
"LOC101858351","C1","#8DD3C7"
"LOC101847768","C1","#8DD3C7"
"LOC106013913","C1","#8DD3C7"
"LOC101852535","C1","#8DD3C7"
"LOC101860756","C1","#8DD3C7"
"LOC101845570","C1","#8DD3C7"
"LOC106011442","C1","#8DD3C7"
"LOC106012704","C1","#8DD3C7"
"LOC118477442","C1","#8DD3C7"
"LOC106012273","C1","#8DD3C7"
"LOC118479122","C1","#8DD3C7"
"LOC106013000","C1","#8DD3C7"
"LOC106011323","C1","#8DD3C7"
"LOC101857128","C1","#8DD3C7"
"LOC101849413","C1","#8DD3C7"
"LOC101853674","C1","#8DD3C7"
"LOC101862070","C1","#8DD3C7"
"LOC118477555","C1","#8DD3C7"
"LOC101850319","C1","#8DD3C7"
"LOC101854668","C1","#8DD3C7"
"LOC101864245","C2","#FFFFB3"
"LOC101857615","C2","#FFFFB3"
