,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.00164686432687896,1346,24,10,0.416666666666667,0.00742942050520059,GO:0006468,GO:BP,protein phosphorylation,21031,2231,GO:0016310/GO:0036211
2,query_1,TRUE,0.00488957575670847,5959,24,18,0.75,0.00302064104715556,GO:0007165,GO:BP,signal transduction,21031,2760,GO:0007154/GO:0009987/GO:0023052/GO:0050794/GO:0051716
3,query_1,TRUE,0.00703596591673051,1579,24,10,0.416666666666667,0.00633312222925903,GO:0016310,GO:BP,phosphorylation,21031,5261,GO:0006796
4,query_1,TRUE,0.012222071473787,2571,24,12,0.5,0.00466744457409568,GO:0006796,GO:BP,phosphate-containing compound metabolic process,21031,2510,GO:0006793
5,query_1,TRUE,0.0135299886785615,2596,24,12,0.5,0.00462249614791988,GO:0006793,GO:BP,phosphorus metabolic process,21031,2507,GO:0044237
6,query_1,TRUE,0.0168480934201077,6447,24,18,0.75,0.0027919962773383,GO:0023052,GO:BP,signaling,21031,6877,GO:0050789
7,query_1,TRUE,0.0209056380514412,6537,24,18,0.75,0.00275355667737494,GO:0007154,GO:BP,cell communication,21031,2749,GO:0009987
8,query_1,TRUE,0.0226355353469131,7394,24,19,0.791666666666667,0.00256965106843387,GO:0051716,GO:BP,cellular response to stimulus,21031,14364,GO:0009987/GO:0050896
9,query_1,TRUE,0.0324303984311971,17,25,2,0.08,0.117647058823529,GO:0031588,GO:CC,nucleotide-activated protein kinase complex,22097,1167,GO:0140535/GO:1902911
10,query_1,TRUE,2.54982635448544e-08,434,26,10,0.384615384615385,0.0230414746543779,GO:0004674,GO:MF,protein serine/threonine kinase activity,20212,977,GO:0004672
11,query_1,TRUE,1.32350505199284e-07,359,26,9,0.346153846153846,0.0250696378830084,GO:0106310,GO:MF,protein serine kinase activity,20212,10248,GO:0004672
12,query_1,TRUE,4.71983234508148e-07,586,26,10,0.384615384615385,0.0170648464163823,GO:0004672,GO:MF,protein kinase activity,20212,975,GO:0016301/GO:0016773/GO:0140096
13,query_1,TRUE,2.49485166103513e-06,697,26,10,0.384615384615385,0.0143472022955524,GO:0016773,GO:MF,phosphotransferase activity. alcohol group as acceptor,20212,2967,GO:0016772
14,query_1,TRUE,7.9199057022937e-06,787,26,10,0.384615384615385,0.0127064803049555,GO:0016301,GO:MF,kinase activity,20212,2763,GO:0016772
15,query_1,TRUE,5.08130995716464e-05,959,26,10,0.384615384615385,0.0104275286757039,GO:0016772,GO:MF,transferase activity. transferring phosphorus-containing groups,20212,2966,GO:0016740
16,query_1,TRUE,0.000116180501775482,2452,26,14,0.538461538461538,0.00570962479608483,GO:0043168,GO:MF,anion binding,20212,5722,GO:0043167
17,query_1,TRUE,0.00300948214223808,1500,26,10,0.384615384615385,0.00666666666666667,GO:0005524,GO:MF,ATP binding,20212,1500,GO:0032559/GO:0035639
18,query_1,TRUE,0.00314088178837775,6146,26,19,0.730769230769231,0.00309144158802473,GO:0043167,GO:MF,ion binding,20212,5721,GO:0036094
19,query_1,TRUE,0.00370147196166286,2325,26,12,0.461538461538462,0.00516129032258065,GO:1901363,GO:MF,heterocyclic compound binding,20212,10912,GO:0036094
20,query_1,TRUE,0.00422787241746098,2355,26,12,0.461538461538462,0.00509554140127389,GO:0140096,GO:MF,catalytic activity. acting on a protein,20212,10409,GO:0003824
21,query_1,TRUE,0.00425985995646801,1560,26,10,0.384615384615385,0.00641025641025641,GO:0032559,GO:MF,adenyl ribonucleotide binding,20212,4457,GO:0030554/GO:0032555
22,query_1,TRUE,0.00541616397093455,6357,26,19,0.730769230769231,0.00298883120969011,GO:0036094,GO:MF,small molecule binding,20212,5395,GO:0005488
23,query_1,TRUE,0.00739518548146003,1661,26,10,0.384615384615385,0.00602046959662854,GO:0030554,GO:MF,adenyl nucleotide binding,20212,3946,GO:0017076
24,query_1,TRUE,0.0190927012645013,1853,26,10,0.384615384615385,0.00539665407447383,GO:0035639,GO:MF,purine ribonucleoside triphosphate binding,20212,5351,GO:0043168/GO:1901265/GO:1901363
25,query_1,TRUE,0.0257625386853494,1919,26,10,0.384615384615385,0.00521104742053153,GO:0032555,GO:MF,purine ribonucleotide binding,20212,4453,GO:0017076/GO:0032553
26,query_1,TRUE,0.0258968650693933,2350,26,11,0.423076923076923,0.00468085106382979,GO:0016740,GO:MF,transferase activity,20212,2939,GO:0003824
27,query_1,TRUE,0.0277744012907703,1936,26,10,0.384615384615385,0.00516528925619835,GO:0032553,GO:MF,ribonucleotide binding,20212,4451,GO:0000166/GO:0097367
28,query_1,TRUE,0.0399884857837369,2021,26,10,0.384615384615385,0.0049480455220188,GO:0017076,GO:MF,purine nucleotide binding,20212,3134,GO:0000166
29,query_1,TRUE,0.0219863611146614,202,15,4,0.266666666666667,0.0198019801980198,KEGG:04510,KEGG,Focal adhesion,8484,313,KEGG:00000
