"","cluster","cluster_col"
"LOC101857845","C1","#8DD3C7"
"LOC101862142","C1","#8DD3C7"
"LOC106011350","C1","#8DD3C7"
"LOC106012308","C1","#8DD3C7"
"LOC106012614","C1","#8DD3C7"
"LOC101854536","C1","#8DD3C7"
"LOC106013142","C1","#8DD3C7"
"LOC101856961","C1","#8DD3C7"
"LOC101847273","C1","#8DD3C7"
"LOC101845269","C1","#8DD3C7"
"LOC101850439","C1","#8DD3C7"
"LOC101856344","C1","#8DD3C7"
"LOC101853719","C1","#8DD3C7"
"LOC101862942","C1","#8DD3C7"
"LOC101848188","C1","#8DD3C7"
"LOC118477412","C1","#8DD3C7"
"LOC101857047","C1","#8DD3C7"
"LOC101851971","C1","#8DD3C7"
"LOC118478581","C1","#8DD3C7"
"LOC106014201","C1","#8DD3C7"
"LOC101852501","C1","#8DD3C7"
"LOC101852625","C1","#8DD3C7"
"LOC101860605","C1","#8DD3C7"
"LOC101845336","C1","#8DD3C7"
"LOC101844995","C1","#8DD3C7"
"LOC101845236","C1","#8DD3C7"
"LOC101859500","C1","#8DD3C7"
"LOC101847524","C1","#8DD3C7"
"LOC101849137","C1","#8DD3C7"
"LOC101861914","C1","#8DD3C7"
"LOC101848113","C1","#8DD3C7"
"LOC101860742","C1","#8DD3C7"
"LOC101859340","C1","#8DD3C7"
"LOC101853002","C1","#8DD3C7"
"LOC101850240","C1","#8DD3C7"
"LOC101852226","C1","#8DD3C7"
"LOC101857842","C1","#8DD3C7"
"LOC101862377","C1","#8DD3C7"
"LOC101863334","C1","#8DD3C7"
"LOC101850850","C1","#8DD3C7"
"LOC118478276","C1","#8DD3C7"
"LOC106011730","C1","#8DD3C7"
"LOC101862846","C1","#8DD3C7"
"LOC118478736","C1","#8DD3C7"
"LOC101864614","C1","#8DD3C7"
"LOC101856566","C1","#8DD3C7"
"LOC118478419","C1","#8DD3C7"
"LOC101847010","C1","#8DD3C7"
"LOC101863582","C1","#8DD3C7"
"LOC101861775","C1","#8DD3C7"
"LOC101860271","C1","#8DD3C7"
"LOC118478504","C1","#8DD3C7"
"LOC101860517","C1","#8DD3C7"
"LOC106013937","C1","#8DD3C7"
"LOC101863382","C1","#8DD3C7"
"LOC106012336","C1","#8DD3C7"
"LOC101849676","C1","#8DD3C7"
"LOC101846212","C1","#8DD3C7"
"LOC118478624","C1","#8DD3C7"
"LOC101859041","C1","#8DD3C7"
"LOC101847152","C1","#8DD3C7"
"LOC101849854","C1","#8DD3C7"
"LOC101855204","C1","#8DD3C7"
"LOC106013195","C1","#8DD3C7"
"LOC101860776","C1","#8DD3C7"
"LOC101856173","C1","#8DD3C7"
"LOC118479204","C1","#8DD3C7"
"LOC106013983","C1","#8DD3C7"
"LOC101851382","C1","#8DD3C7"
"LOC118478331","C1","#8DD3C7"
"LOC101846803","C1","#8DD3C7"
"LOC101862758","C1","#8DD3C7"
"LOC100533423","C1","#8DD3C7"
"LOC118477839","C1","#8DD3C7"
"LOC101862351","C1","#8DD3C7"
"LOC101851327","C1","#8DD3C7"
"LOC101852552","C1","#8DD3C7"
"LOC100533530","C1","#8DD3C7"
"LOC101846049","C1","#8DD3C7"
"LOC101845567","C1","#8DD3C7"
"LOC101846834","C1","#8DD3C7"
"LOC101847844","C1","#8DD3C7"
"LOC101861341","C1","#8DD3C7"
"LOC106013742","C1","#8DD3C7"
"LOC101854990","C1","#8DD3C7"
"LOC101861103","C1","#8DD3C7"
"LOC101857326","C1","#8DD3C7"
"LOC118477856","C1","#8DD3C7"
"LOC101852239","C1","#8DD3C7"
"LOC101857566","C1","#8DD3C7"
"LOC101857719","C1","#8DD3C7"
"LOC101862014","C1","#8DD3C7"
"LOC101852117","C1","#8DD3C7"
"LOC101862248","C1","#8DD3C7"
"LOC101862708","C1","#8DD3C7"
"LOC101854085","C1","#8DD3C7"
"LOC101855111","C1","#8DD3C7"
"LOC101845424","C1","#8DD3C7"
"LOC106012828","C1","#8DD3C7"
"LOC106011018","C1","#8DD3C7"
"LOC101863555","C1","#8DD3C7"
"LOC101862969","C1","#8DD3C7"
"LOC101846900","C1","#8DD3C7"
"LOC101852547","C1","#8DD3C7"
"LOC101853674","C1","#8DD3C7"
"LOC101853798","C1","#8DD3C7"
"LOC101851502","C1","#8DD3C7"
"LOC101847258","C1","#8DD3C7"
"LOC101852947","C1","#8DD3C7"
"LOC101850747","C1","#8DD3C7"
"LOC101845924","C1","#8DD3C7"
"LOC101850768","C1","#8DD3C7"
"LOC101858224","C1","#8DD3C7"
"LOC106013663","C1","#8DD3C7"
"LOC101850828","C1","#8DD3C7"
"LOC101855193","C1","#8DD3C7"
"LOC106011374","C1","#8DD3C7"
"LOC106011636","C1","#8DD3C7"
"LOC101851605","C1","#8DD3C7"
"LOC101849343","C1","#8DD3C7"
"LOC101858131","C1","#8DD3C7"
"LOC106013078","C1","#8DD3C7"
"LOC101860663","C1","#8DD3C7"
"LOC101845062","C1","#8DD3C7"
"LOC101857045","C1","#8DD3C7"
"LOC118478367","C1","#8DD3C7"
"LOC106012981","C1","#8DD3C7"
"LOC106012790","C1","#8DD3C7"
"LOC101852333","C1","#8DD3C7"
"LOC106013587","C1","#8DD3C7"
"LOC101849329","C1","#8DD3C7"
"LOC101845051","C1","#8DD3C7"
"LOC101854305","C1","#8DD3C7"
"LOC101854797","C1","#8DD3C7"
"LOC106013068","C1","#8DD3C7"
"LOC101849693","C1","#8DD3C7"
"LOC100533365","C1","#8DD3C7"
"LOC101848099","C1","#8DD3C7"
"LOC101863640","C1","#8DD3C7"
"LOC101861218","C1","#8DD3C7"
"LOC101852961","C1","#8DD3C7"
"LOC101857409","C1","#8DD3C7"
"LOC101862828","C1","#8DD3C7"
"LOC101850419","C1","#8DD3C7"
"LOC101858582","C1","#8DD3C7"
"LOC101854756","C1","#8DD3C7"
"LOC101860337","C1","#8DD3C7"
"LOC106013066","C1","#8DD3C7"
"LOC101858262","C1","#8DD3C7"
"LOC101859228","C1","#8DD3C7"
"LOC101857243","C1","#8DD3C7"
"LOC101846321","C1","#8DD3C7"
"LOC101845892","C1","#8DD3C7"
"LOC101857158","C1","#8DD3C7"
"LOC101851570","C1","#8DD3C7"
"LOC101853092","C1","#8DD3C7"
"LOC101852563","C1","#8DD3C7"
"LOC101851256","C1","#8DD3C7"
"LOC106012410","C1","#8DD3C7"
"LOC101848129","C1","#8DD3C7"
"LOC101858983","C1","#8DD3C7"
"LOC101854426","C1","#8DD3C7"
"LOC101857476","C1","#8DD3C7"
"LOC101855251","C1","#8DD3C7"
"LOC101849508","C1","#8DD3C7"
"LOC101858445","C1","#8DD3C7"
"LOC101862801","C1","#8DD3C7"
"LOC101850618","C1","#8DD3C7"
"LOC106012422","C1","#8DD3C7"
"LOC101851430","C1","#8DD3C7"
"LOC101848864","C1","#8DD3C7"
"LOC101858501","C1","#8DD3C7"
"LOC100533398","C1","#8DD3C7"
"LOC101850987","C1","#8DD3C7"
"LOC101852657","C1","#8DD3C7"
"LOC100533357","C1","#8DD3C7"
"LOC101846311","C1","#8DD3C7"
"LOC101853558","C1","#8DD3C7"
"LOC101854828","C1","#8DD3C7"
"LOC101847205","C1","#8DD3C7"
"LOC101851901","C1","#8DD3C7"
"LOC101863157","C1","#8DD3C7"
"LOC101849872","C1","#8DD3C7"
"LOC101852892","C1","#8DD3C7"
"LOC101847223","C1","#8DD3C7"
"LOC101854543","C1","#8DD3C7"
"LOC101858164","C1","#8DD3C7"
"LOC101845921","C1","#8DD3C7"
"LOC101850549","C1","#8DD3C7"
"LOC101864305","C1","#8DD3C7"
"LOC106013214","C2","#FFFFB3"
"LOC101861548","C2","#FFFFB3"
"LOC106013013","C2","#FFFFB3"
"LOC101845848","C2","#FFFFB3"
"LOC118478783","C2","#FFFFB3"
"LOC106012346","C2","#FFFFB3"
"LOC118477858","C2","#FFFFB3"
"LOC106011739","C2","#FFFFB3"
"LOC101856418","C2","#FFFFB3"
"LOC118477565","C2","#FFFFB3"
"LOC101846229","C2","#FFFFB3"
"LUQ-1","C2","#FFFFB3"
"LOC101863496","C2","#FFFFB3"
"LOC101852923","C2","#FFFFB3"
"LOC101861968","C2","#FFFFB3"
"LOC100533239","C2","#FFFFB3"
"LOC106011724","C2","#FFFFB3"
"LOC100533266","C2","#FFFFB3"
"LOC101860218","C2","#FFFFB3"
"LOC118477253","C2","#FFFFB3"
"LOC101847676","C2","#FFFFB3"
"LOC101862928","C2","#FFFFB3"
"LOC101856383","C2","#FFFFB3"
"LOC101856028","C2","#FFFFB3"
"LOC101857653","C2","#FFFFB3"
"LOC100533412","C2","#FFFFB3"
"LOC101845589","C2","#FFFFB3"
"LOC101854038","C2","#FFFFB3"
"LOC101852519","C2","#FFFFB3"
"ELH","C2","#FFFFB3"
"LOC106011873","C2","#FFFFB3"
"LOC101845286","C2","#FFFFB3"
"LOC101852132","C2","#FFFFB3"
"LOC106011773","C2","#FFFFB3"
"LOC101846574","C2","#FFFFB3"
"LOC106011504","C2","#FFFFB3"
"LOC101863881","C2","#FFFFB3"
"LOC106011653","C2","#FFFFB3"
"LOC101860325","C2","#FFFFB3"
"LOC106014153","C2","#FFFFB3"
"LOC101851187","C2","#FFFFB3"
"LOC106013317","C2","#FFFFB3"
"LOC101862698","C2","#FFFFB3"
"LOC101849085","C2","#FFFFB3"
"LOC100533236","C2","#FFFFB3"
"LOC101853324","C2","#FFFFB3"
"LOC101846682","C2","#FFFFB3"
"LOC101849195","C2","#FFFFB3"
"LOC101859207","C2","#FFFFB3"
"LOC101861226","C2","#FFFFB3"
"LOC101862686","C2","#FFFFB3"
"LOC101863891","C2","#FFFFB3"
"LOC118478627","C2","#FFFFB3"
"LOC101855889","C2","#FFFFB3"
"LOC101847635","C2","#FFFFB3"
"LOC106012205","C2","#FFFFB3"
"LOC101860677","C2","#FFFFB3"
"LOC101860450","C2","#FFFFB3"
"LOC100533237","C2","#FFFFB3"
"LOC101851270","C2","#FFFFB3"
"LOC101854008","C2","#FFFFB3"
"LOC101847487","C2","#FFFFB3"
"LOC101859313","C2","#FFFFB3"
"MRP","C2","#FFFFB3"
"LOC101856039","C2","#FFFFB3"
"LOC101845620","C2","#FFFFB3"
"LOC100533301","C2","#FFFFB3"
"LOC101863664","C2","#FFFFB3"
"LOC101850455","C2","#FFFFB3"
"LOC100533371","C2","#FFFFB3"
"LOC106011723","C2","#FFFFB3"
"LOC101850568","C2","#FFFFB3"
"LOC101857070","C2","#FFFFB3"
"LOC101851006","C2","#FFFFB3"
"LOC101845403","C2","#FFFFB3"
"LOC101849091","C2","#FFFFB3"
"LOC101859008","C2","#FFFFB3"
"LOC101857749","C2","#FFFFB3"
"LOC101857398","C2","#FFFFB3"
"LOC106011802","C2","#FFFFB3"
"LOC101845912","C2","#FFFFB3"
"LOC106012938","C2","#FFFFB3"
"LOC118477221","C3","#BEBADA"
"LOC101852299","C3","#BEBADA"
"LOC101850669","C3","#BEBADA"
"LOC101849666","C3","#BEBADA"
"LOC101851007","C3","#BEBADA"
"LOC101854356","C3","#BEBADA"
"LOC106013532","C3","#BEBADA"
"LOC101863697","C3","#BEBADA"
"LOC118478920","C3","#BEBADA"
"LOC106012543","C3","#BEBADA"
"LOC106013176","C3","#BEBADA"
"LOC101848767","C3","#BEBADA"
"LOC101859220","C3","#BEBADA"
"LOC101853317","C3","#BEBADA"
"LOC101852454","C3","#BEBADA"
"LOC101848472","C3","#BEBADA"
"LOC101847062","C3","#BEBADA"
"LOC101850109","C3","#BEBADA"
"LOC101864413","C3","#BEBADA"
"LOC101856414","C3","#BEBADA"
"LOC101856005","C3","#BEBADA"
"LOC106012540","C3","#BEBADA"
"LOC101854663","C3","#BEBADA"
"LOC101860860","C3","#BEBADA"
"LOC101847307","C3","#BEBADA"
"LOC106013958","C3","#BEBADA"
"LOC101851156","C3","#BEBADA"
"LOC118477239","C3","#BEBADA"
"LOC106012585","C3","#BEBADA"
"LOC101852033","C3","#BEBADA"
"LOC101856227","C3","#BEBADA"
"LOC101860270","C3","#BEBADA"
"LOC101852873","C3","#BEBADA"
"LOC101860446","C3","#BEBADA"
"LOC101854856","C3","#BEBADA"
"LOC118478672","C3","#BEBADA"
"LOC106011100","C3","#BEBADA"
"LOC101860667","C3","#BEBADA"
"LOC101863661","C3","#BEBADA"
"LOC106012156","C3","#BEBADA"
"LOC106013926","C3","#BEBADA"
"LOC118478242","C3","#BEBADA"
"LOC101849930","C3","#BEBADA"
"LOC101854634","C3","#BEBADA"
"LOC101850579","C3","#BEBADA"
"LOC101850723","C3","#BEBADA"
"LOC101861423","C3","#BEBADA"
"LOC118478259","C3","#BEBADA"
"LOC101859434","C3","#BEBADA"
"LOC101856911","C3","#BEBADA"
"LOC101846466","C3","#BEBADA"
"LOC101848059","C3","#BEBADA"
"LOC101850000","C3","#BEBADA"
"LOC101847896","C4","#FB8072"
"LOC101846676","C4","#FB8072"
"LOC101856252","C4","#FB8072"
"LOC101857786","C4","#FB8072"
"LOC106011104","C4","#FB8072"
"LOC101849272","C4","#FB8072"
"LOC101849040","C4","#FB8072"
"LOC101849692","C4","#FB8072"
"LOC101850314","C4","#FB8072"
"LOC101863857","C4","#FB8072"
"LOC101849463","C4","#FB8072"
"LOC101853618","C4","#FB8072"
"LOC101853386","C4","#FB8072"
"LOC101864154","C4","#FB8072"
"LOC101851378","C4","#FB8072"
"LOC101852127","C4","#FB8072"
"LOC101852894","C4","#FB8072"
"LOC101848162","C4","#FB8072"
"LOC101845418","C4","#FB8072"
"LOC101851075","C4","#FB8072"
"LOC101859175","C4","#FB8072"
"LOC101849421","C4","#FB8072"
"LOC101860132","C4","#FB8072"
"LOC101851881","C4","#FB8072"
"LOC101864289","C4","#FB8072"
"LOC101862693","C4","#FB8072"
"LOC118478225","C4","#FB8072"
"LOC106014197","C4","#FB8072"
"LOC101846945","C4","#FB8072"
"LOC101852647","C4","#FB8072"
"LOC101864145","C4","#FB8072"
"LOC118478904","C4","#FB8072"
"LOC101851817","C4","#FB8072"
"LOC101860957","C4","#FB8072"
"LOC106011446","C4","#FB8072"
"LOC101858322","C4","#FB8072"
"LOC101853507","C4","#FB8072"
"LOC101852582","C4","#FB8072"
"LOC101853210","C4","#FB8072"
"LOC101846245","C4","#FB8072"
"LOC101853648","C4","#FB8072"
"LOC106013026","C4","#FB8072"
"LOC101850073","C4","#FB8072"
"LOC101849140","C4","#FB8072"
"LOC101853997","C4","#FB8072"
"LOC101847017","C4","#FB8072"
"LOC118478612","C4","#FB8072"
"LOC101861687","C4","#FB8072"
"LOC101849313","C4","#FB8072"
"LOC101853096","C4","#FB8072"
"LOC101851762","C4","#FB8072"
"LOC101857484","C4","#FB8072"
"LOC118479193","C4","#FB8072"
"LOC101860816","C4","#FB8072"
"LOC101859667","C4","#FB8072"
"LOC101862637","C4","#FB8072"
"LOC101863714","C4","#FB8072"
"LOC118478563","C4","#FB8072"
"LOC101853903","C4","#FB8072"
"LOC101855832","C4","#FB8072"
"LOC101848761","C4","#FB8072"
"LOC101855487","C4","#FB8072"
"LOC101850116","C4","#FB8072"
"TRNAQ-CUG","C4","#FB8072"
"LOC106011394","C4","#FB8072"
"LOC101845608","C4","#FB8072"
"LOC101864229","C4","#FB8072"
"LOC101854925","C4","#FB8072"
"LOC101847303","C4","#FB8072"
"LOC101856006","C4","#FB8072"
"LOC101854575","C4","#FB8072"
"LOC101854811","C4","#FB8072"
"LOC101860482","C4","#FB8072"
"LOC100856793","C4","#FB8072"
"LOC101860409","C4","#FB8072"
"LOC101857457","C4","#FB8072"
"LOC101847574","C4","#FB8072"
"LOC101859603","C4","#FB8072"
"LOC101852592","C4","#FB8072"
"LOC101850273","C4","#FB8072"
"LOC101847606","C4","#FB8072"
"LOC101858065","C4","#FB8072"
"LOC101856054","C4","#FB8072"
"LOC101851787","C4","#FB8072"
"LOC101857470","C4","#FB8072"
"LOC101859549","C4","#FB8072"
"LOC101845898","C4","#FB8072"
"LOC101859316","C4","#FB8072"
"LOC101857634","C4","#FB8072"
"LOC106011258","C4","#FB8072"
"LOC101857460","C4","#FB8072"
"LOC106012666","C4","#FB8072"
"LOC101859234","C4","#FB8072"
"LOC101850509","C4","#FB8072"
"LOC101846263","C4","#FB8072"
"LOC101848900","C4","#FB8072"
"LOC101851995","C4","#FB8072"
"LOC101848658","C4","#FB8072"
"LOC101851438","C4","#FB8072"
"LOC101852980","C4","#FB8072"
"LOC101861954","C4","#FB8072"
"LOC101854123","C4","#FB8072"
"LOC101853789","C4","#FB8072"
"LOC101850089","C4","#FB8072"
"LOC101860142","C4","#FB8072"
"LOC101858345","C4","#FB8072"
"LOC101858518","C4","#FB8072"
"LOC101856318","C4","#FB8072"
"LOC101857843","C4","#FB8072"
"LOC101858985","C4","#FB8072"
"LOC106011637","C4","#FB8072"
"LOC101861346","C4","#FB8072"
"LOC101851276","C4","#FB8072"
"LOC101849798","C4","#FB8072"
"LOC101863103","C4","#FB8072"
"LOC101853543","C4","#FB8072"
"LOC118478289","C4","#FB8072"
"LOC118478715","C4","#FB8072"
"LOC101863580","C4","#FB8072"
"LOC118477154","C4","#FB8072"
"LOC118477914","C4","#FB8072"
