,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.0499114901374849,2,63,2,0.0317460317460317,1,CORUM:2254,CORUM,CTGF/Hcs24-actin(beta/gamma) complex,3383,967,CORUM:0000000
2,query_1,TRUE,0.0499114901374849,2,63,2,0.0317460317460317,1,CORUM:3154,CORUM,Notch2(N-TM)-Notch2(N-EC)-Delta complex,3383,1428,CORUM:0000000
3,query_1,TRUE,0.0499114901374849,2,63,2,0.0317460317460317,1,CORUM:6479,CORUM,Cubilin-intrinsic factor-cobalamin complex,3383,2158,CORUM:0000000
4,query_1,TRUE,5.17087653570991e-12,123,509,24,0.0471512770137525,0.195121951219512,GO:0006805,GO:BP,xenobiotic metabolic process,21031,2515,GO:0044237/GO:0071466
5,query_1,TRUE,3.34437188929436e-11,353,509,38,0.0746561886051081,0.107648725212465,GO:0046942,GO:BP,carboxylic acid transport,21031,12859,GO:0015711/GO:0015849
6,query_1,TRUE,3.66390121561334e-11,354,509,38,0.0746561886051081,0.107344632768362,GO:0015849,GO:BP,organic acid transport,21031,5017,GO:0071702
7,query_1,TRUE,1.40637558925356e-10,1813,509,97,0.19056974459725,0.0535024820739106,GO:0044281,GO:BP,small molecule metabolic process,21031,11317,GO:0008152
8,query_1,TRUE,3.93262293385712e-10,1534,509,86,0.168958742632613,0.0560625814863103,GO:0055085,GO:BP,transmembrane transport,21031,14701,GO:0006810/GO:0009987
9,query_1,TRUE,6.68516888207219e-10,7669,509,265,0.520628683693517,0.034554700743252,GO:0032501,GO:BP,multicellular organismal process,21031,7883,GO:0008150
10,query_1,TRUE,2.51566966217192e-09,445,509,40,0.0785854616895874,0.0898876404494382,GO:0015711,GO:BP,organic anion transport,21031,4890,GO:0071702
11,query_1,TRUE,2.85789943074067e-09,192,509,26,0.0510805500982318,0.135416666666667,GO:0071466,GO:BP,cellular response to xenobiotic stimulus,21031,17200,GO:0009410/GO:0070887
12,query_1,TRUE,7.1762656444063e-09,921,509,60,0.117878192534381,0.0651465798045603,GO:0043436,GO:BP,oxoacid metabolic process,21031,11048,GO:0006082
13,query_1,TRUE,9.40528475752873e-09,927,509,60,0.117878192534381,0.0647249190938511,GO:0006082,GO:BP,organic acid metabolic process,21031,1967,GO:0044237/GO:0044281/GO:0071704
14,query_1,TRUE,2.29710324550196e-08,3973,509,159,0.31237721021611,0.0400201359174427,GO:0048731,GO:BP,system development,21031,13413,GO:0007275/GO:0048856
15,query_1,TRUE,5.4198116288514e-08,5986,509,214,0.420432220039293,0.0357500835282325,GO:1901564,GO:BP,organonitrogen compound metabolic process,21031,22098,GO:0006807/GO:0071704
16,query_1,TRUE,7.54294925037347e-08,432,509,37,0.0726915520628684,0.0856481481481482,GO:0009410,GO:BP,response to xenobiotic stimulus,21031,3512,GO:0042221
17,query_1,TRUE,7.66960583004262e-08,899,509,57,0.111984282907662,0.0634037819799778,GO:0019752,GO:BP,carboxylic acid metabolic process,21031,6252,GO:0043436
18,query_1,TRUE,1.3330003957975e-07,6453,509,225,0.442043222003929,0.0348675034867503,GO:0032502,GO:BP,developmental process,21031,7884,GO:0008150
19,query_1,TRUE,1.71487366331369e-07,179,509,23,0.0451866404715128,0.128491620111732,GO:0015718,GO:BP,monocarboxylic acid transport,21031,4897,GO:0046942
20,query_1,TRUE,2.6047405885582e-07,2531,509,112,0.220039292730845,0.0442512840774397,GO:0007399,GO:BP,nervous system development,21031,2932,GO:0048731
21,query_1,TRUE,2.79673997651548e-07,5899,509,209,0.410609037328094,0.0354297338531955,GO:0048856,GO:BP,anatomical structure development,21031,13525,GO:0032502
